date,result ranking,race name,distance
1998-05-21,DNF,Stage 6 - Cranendonck › Buchten ,195.9
1998-05-19,40,Stage 4 - Tilburg › Cranendonck ,134.2
1998-05-18,23,Stage 3 - Noordwijkerhout › Tilburg ,185.5
1998-05-17,37,Stage 2 - Rotterdam › Noordwijkerhout ,160.8
1998-05-16,88,Stage 1 - Ridderkerk › Ridderkerk ,158.3
1998-05-15,100,Prologue - Ridderkerk › Ridderkerk ,5.0
1998-05-21,DNF,Stage 6 - Cranendonck › Buchten ,195.9
1998-05-19,40,Stage 4 - Tilburg › Cranendonck ,134.2
1998-05-18,23,Stage 3 - Noordwijkerhout › Tilburg ,185.5
1998-05-17,37,Stage 2 - Rotterdam › Noordwijkerhout ,160.8
1998-05-16,88,Stage 1 - Ridderkerk › Ridderkerk ,158.3
1998-05-15,100,Prologue - Ridderkerk › Ridderkerk ,5.0
1997-05-24,DNF,Stage 8a - Zaltbommel › Ridderkerk ,117.1
1997-05-23,51,Stage 7 - Tilburg › Zaltbommel ,176.0
1997-05-22,23,Stage 6 - Budel › Tilburg ,176.0
1997-05-21,9,Stage 5 - Born › Budel ,165.0
1997-05-20,94,Stage 4 - Maasbracht › Buchten ,212.6
1997-05-19,90,Stage 3a - Schijndel › Maasbracht ,103.0
1997-05-18,29,Stage 2 - Hoogeveen › Schijndel ,157.0
1997-05-17,40,Stage 1 - Hoogeveen › Hoogeveen ,164.0
1997-05-16,58,Prologue - Hoogeveen › Hoogeveen ,5.0
1996-06-15,1,ZLM Tour () ,
1995-05-21,1,Stage 2 - Haarlem › Hoogeveen ,213.0
1994-06-22,2,Stage 7 - Nyköping › Stockholm ,145.8
1994-05-28,3,Stage 8a - Harmelen › Ossendrecht ,169.0
1994-05-27,3,Stage 7 - Varsseveld ›  ,154.4
1994-05-21,3,Stage 1 - Amsterdam › Amsterdam ,112.6
1993-05-29,3,Stage 8 - Zaltbommel  › Zwolle ,157.0
1993-05-24,3,Stage 3 - Goor › Schijndel ,183.7
1992-05-19,7,Stage 9 - Trutnov › Mlada Boleslav ,154.0
1992-05-17,6,Stage 7 - Trutnov › Trutnov ,144.0
1992-05-13,3,Stage 3 - Forst › Dresden ,174.0
1992-05-12,9,Stage 2 - Berlin › Forst ,197.0
1992-05-02,3,Ronde van Overijssel () ,
