date,result ranking,race name,distance
2012-09-23,48,Stage 2 - Mende › Mende ,162.4
2012-09-22,60,Stage 1 - Chateauneuf de Randon › La Grand’Combe ,153.0
2012-08-26,110,Stage 10 - Sintra › Lisboa ,149.5
2012-08-25,118,Stage 9 (ITT) - Pedrogão ›  Leiria ,32.6
2012-08-24,76,Stage 8 - Guarda › Seia (Torre) ,154.9
2012-08-23,26,Stage 7 - Gouveia › Sabugal ,185.3
2012-08-21,128,Stage 6 - Aveiro › Viseu ,184.1
2012-08-20,127,Stage 5 - Armamar › Oliveira de Azeméis ,176.6
2012-08-19,77,Stage 4 - Viana do Castelo › Mondim de Basto ,151.9
2012-08-18,93,Stage 3 - Vila Nova da Cerveira › Fafe ,176.1
2012-08-17,89,Stage 2 - Oliveira do Bairro › Trofa ,190.7
2012-08-16,82,Stage 1 - Termas Monfortinho › Oliveira do Hospital ,200.8
2012-08-15,140,Prologue - Castelo Branco › Castelo Branco ,2.2
2012-08-11,21,Stage 5 - Laguna de Negrillos › Leon ,118.2
2012-08-10,52,Stage 4 - Sabero › Villamanin ,182.1
2012-08-09,49,Stage 3 - Val de San Lorenzo › Riello ,161.2
2012-08-08,22,Stage 2 - Camponaraya › La Bana ,155.2
2012-08-07,58,Stage 1 - Rio Pinos/Lugueros › Sahagun ,169.0
2012-07-31,62,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,170.0
2012-07-25,92,Prueba Villafranca-Ordiziako Klasika (1.1) ,165.7
2012-06-24,66,National Championships Spain - Road Race (NC) ,197.9
2012-04-29,DNF,Stage 3 - Lugones › Alto del Naranco ,167.9
2012-04-28,77,Stage 2a - Teverga › Avilés ,92.2
2012-04-28,113,Stage 2b (ITT) - Piedras Blancas › Piedras Blancas ,14.0
2012-04-27,85,Stage 1 - Oviedo › Gijon ,162.2
2012-03-31,69,Gran Premio Miguel Indurain (1.HC) ,179.3
2012-03-25,22,Stage 4 - Mértola  › Grândola ,141.0
2012-03-24,119,Stage 3 - Odemira  › Ourique ,168.6
2012-03-23,70,Stage 2 - Portel  › Santiago do Cacém ,191.3
2012-03-22,30,Stage 1 - Castelo de Vide › Redondo ,165.8
2012-03-18,20,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux (1.2) ,192.0
2012-02-06,DNF,Trofeo Migjorn (1.1) ,171.7
2011-10-02,23,Stage 3 - Empluriabrava › Figueres ,152.7
2011-10-01,9,Stage 2 - Sant Esteve d'en Bas › LA Jonquera ,170.3
2011-09-30,17,Stage 1 - Llanca › Roses ,165.3
2011-09-25,46,Stage 2 - Mende › Mende ,162.0
2011-09-24,40,Stage 1 - La Grand-Combe › Langogne ,149.0
2011-08-07,DNF,Stage 5 - Areniscas de los Pinares › Lagunas de Neila ,155.0
2011-08-06,100,Stage 4 - Roa de Duero › Clúnia ,168.0
2011-08-04,91,Stage 2 - Burgos › Castillo de Burgos ,144.0
2011-08-03,65,Stage 1 - Villarcayo › Alto de San Juan del Monte ,168.0
2011-07-31,17,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,170.0
2011-07-25,51,Prueba Villafranca-Ordiziako Klasika (1.1) ,165.7
2011-07-10,DNF,Stage 4 - Torres Vedras › Torres Vedras ,100.0
2011-07-09,26,Stage 3 - Atouguia da Baleia › Vimeiro ,153.0
2011-07-08,45,Stage 2 - Manique do Intendente › Carvoeira ,179.0
2011-07-07,31,Stage 1 - Ramalhal › Sobral de Monte Agraço ,161.0
2011-06-26,38,National Championships Spain - Road Race (NC) ,196.7
2011-06-19,27,Stage 3 - Neydens › Les Houches ,121.5
2011-06-18,25,Stage 2 - Aoste › La Thuil ,152.2
2011-06-17,92,Stage 1 - Chambéry › Bourg-Saint-Maurice ,153.6
2011-06-16,73,Prologue - Saint-Jean-de-Maurienne › Saint-Jean-de-Maurienne ,5.6
2011-04-30,DNF,Stage 4 - Luarca › Santuario del Acebo ,195.0
2011-04-29,105,Stage 3 (ITT) - Piedras Blancas › Piedras Blancas ,14.0
2011-04-29,8,Stage 2 - Gijon › Aviles ,83.0
2011-04-28,91,Stage 1 - Oviedo › Gijon ,162.0
2011-04-24,57,Vuelta Ciclista A La Rioja (1.1) ,198.0
2011-04-23,75,Gran Premio Llodio (1.1) ,172.5
2011-04-17,13,Stage 5 - Madrigal de las Altas Torres › Medina del Campo ,167.7
2011-04-16,92,Stage 4 (ITT) - Zamora › Zamora ,11.2
2011-04-15,80,Stage 3 - Benavente › Laguna de Peces ,157.2
2011-04-14,70,Stage 2 - Valladolid › Salamanca ,213.0
2011-04-13,22,Stage 1 - Medina de Rioseco › Palencia ,174.4
2011-04-10,61,Klasika Primavera de Amorebieta (1.1) ,171.6
2011-03-20,86,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux (1.2) ,188.0
2011-03-06,102,Stage 3 (ITT) - Murcia › Murcia ,12.4
2011-03-05,73,Stage 2 - Estrella Levante › Alto de Espuña ,183.2
2011-03-04,57,Stage 1 - San Pedro del Pinatar › Alhama de Murcia ,178.5
2011-02-10,DNF,Trofeo Magaluf - Palmanova (1.1) ,158.5
2011-02-09,69,Trophée Deià (1.1) ,143.0
2011-02-08,OTL,Trofeo Inca-inca (1.1) ,157.2
2011-02-07,106,Trofeo Cala Millor-cala Millor (1.1) ,172.4
2011-02-06,34,Trofeo Palma de Mallorca (int.) ,116.0
2010-08-08,63,Stage 5 - Areniscas de los Pinares › Lagunas de Neila ,155.0
2010-08-07,18,Stage 4 - Vivar del Cid › Salas de los Infantes ,173.0
2010-08-06,15,Stage 3 (TTT) - Queso de Sasamon › Melgar de Fernamental ,21.3
2010-08-05,122,Stage 2 - Burgos › Mirande de Ebro ,165.0
2010-08-04,123,Stage 1 - Villasana de Mena › Medina de Pomar ,143.0
2010-08-01,35,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,185.3
2010-07-25,21,Prueba Villafranca-Ordiziako Klasika (1.1) ,165.7
2010-07-18,76,Stage 3 - Alcobendas › Puerto de Morcuera ,132.0
2010-07-17,8,Stage 2 - Coslada › Coslada ,84.8
2010-07-17,72,Stage 1 (ITT) - Madrid › Madrid ,7.8
2010-06-27,26,National Championships Spain - Road Race (NC) ,226.4
2010-06-20,29,Stage 4 - Craon › Laval ,171.0
2010-06-19,42,Stage 3 - Chantrigné › Changé ,184.0
2010-06-18,12,Stage 2 - Saint-Berthevin-sur-Vicoin › Le Horps ,184.0
2010-06-17,95,Prologue - Laval › Laval ,4.5
2010-06-15,8,Stage 8 - Potes › Santander ,152.0
2010-06-14,18,Stage 7 - Torrelavega › Santo Toribio ,143.6
2010-06-13,17,Stage 6 - Polanco › Torrelavega ,173.3
2010-06-12,43,Stage 5 - Ague de Solares › Fuente del Chivo ,163.6
2010-06-11,29,Stage 4 - Miengo › El Astillero ,178.1
2010-06-10,92,Stage 3 - Santoña  › Ramales de la Victoria ,175.5
2010-06-09,16,Stage 2 - Santander › Maliaño  ,172.0
2010-06-08,45,Prologue - Santander › Santander ,5.8
2010-04-27,DNF,Subida al Naranco (1.1) ,149.0
2010-04-24,62,Gran Premio Llodio (1.1) ,172.3
2010-04-11,86,Klasika Primavera de Amorebieta (1.1) ,171.6
2010-03-28,50,Stage 3 (ITT) - Guarda › Guarda ,17.5
2010-03-27,37,Stage 2 - Guarda › Trancoso ,116.5
2010-03-26,34,Stage 1 - Guarda › Sabugal ,123.4
2010-02-11,DNF,Trofeo Magaluf - Palmanova (1.1) ,158.5
2010-02-10,64,Deià Trophy (1.1) ,143.0
2010-02-09,OTL,Trofeo Inca-inca (1.1) ,157.2
2010-02-08,40,Trofeo Cala Millor - Son Servera (1.1) ,173.5
2010-02-07,81,Trofeo Palma de Mallorca (1.1) ,116.0
2007-07-07,60,Stage 4b - San Felices de Buelna › Los Corrales ,85.2
2007-07-07,40,Stage 4a (ITT) - S.Cartes › Mercadal ,5.1
2007-07-06,28,Stage 3 - Suances › Bostronizo ,93.5
2007-07-05,4,Stage 2 - Torrelavega › Ruiloba ,76.0
2007-07-04,6,Stage 1 - Los Corrales › Santander ,89.6
