date,result ranking,race name,distance
2006-11-11,DNS,Stage 9 - Winton › Invercargill ,64.4
2006-11-11,54,Stage 8 - Te Anau › Mossburn-Lumsden ,79.0
2006-11-10,40,Stage 7 - Winton › Te Anau ,163.6
2006-11-09,20,Stage 5 - Tuatapere › Winton ,88.3
2006-11-08,4,Stage 6 - Balfour › Crown Range ,133.9
2006-11-08,38,Stage 4 - Invercargill › Tuatapere ,104.2
2006-11-07,53,Stage 3 - Invercargill › Gore ,165.0
2006-11-06,5,Stage 2 - Invercargill › Bluff Hill ,81.8
2006-11-06,67,Stage 1 (ITT) - Invercargill › Invercargill ,4.2
2006-07-23,91,Stage 4 - Bassano Bresciano › Palazzolo sull'Oglio ,177.9
2006-07-22,35,Stage 3b - Pian Camuno › Saviore dell'Adamello ,63.3
2006-07-22,75,Stage 3a - Pisogne › Darfo Boario Terme ,101.8
2006-07-21,67,Stage 2 - Buffalora › Passo Maniva ,152.0
2006-07-20,27,Stage 1 - San Vigilio di Concesio › Toscolano Maderno ,178.8
2006-05-20,77,Stage 8 - Wernigerode › Hannover ,132.0
2006-05-19,37,Stage 7 - Delitzsch › Thale ,192.0
2006-05-18,85,Stage 6 - Dippoldiswalde › Meerane ,172.0
2006-05-17,56,Stage 5 - Bilina › Altenberg ,140.8
2006-05-15,66,Stage 3 - Beroun › Karlovy Vary ,167.1
2006-05-14,60,Stage 2 - Schrems › Ceske Budejovice ,177.3
2006-05-13,62,Stage 1 - Linz › Schrems ,139.0
2006-04-23,18,Giro dell'Appennino (1.1) ,199.0
2006-04-21,105,Stage 4 - Tione › Arco ,172.0
2006-04-20,50,Stage 3 - Romeno › Tione ,168.0
2006-04-19,44,Stage 2 - Castello Tesino › Clès ,174.0
2006-04-18,29,Stage 1 - Arco › Castello Tesino ,162.0
2006-04-16,57,Giro d'Oro (1.1) ,192.0
2006-03-13,DNF,Stage 6 - San Benedetto del Tronto › Torricella Sicur ,182.0
2006-03-12,105,Stage 5 (ITT) - Servigliano › Servigliano ,20.0
2006-03-11,128,Stage 4 - Paglieta › Civitanova Marche ,219.0
2006-03-10,85,Stage 3 - Avezzano › Paglieta ,183.0
2006-03-09,80,Stage 2 - Tivoli › Frascati ,171.0
2006-03-08,83,Stage 1 - Tivoli › Tivoli ,167.0
2006-03-06,128,Giro della Provincia di Lucca (1.1) ,194.0
2006-03-04,77,Milano-Torino (1.HC) ,199.0
2006-02-26,DNF,GP Lugano (1.1) ,174.3
2006-02-14,26,Trofeo Laigueglia (1.1) ,183.3
2006-02-12,40,Stage 6 - San Remo › San Remo ,111.0
2006-02-12,75,Stage 5 - La Londe-les-Maures › Hyères ,122.0
2006-02-10,6,Stage 4 - Saint-Laurent-du-Var › Menton ,91.0
2006-02-09,21,Stage 2 - Berre-l'Etang › Mont Faron ,112.0
2006-02-08,97,Stage 1 - Marseille › Marignane ,170.0
2006-01-22,62,Stage 5 - Adelaide › Adelaide ,81.0
