date,result ranking,race name,distance
2005-08-15,DNF,Puchar Ministra Obrony Narodowej (1.2) ,178.0
2005-07-23,7,Grand Prix Bradlo (1.2) ,
2005-07-10,2,Pomorski Klasyk (1.2) ,
2005-07-03,12,Stage 5 - Ozarow › Ozarow ,10.1
2005-06-26,21,National Championships Poland - Road Race (NC) ,206.4
2005-06-13,31,Stage 7 - Bolkow › Jelenia Gora ,141.7
2005-06-12,47,Stage 6 - Kowary › Bolkow ,141.8
2005-06-11,36,Stage 5 (ITT) - Kowary › Przelecz ,11.6
2005-06-10,59,Stage 4 - Zary › Zgorzelec ,178.5
2005-06-09,62,Stage 3 - Wolsztyn › Zary ,145.3
2005-06-08,48,Stage 2 - Walcz › Wolsztyn ,215.3
2005-06-07,21,Stage 1 - Trzebiatow › Walcz ,237.0
2005-05-01,75,Memorial Andrzeja Trochanowskiego (1.2) ,170.4
2005-04-24,DNF,Stage 4 - Swidnica › Legnica ,206.2
2005-04-23,20,Stage 3 - Rudna › Polkowice ,149.7
2005-04-22,77,Stage 2 - Jawor › Zlotoryja ,174.8
2005-04-21,85,Stage 1 - Boleslawiec › Glogów ,135.0
2005-04-10,49,Stage 4 - Trescore Balneario › Selvino ,145.7
2005-04-09,69,Stage 3 - Roncadelle › Roncadelle ,162.0
2005-04-07,43,Stage 2 (ITT) - Casazza › Colle Gallo ,6.6
2005-04-07,28,Stage 1 - Brignano Gera d'Adda › Brignano Gera d'Adda ,99.4
2005-08-15,DNF,Puchar Ministra Obrony Narodowej (1.2) ,178.0
2005-07-23,7,Grand Prix Bradlo (1.2) ,
2005-07-10,2,Pomorski Klasyk (1.2) ,
2005-07-03,12,Stage 5 - Ozarow › Ozarow ,10.1
2005-06-26,21,National Championships Poland - Road Race (NC) ,206.4
2005-06-13,31,Stage 7 - Bolkow › Jelenia Gora ,141.7
2005-06-12,47,Stage 6 - Kowary › Bolkow ,141.8
2005-06-11,36,Stage 5 (ITT) - Kowary › Przelecz ,11.6
2005-06-10,59,Stage 4 - Zary › Zgorzelec ,178.5
2005-06-09,62,Stage 3 - Wolsztyn › Zary ,145.3
2005-06-08,48,Stage 2 - Walcz › Wolsztyn ,215.3
2005-06-07,21,Stage 1 - Trzebiatow › Walcz ,237.0
2005-05-01,75,Memorial Andrzeja Trochanowskiego (1.2) ,170.4
2005-04-24,DNF,Stage 4 - Swidnica › Legnica ,206.2
2005-04-23,20,Stage 3 - Rudna › Polkowice ,149.7
2005-04-22,77,Stage 2 - Jawor › Zlotoryja ,174.8
2005-04-21,85,Stage 1 - Boleslawiec › Glogów ,135.0
2005-04-10,49,Stage 4 - Trescore Balneario › Selvino ,145.7
2005-04-09,69,Stage 3 - Roncadelle › Roncadelle ,162.0
2005-04-07,43,Stage 2 (ITT) - Casazza › Colle Gallo ,6.6
