date,result ranking,race name,distance
2022-06-26,11,National Championships Czech Republic - Road Race (NC) ,
2022-06-23,2,National Championships Czech Republic U23 - ITT (NC) ,
2022-06-18,17,Stage 7 - Cuneo › Pinerolo ,121.0
2022-06-17,21,Stage 6 - Boves › Colle Fauniera ,110.7
2022-06-16,41,Stage 5 - Busca › Peveragno ,146.6
2022-06-14,38,Stage 4 - Chiuro › Chiavenna ,101.1
2022-06-13,15,Stage 3 - Pinzolo › Santa Caterina Valfurva ,177.1
2022-06-12,67,Stage 2 - Rossano Veneto › Pinzolo ,166.5
2022-06-11,11,Stage 1 - Gradara › Argenta ,164.9
2022-05-29,14,Coppa della Pace - Trofeo F.lli Anelli (1.2U) ,172.0
2022-05-28,2,Strade Bianche di Romagna (1.2U) ,155.8
2022-05-01,36,Stage 7 - Plumilliau › Lannion ,158.8
2022-04-30,102,Stage 6 - Plumergat › Camors ,162.1
2022-04-29,100,Stage 5 - Ploërmel › Scaër ,193.2
2022-04-28,71,Stage 4 - Saint-Jacut-de-la-Mer › Guillac ,164.7
2022-04-27,44,Stage 3 - Lohéac › Le Hinglé ,171.7
2022-04-26,80,Stage 2 - Missillac › La Chapelle-Bouëxic ,152.0
2022-04-25,28,Stage 1 - Guenrouët › Sainte-Reine-de-Bretagne ,162.3
2022-04-03,39,Stage 3b - Ellezelles › Frasnes-lez-Anvaing ,95.7
2022-04-03,46,Stage 3a (ITT) - Wodecq › Wodecq ,14.2
2022-04-02,7,Stage 2 - Bernissart › Tertre ,169.9
2022-04-01,70,Stage 1 - Antoing › Mont Saint-Aubert ,131.7
2022-03-27,72,La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire (1.1) ,202.0
2022-03-20,41,Cholet - Pays de la Loire (1.1) ,202.0
2022-03-19,32,Classic Loire Atlantique (1.1) ,182.8
2022-03-13,33,Stage 3 - Pazin › Umag ,114.0
2022-03-12,49,Stage 2 - Novigrad › Motovun ,175.0
2022-03-11,22,Stage 1 - Poreč › Funtana ,152.0
2022-03-10,4,Prologue - Vrsar › Vrsar ,1.5
2022-03-06,20,Trofej Poreč - Poreč Trophy (1.2) ,155.5
