date,result ranking,race name,distance
2008-08-02,DNF,Stage 5 (TTT) - Szydłowiec › Szydłowiec ,19.2
2008-08-01,89,Stage 4 - Piaseczno › Grodzisk Mazowiecki ,132.6
2008-07-31,56,Stage 3 - Maków Mazowiecki › Płock ,186.3
2008-07-30,84,Stage 2 - Sokołów Podlaski › Rembertów ,168.3
2008-07-29,102,Stage 1 - Biala Podlaska › Siedlce ,179.1
2008-07-06,25,Stage 7 - Wadowice › Jastrzębie Zdrój ,164.0
2008-07-05,54,Stage 6 - Krosno › Nowy Sacz ,224.0
2008-07-04,21,Stage 5 - Tarnobrzeg › Kielce ,140.8
2008-07-04,35,Stage 4 (ITT) - Ozarów › Ozarów ,22.1
2008-07-03,23,Stage 3 - Bialobrzegi › Radom ,162.9
2008-07-02,29,Stage 2 - Radomsko › Belchatów ,100.1
2008-07-02,78,Stage 1 - Lódz › Pabianice ,121.1
2008-06-29,DNF,National Championships Poland - Road Race (NC) ,218.0
2008-06-07,DNF,Stage 6 - Bolków › Sulików ,162.0
2008-06-07,9,Stage 5 (ITT) - Kowary › Przełęcz Okraj ,11.6
2008-06-06,48,Stage 4 - Siedlec › Bolków ,198.8
2008-06-05,56,Stage 3 - Walcz › Wolsztyn ,174.4
2008-06-04,27,Stage 2 - Choszczno › Walcz ,168.4
2008-06-03,14,Stage 1 - Trzebiatów › Choszczno ,217.4
2008-05-24,14,Stage 7 - Hibiya City › Hibiya City ,148.9
2008-05-23,41,Stage 6 - Shuzeni › Shuzeni ,112.5
2008-05-22,18,Stage 5 (ITT) - Subashiri › Mount Fuji ,11.4
2008-05-21,41,Stage 4 - Shimohisakata › Shimohisakata ,155.3
2008-05-20,55,Stage 3 - Mino Washi Paper Museum › Mino Washi Paper Museum ,164.7
2008-05-19,44,Stage 2 - Dalbutsude › Nunome Dam ,146.2
2008-05-18,35,Stage 1 - Senbokou › Senbokou ,140.8
2008-05-03,DNF,Majowy Wyscig Klasyczny - Lublin (1.2) ,144.0
2008-05-01,18,Memoriał Andrzeja Trochanowskiego (1.2) ,166.0
2008-08-02,DNF,Stage 5 (TTT) - Szydłowiec › Szydłowiec ,19.2
2008-08-01,89,Stage 4 - Piaseczno › Grodzisk Mazowiecki ,132.6
2008-07-31,56,Stage 3 - Maków Mazowiecki › Płock ,186.3
2008-07-30,84,Stage 2 - Sokołów Podlaski › Rembertów ,168.3
2008-07-29,102,Stage 1 - Biala Podlaska › Siedlce ,179.1
2008-07-06,25,Stage 7 - Wadowice › Jastrzębie Zdrój ,164.0
2008-07-05,54,Stage 6 - Krosno › Nowy Sacz ,224.0
2008-07-04,21,Stage 5 - Tarnobrzeg › Kielce ,140.8
2008-07-04,35,Stage 4 (ITT) - Ozarów › Ozarów ,22.1
2008-07-03,23,Stage 3 - Bialobrzegi › Radom ,162.9
2008-07-02,29,Stage 2 - Radomsko › Belchatów ,100.1
2008-07-02,78,Stage 1 - Lódz › Pabianice ,121.1
2008-06-29,DNF,National Championships Poland - Road Race (NC) ,218.0
2008-06-07,DNF,Stage 6 - Bolków › Sulików ,162.0
2008-06-07,9,Stage 5 (ITT) - Kowary › Przełęcz Okraj ,11.6
2008-06-06,48,Stage 4 - Siedlec › Bolków ,198.8
2008-06-05,56,Stage 3 - Walcz › Wolsztyn ,174.4
2008-06-04,27,Stage 2 - Choszczno › Walcz ,168.4
2008-06-03,14,Stage 1 - Trzebiatów › Choszczno ,217.4
2008-05-24,14,Stage 7 - Hibiya City › Hibiya City ,148.9
2008-05-23,41,Stage 6 - Shuzeni › Shuzeni ,112.5
2008-05-22,18,Stage 5 (ITT) - Subashiri › Mount Fuji ,11.4
2008-05-21,41,Stage 4 - Shimohisakata › Shimohisakata ,155.3
2008-05-20,55,Stage 3 - Mino Washi Paper Museum › Mino Washi Paper Museum ,164.7
2008-05-19,44,Stage 2 - Dalbutsude › Nunome Dam ,146.2
2008-05-18,35,Stage 1 - Senbokou › Senbokou ,140.8
2008-05-03,DNF,Majowy Wyscig Klasyczny - Lublin (1.2) ,144.0
2008-05-01,18,Memoriał Andrzeja Trochanowskiego (1.2) ,166.0
2007-11-10,74,Stage 7 - Wuzhishan › Sanya ,107.4
2007-11-09,55,Stage 6 - Dongfang › Wuzhishan ,168.5
