date,result ranking,race name,distance
2011-12-28,35.0,Stage 12 - Pérez Zeledón  › San José ,134.8
2011-12-27,9.0,Stage 11 - Palmar Norte › Buenos Aires ,160.5
2011-12-26,32.0,Stage 10 - San José  › Pérez Zeledón ,126.4
2011-12-25,33.0,Stage 9 - Sábana › Sábana ,94.0
2011-12-23,48.0,Stage 8 (ITT) - Pacayas › San Juan de Chicuá ,24.5
2011-12-22,35.0,Stage 7 - Limón  › Paraíso ,148.2
2011-12-21,19.0,Stage 6 - Guápiles  › Limón ,154.9
2011-12-20,18.0,Stage 5 (ITT) - Ticaban › Guápiles ,28.8
2011-12-19,33.0,Stage 4 - Quesada › Guápiles ,116.3
2011-12-18,35.0,Stage 3 - Liberia › Quesada ,216.9
2011-12-17,4.0,Stage 2 - Esparza › Liberia ,127.1
2011-12-16,33.0,Stage 1 - Circuitos Esparza › Circuitos Esparza ,98.7
2011-07-24,50.0,Stage 12 - Caracas › Caracas ,76.5
2011-07-23,49.0,Stage 11 - Valencia › Valencia ,90.0
2011-07-22,72.0,Stage 10 - Nirgua › Guacara ,115.8
2011-07-21,93.0,Stage 9 - Barquisimeto › Nirgua ,119.4
2011-07-20,34.0,Stage 8 (ITT) - Pirutu › Turen ,10.0
2011-07-19,86.0,Stage 7 - Tinaquilo › El Playon ,209.5
2011-07-18,59.0,Stage 6 - Ortiz › Maracay ,147.2
2011-07-17,43.0,Stage 5 - Chaguaramas › San Juan de los Morros ,178.1
2011-07-16,51.0,Stage 4 - Zazara › Valle de la Pascua ,97.9
2011-07-15,49.0,Stage 3 - Jusepín › Aragua de Barcelona ,188.7
2011-07-14,40.0,Stage 2 - Temblador › Maturín ,126.4
2011-07-13,86.0,Stage 1 - Temblador › Temblador ,87.0
2011-12-28,35.0,Stage 12 - Pérez Zeledón  › San José ,134.8
2011-12-27,9.0,Stage 11 - Palmar Norte › Buenos Aires ,160.5
2011-12-26,32.0,Stage 10 - San José  › Pérez Zeledón ,126.4
2011-12-25,33.0,Stage 9 - Sábana › Sábana ,94.0
2011-12-23,48.0,Stage 8 (ITT) - Pacayas › San Juan de Chicuá ,24.5
2011-12-22,35.0,Stage 7 - Limón  › Paraíso ,148.2
2011-12-21,19.0,Stage 6 - Guápiles  › Limón ,154.9
2011-12-20,18.0,Stage 5 (ITT) - Ticaban › Guápiles ,28.8
2011-12-19,33.0,Stage 4 - Quesada › Guápiles ,116.3
2011-12-18,35.0,Stage 3 - Liberia › Quesada ,216.9
2011-12-17,4.0,Stage 2 - Esparza › Liberia ,127.1
2011-12-16,33.0,Stage 1 - Circuitos Esparza › Circuitos Esparza ,98.7
2011-07-24,50.0,Stage 12 - Caracas › Caracas ,76.5
2011-07-23,49.0,Stage 11 - Valencia › Valencia ,90.0
2011-07-22,72.0,Stage 10 - Nirgua › Guacara ,115.8
2011-07-21,93.0,Stage 9 - Barquisimeto › Nirgua ,119.4
2011-07-20,34.0,Stage 8 (ITT) - Pirutu › Turen ,10.0
2011-07-19,86.0,Stage 7 - Tinaquilo › El Playon ,209.5
2011-07-18,59.0,Stage 6 - Ortiz › Maracay ,147.2
2011-07-17,43.0,Stage 5 - Chaguaramas › San Juan de los Morros ,178.1
2011-07-16,51.0,Stage 4 - Zazara › Valle de la Pascua ,97.9
2011-07-15,49.0,Stage 3 - Jusepín › Aragua de Barcelona ,188.7
2011-07-14,40.0,Stage 2 - Temblador › Maturín ,126.4
2011-07-13,86.0,Stage 1 - Temblador › Temblador ,87.0
2008-01-18,16.0,Stage 13 - Peribeca › San Cristóbal ,102.0
2008-01-17,29.0,Stage 12 - Planta Concafe (Bramon) › Santa A ,180.0
2008-01-16,26.0,Stage 11 (ITT) - Lobatera › Michelena ,24.0
2008-01-15,27.0,Stage 10 - Cordero › La Grita ,134.0
2008-01-13,36.0,Stage 9 - San Cristóbal › San Cristóbal ,122.0
2008-01-12,34.0,Stage 8 - La Tendida › Cerro El Cristo ,156.0
2008-01-11,58.0,Stage 7 - El Vígia › El Vígia ,94.0
2008-01-10,21.0,Stage 6 - Bailadores › La Azulita ,122.0
2008-01-09,29.0,Stage 5 - Mérida › Bailadores ,95.0
2008-01-08,24.0,Stage 4 - Ciudad Bolivia › Barinitas ,163.0
2008-01-07,76.0,Stage 3 - Santa Bárbara › Ciudad Bolivia ,108.0
2008-01-06,56.0,Stage 2 - Guasdualito › Santa Bárbara ,176.0
2008-01-05,40.0,Stage 1 - Guasdualito › Guasdualito ,110.0
2007-12-27,5.0,Stage 12 - Perez Zeledon › Desamparados ,135.4
2007-12-26,2.0,Stage 11 - Ochomogo › Perez Zeledon ,120.9
2007-12-25,17.0,Stage 10 - Belen › Belen ,91.0
2007-12-23,7.0,Stage 9 - Lagunilla › Santa Ana ,122.5
2007-12-22,10.0,Stage 8 - Cartago › Cartago ,83.8
2007-12-21,27.0,Stage 7 - San Carlos › Heredia ,97.3
2007-12-20,11.0,Stage 6 - San Carlos › San Carlos ,145.4
2007-12-19,23.0,Stage 5 - Upala › San Carlos ,132.5
2007-12-17,13.0,Stage 3 (ITT) - Filadelfia › Finca La Ponderosa ,40.9
2007-12-16,16.0,Stage 2 - Puntarenas › Playas del Coco ,198.0
2007-08-11,36.0,Stage 13 - Melgar › Bogota ,122.9
2007-08-10,42.0,Stage 12 - Calarcá › Agua de Dios ,179.5
2007-08-09,39.0,Stage 11 - Palmira › Calarcá ,163.5
2007-08-08,44.0,Stage 10 - Pereira › Cali ,220.2
2007-08-07,60.0,Stage 9 - Salgar › Pereira ,196.4
2007-08-06,85.0,Stage 8 - Itagui › Salgar ,130.4
2007-08-05,75.0,Stage 7 - Manizales › Las Palmas ,201.4
2007-08-04,47.0,Stage 6 - Mariquita › Manizales ,123.6
2007-08-03,49.0,Stage 5 - Paipa › La Vega ,232.7
2007-08-02,55.0,Stage 4 - Socorro › Paipa ,213.0
2007-08-01,37.0,Stage 3 - Barrancabermeja › Piedecuesta ,125.0
2007-07-31,61.0,Stage 2 - Aguachica › Barrancabermeja ,189.0
2007-07-29,75.0,Stage 1 - Barranquila › Aracataca ,122.4
2006-12-29,16.0,Stage 12 - Perez Zeledon › Santo Domingo de Heredia ,100.0
2006-12-28,31.0,Stage 11 - Palmar Norte › Perez Zeledon ,114.0
2006-12-27,17.0,Stage 10 - Perez Zeledon › Golfito ,154.0
2006-12-26,34.0,Stage 9 - Quijongo › Perez Zeledon ,125.0
2006-12-25,11.0,Stage 8 - Belen › Belen ,91.0
2006-12-24,14.0,Stage 7 - Escazu › Santa Ana ,144.0
2006-12-23,29.0,Stage 6 - Caldera › Zarcero ,147.3
2006-12-22,22.0,Stage 5 - Maparza › Caldera ,183.0
2006-12-21,32.0,Stage 4 (ITT) - Maparza › Maparza ,45.0
2006-12-20,46.0,Stage 3 - Esparza › Maparza ,191.0
2006-12-19,15.0,Stage 2 - Coyol de Alajuela › Esparza ,115.0
2006-12-18,60.0,Prologue - San José › San José ,1.0
