date,result ranking,race name,distance
2006-06-23,72,National Championships Germany U23 - ITT (NC) ,40.0
2006-06-17,89,Stage 3 - Grafenrheinfeld › Schweinfurt ,176.5
2006-06-16,111,Stage 2 - Haßfurt › Kitzingen ,152.6
2006-06-15,34,Stage 1 - Schweinfurt › Schweinfurt ,76.6
2006-06-05,11,Stage 5 - Berlin › Berlin ,171.6
2006-06-04,84,Stage 4 - Birkenwerder › Birkenwerder ,123.0
2006-06-04,40,Stage 3 (ITT) - Lehnitz › Lehnitz ,16.4
2006-06-03,17,Stage 2 - Rudow › Rudow ,150.0
2006-06-02,107,Stage 1 - Altlandsberg › Altlandsberg ,147.6
2006-05-21,53,Neuseen Classics - Rund um die Braunkohle (1.2) ,195.1
2006-03-19,98,Stage 3 - Porec › Porec ,138.0
2006-03-18,127,Stage 2 - Porec › Porec ,189.0
2006-03-17,143,Stage 1 - Porec › Labin ,149.0
2006-03-16,106,Prologue - Pazin › Pazin ,1.45
2006-03-12,DNF,Porec Trophy - Trofej Porec (1.2) ,131.0
2006-06-23,72,National Championships Germany U23 - ITT (NC) ,40.0
2006-06-17,89,Stage 3 - Grafenrheinfeld › Schweinfurt ,176.5
2006-06-16,111,Stage 2 - Haßfurt › Kitzingen ,152.6
2006-06-15,34,Stage 1 - Schweinfurt › Schweinfurt ,76.6
2006-06-05,11,Stage 5 - Berlin › Berlin ,171.6
2006-06-04,84,Stage 4 - Birkenwerder › Birkenwerder ,123.0
2006-06-04,40,Stage 3 (ITT) - Lehnitz › Lehnitz ,16.4
2006-06-03,17,Stage 2 - Rudow › Rudow ,150.0
2006-06-02,107,Stage 1 - Altlandsberg › Altlandsberg ,147.6
2006-05-21,53,Neuseen Classics - Rund um die Braunkohle (1.2) ,195.1
2006-03-19,98,Stage 3 - Porec › Porec ,138.0
2006-03-18,127,Stage 2 - Porec › Porec ,189.0
2006-03-17,143,Stage 1 - Porec › Labin ,149.0
2006-03-16,106,Prologue - Pazin › Pazin ,1.45
2006-03-12,DNF,Porec Trophy - Trofej Porec (1.2) ,131.0
2005-09-04,24,Stage 4 - Strassburg › Stuttgart ,179.0
2005-09-03,73,Stage 2 - Nagold › Strassburg ,115.0
2005-09-02,95,Stage 1 - Stuttgart › Nagold ,115.0
2005-05-15,12,Stage 4 - Birkenwerder › Birkenwerder ,123.0
2005-04-11,26,Rund um Düren (1.2) ,159.0
2004-06-13,35,National Championships Germany U23 - ITT (NC) ,38.0
2004-05-31,23,Stage 5 - Berlin › Berlin ,161.2
2004-05-30,46,Stage 4 - Birkenwerder › Birkenwerder ,120.0
2004-05-30,15,Stage 3 (ITT) - Rudow › Rudow ,28.0
2004-05-29,9,Stage 2 - Rudow › Rudow ,175.0
2004-05-28,31,Stage 1 - Hellersdorf › Hellersdorf ,150.0
2004-04-18,38,Rund um Düren (1.5) ,185.0
2003-05-01,7,Rund um den Henninger Turm U23 (1.7.1) ,173.0
