date,result ranking,race name,distance
1995-09-02,161.0,Prologue - Zaragoza › Zaragoza ,7.0
1995-04-30,7.0,Stage 4 ,151.0
1995-09-02,161.0,Prologue - Zaragoza › Zaragoza ,7.0
1995-04-30,7.0,Stage 4 ,151.0
1994-05-13,4.0,Stage 19 - Ávila  › Palazuelos de Eresma (Destilerías Dyc) ,171.0
1994-04-29,73.0,Stage 5 - Córdoba  › Granada ,166.9
1994-04-28,112.0,Stage 4 - Almendralejo  › Córdoba ,235.6
1994-04-27,164.0,Stage 3 - Salamanca  › Cáceres ,239.0
1994-04-26,22.0,Stage 2 - Valladolid  › Salamanca ,178.4
1994-04-25,47.0,Stage 1 (ITT) - Valladolid › Valladolid ,9.0
1994-03-21,70.0,Stage 1 - Lloret de Mar  › Lloret de Mar  ,174.0
1994-03-19,109.0,Milano-Sanremo (CDM) ,294.0
1993-08-07,152.0,Clasica Ciclista San Sebastian (CDM) ,238.0
1993-05-16,114.0,Stage 21 (ITT) - Padrón › Santiago de Compostela ,44.6
1993-05-15,93.0,Stage 20 - Salas › Ferrol ,247.0
1993-05-14,50.0,Stage 19 - Gijón › Alto del Naranco ,153.0
1993-05-13,74.0,Stage 18 - Cangas de Onís › Gijón ,170.0
1993-05-12,58.0,Stage 17 - Santander › Lagos de Covadonga ,179.5
1993-05-11,54.0,Stage 16 - Santander › Alto Campoo ,160.0
1993-05-10,47.0,Stage 15 - Santo Domingo de la Calzada › Santander ,226.2
1993-05-08,91.0,Stage 13 (ITT) - Zaragoza › Zaragoza ,37.1
1993-05-07,44.0,Stage 12 - Benasque › Zaragoza ,220.7
1993-05-06,91.0,Stage 11 - Lérida › Cerler ,221.0
1993-05-05,49.0,Stage 10 - Valencia › La Senia ,206.0
1993-05-04,34.0,Stage 9 - Albacete › Valencia ,224.0
1993-05-03,48.0,Stage 8 - Aranjuez › Albacete ,225.1
1993-05-02,63.0,Stage 7 - Palazuelos de Eresma (Destilerías Dyc) › Madrid ,184.0
1993-05-01,101.0,Stage 6 (ITT) - Segovia › Puerto de Navacerrada ,24.1
1993-04-30,87.0,Stage 5 - Salamanca › Ávila ,219.8
1993-04-29,84.0,Stage 4 - A Gudiña › Salamanca ,233.4
1993-04-28,77.0,Stage 3 - Vigo › Orense ,171.4
1993-04-27,86.0,Stage 2 - A Coruña › Vigo ,251.1
1993-04-26,85.0,Stage 1 (ITT) - A Coruña › A Coruña ,10.0
1992-05-15,74.0,Stage 19 (ITT) - Fuenlabrada › Fuenlabrada ,37.9
1992-04-27,84.0,Stage 1 (ITT) - Jerez de la Frontera › Jerez de la Frontera ,9.2
1991-08-04,71.0,Wincanton Classic (CDM) ,234.5
1991-02-09,15.0,Stage 5 - Motril › Jaen ,199.0
1991-02-08,14.0,Stage 4 - Lucena › Benalmádena ,183.0
1991-02-06,14.0,Stage 2 - San Fernando › Dos Hermanas ,174.0
1991-02-05,4.0,Stage 1 - Chiclana  › Chiclana  ,189.0
1990-02-22,1.0,Vuelta Ciclista a Navarra (2.2) ,
