date,result ranking,race name,distance
2011-08-14,80.0,Stage 9 - Les Abymes › Les Abymes ,126.7
2011-08-13,90.0,Stage 8a - Sainte-Anne › Baillif ,90.0
2011-08-13,88.0,Stage 8b (ITT) - Vieux-Fort › Saint-Claude ,10.3
2011-08-12,113.0,Stage 7 - Le Gosier › Sainte-Anne ,145.8
2011-08-11,56.0,Stage 6 - Capesterre › Le Gosier ,162.0
2011-08-10,102.0,Stage 5 - Sainte-Rose › Capesterre ,138.6
2011-08-09,89.0,Stage 4 - Petit-Bourg › Sainte-Rose ,137.3
2011-08-08,98.0,Stage 3 - Lamentin › Petit-Bourg ,152.7
2011-08-07,128.0,Stage 2b - Lamentin › Vieux-Habitants ,93.5
2011-08-07,120.0,Stage 2a - Saint-François › Lamentin ,113.0
2011-08-06,106.0,Stage 1 - Pointe-à-Pitre › Saint-François ,163.7
2011-08-05,135.0,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,6.3
2011-08-14,80.0,Stage 9 - Les Abymes › Les Abymes ,126.7
2011-08-13,90.0,Stage 8a - Sainte-Anne › Baillif ,90.0
2011-08-13,88.0,Stage 8b (ITT) - Vieux-Fort › Saint-Claude ,10.3
2011-08-12,113.0,Stage 7 - Le Gosier › Sainte-Anne ,145.8
2011-08-11,56.0,Stage 6 - Capesterre › Le Gosier ,162.0
2011-08-10,102.0,Stage 5 - Sainte-Rose › Capesterre ,138.6
2011-08-09,89.0,Stage 4 - Petit-Bourg › Sainte-Rose ,137.3
2011-08-08,98.0,Stage 3 - Lamentin › Petit-Bourg ,152.7
2011-08-07,128.0,Stage 2b - Lamentin › Vieux-Habitants ,93.5
2011-08-07,120.0,Stage 2a - Saint-François › Lamentin ,113.0
2011-08-06,106.0,Stage 1 - Pointe-à-Pitre › Saint-François ,163.7
2011-08-05,135.0,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,6.3
2010-08-11,72.0,Stage 6 - Vieux-Habitants › Les Abymes ,152.2
2010-08-10,59.0,Stage 5 - Le Moule › Vieux-Habitants ,134.3
2010-08-09,94.0,Stage 4 - Baie-Mahault › Le Moule ,166.7
2010-08-08,98.0,Stage 3 - Deshaies › Baie-Mahault ,99.0
2010-08-07,38.0,Stage 2 - Pointe-à-Pitre › Deshaies ,162.6
2010-08-06,116.0,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,4.0
2009-08-16,44.0,Stage 12 - Baie Mahault › Basse-Terre ,123.0
2009-08-15,73.0,Stage 11 (ITT) - Lamentin › Baie Mahault ,19.0
2009-08-15,82.0,Stage 10 - Le Gosier › Lamentin ,100.0
2009-08-14,5.0,Stage 9 - Capesterre › Le Gosier ,150.0
2009-08-13,19.0,Stage 8 - Pointe-Noire › Capesterre ,148.4
2009-08-12,34.0,Stage 7 -  Vieux-Habitants › Pointe-Noire ,140.0
2009-08-11,48.0,Stage 6 - Petit-Bourg › Vieux-Habitants ,143.6
2009-08-10,40.0,Stage 5 - Les Abymes › Petit-Bourg ,161.9
2009-08-09,81.0,Stage 3 - Morne-à-l'Eau › Les Abymes ,95.2
2009-08-08,76.0,Stage 2 - Baie Mahault › Morne-à-l'Eau ,146.9
2009-08-07,111.0,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,4.0
2008-08-10,81.0,Stage 9 - Saint-François › Pointe-à-Pitre ,123.3
2008-08-09,72.0,Stage 8a - Baie-Mahault › Baie-Mahault ,98.5
2008-08-09,83.0,Stage 8b (ITT) - Baie-Mahault › Baie-Mahault ,15.0
2008-08-08,86.0,Stage 7 - Bouillante › Moule ,157.1
2008-08-07,39.0,Stage 6 - Sainte-Rose › Bouillante ,141.5
2008-08-06,39.0,Stage 5 - Baillif › Sainte-Rose ,120.3
2008-08-05,52.0,Stage 4 - Lamentin › Baillif ,121.0
2008-08-04,100.0,Stage 3 - Morne-à-l'Eau › Lamentin ,166.3
2008-08-03,82.0,Stage 2a - Les Abymes › Les Abymes ,100.0
2008-08-02,67.0,Stage 1 - Baie-Mahault › Capesterre Belle Eau ,171.35
2008-08-01,95.0,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,4.0
2007-08-12,47.0,Stage 9 - Baie-Mahault › Basse-Terre ,129.0
2007-08-11,22.0,Stage 8a - Abymes › Baie-Mahault ,97.7
2007-08-11,93.0,Stage 8b (ITT) - Baie-Mahault › Baie-Mahault ,15.0
2007-08-10,12.0,Stage 7 - Petit Bourg › Abymes ,159.8
2007-08-09,54.0,Stage 6 - Vieux Habitants › Petit Bourg ,143.2
2007-08-08,58.0,Stage 5 - Deshaies › Vieux Habitants ,147.6
2007-08-07,77.0,Stage 4 - Sainte-Anne › Deshaies ,160.7
2007-08-06,93.0,Stage 3 - Basse-Terre › Sainte-Anne ,167.0
2007-08-05,117.0,Stage 2a - Saint-François › Gourbeyre ,100.0
2007-08-05,84.0,Stage 2b (ITT) - Riviere Sens › Saint-Claude ,7.5
2007-08-04,61.0,Stage 1 - Pointe-à-Pitre › Saint-François ,161.7
2007-08-03,102.0,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,4.0
2006-08-11,2.0,Stage 7 - Caoesterre Belle-Eau › Lamentin ,160.9
