date,result ranking,race name,distance
2022-06-26,14,Juegos Bolivarianos ME - Road Race (CC) ,170.8
2022-05-15,21,Campeonato Panamericano de Ruta - Road Race (CC) ,176.0
2021-08-15,23,Pan American Championships - Road Race (CC),160.0
2021-08-13,14,Pan American Championships - ITT (CC),40.0
2021-07-24,DNF,Olympic Games Road Race (Olympics),234.0
2021-04-25,73,Stage 9 - Parque Nacional (Bogotá) › Parque Nacional (Bogotá),126.0
2021-04-24,77,Stage 8 - Mariquita › Alto del Vino,140.4
2021-04-23,39,Stage 7 - Manizales › Mariquita,118.8
2021-04-22,117,Stage 6 (ITT) - Cenicafé (Chinchiná) › Mirador Chipre (Manizales),19.8
2021-04-21,95,Stage 5 - Armenia › Belalcázar,146.0
2021-04-20,36,Stage 4 - Ibagué › Alto de La Línea,122.2
2021-04-19,86,Stage 3 - Mosquera › Ibagué,181.1
2021-04-18,81,Stage 2 - Paipa › Tocancipá,140.2
2021-04-17,69,Stage 1 - Yopal › Yopal,188.1
2021-04-16,127,Prologue - Yopal › Yopal,7.6
2020-11-28,10,Stage 6 - Quito › Quito,100.0
2020-11-27,14,Stage 5 - Playón de San Francisco  › Atuntaqui,130.0
2020-11-26,6,Stage 4 - San Roque › La Estrellita,117.0
2020-11-25,15,Stage 3 - Machachi › Olmedo,131.0
2020-11-24,46,Stage 2 - Pedernales › Santo Domingo,133.0
2020-11-23,34,Stage 1 - Los Bancos › Pedernales,177.47
2020-02-02,48,Stage 7 - San Juan › San Juan,141.3
2020-02-01,68,Stage 6 - Autódromo El Villicúm › Autódromo El Villicúm,174.5
2020-01-31,42,Stage 5 - San Martín › Alto Colorado,169.5
2020-01-29,115,Stage 4 - San José de Jáchal › Villa San Agustín,185.8
2020-01-28,123,Stage 3 (ITT) - Ullum › Punta Negra,15.5
2020-01-27,81,Stage 2 - Pocito › Pocito,164.7
2020-01-26,55,Stage 1 - San Juan › San Juan,163.5
2019-11-01,41,Stage 10 - Guatemala City › Guatemala City,105.0
2019-10-31,25,Stage 9 - Pamezabal › El Camán,122.0
2019-10-30,7,Stage 8 - Momostenango › Piedra María Tecun,116.0
2019-10-29,15,Stage 7 - Esquipulas Palo Gordo › San Pedro Sacatepéquez,116.0
2019-10-28,7,Stage 6 - Samayac › Totonicapán,93.0
2019-10-27,34,Stage 5 (ITT) - Champerico › San Sebastián,33.5
