date,result ranking,race name,distance
2011-10-02,OTL,Tour de Vendée (1.HC) ,205.0
2011-09-10,59,Stage 5 - Rovereto › Montecchio Maggiore ,170.0
2011-09-09,23,Stage 4 - Noceto › San Valentino di Brentonica ,184.6
2011-09-08,52,Stage 3 - Lonate Pozzolo › Salsomaggiore ,227.0
2011-09-07,40,Stage 2 - Loano › Vigevano ,187.0
2011-09-06,31,Stage 1 - Paesana › Laigueglia ,170.0
2011-08-15,89,Stage 12 - Sintra  › Lisboa ,152.6
2011-08-14,29,Stage 11 - Covilhã › Sertã ,182.3
2011-08-13,46,Stage 10 - Seia › Torre ,182.8
2011-08-12,60,Stage 9 (ITT) - Sabugal › Guarda ,35.3
2011-08-11,25,Stage 8 - Aveiro › Castelo Branco ,215.9
2011-08-09,20,Stage 6 - Oliveira do Hospital › Viseu ,150.3
2011-08-08,26,Stage 5 - Lamego › Gouveia ,182.3
2011-08-07,39,Stage 4 - Viana do Castelo › Senhora da Graça ,151.0
2011-08-06,33,Stage 3 - Oliveira de Azeméis › Monte Nuestra Señora de la Asunción ,184.4
2011-08-05,26,Stage 2 - Trofa › Oliveira do Bairro ,187.7
2011-08-04,73,Prologue - Fafe › Fafe ,2.2
2011-07-31,81,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,170.0
2011-06-27,18,National Championships Spain - ITT (NC) ,44.5
2011-06-19,69,Stage 4 - Izaourt › Pau ,143.0
2011-06-18,64,Stage 3 - Pierrefitte-Nestalas › Bagnères-de-Luchon ,197.0
2011-06-17,57,Stage 2 - ST Gaudens › Cauterets ,177.0
2011-06-16,25,Stage 1 - Castres › Samatan ,203.0
2011-05-29,65,Boucles de l'Aulne - Châteaulin (1.1) ,168.0
2011-05-28,DNF,Grand Prix de Plumelec-Morbihan (1.1) ,181.0
2011-05-08,58,Stage 2 - Colmenar Viejo › Colmenar Viejo ,117.7
2011-05-07,99,Stage 1 - Coslada › Coslada ,84.8
2011-05-07,83,Prologue - Casa de Campo › Casa de Campo ,7.8
2011-05-01,133,Stage 8 - Side › Alanya ,160.0
2011-04-30,42,Stage 7 - Tekirova › Manavgat ,135.0
2011-04-29,136,Stage 6 - Fethiye › Finike ,194.0
2011-04-28,78,Stage 5 - Denizli › Fethiye ,221.0
2011-04-27,28,Stage 4 - Marmaris › Pamukkale ,207.0
2011-04-26,52,Stage 3 - Bodrum › Marmaris ,166.0
2011-04-25,15,Stage 2 - Kusadasi › Turgutreis ,181.0
2011-04-24,34,Stage 1 - Istanbul › Istanbul ,121.0
2011-04-17,98,Stage 5 - Madrigal de las Altas Torres › Medina del Campo ,167.7
2011-04-16,77,Stage 4 (ITT) - Zamora › Zamora ,11.2
2011-04-15,90,Stage 3 - Benavente › Laguna de Peces ,157.2
2011-04-14,92,Stage 2 - Valladolid › Salamanca ,213.0
2011-04-13,96,Stage 1 - Medina de Rioseco › Palencia ,174.4
2011-04-03,38,Flèche d'Emeraude - Saint Malo (1.1) ,183.0
2011-04-01,27,Route Adélie de Vitré (1.1) ,197.8
2011-03-20,104,Cholet-Pays de Loire (1.1) ,197.0
2011-03-19,77,Classic Loire Atlantique (1.1) ,184.8
2011-02-27,46,Clasica de Almeria (1.1) ,179.5
2011-02-20,145,Stage 5 (ITT) - Lagoa › Portimão ,17.2
2011-02-19,130,Stage 4 - Albufeira › Tavira ,167.3
2011-02-18,157,Stage 3 - Tavira › Malhão ,179.2
2011-02-17,79,Stage 2 - Lagoa › Lagos ,186.5
2011-02-16,109,Stage 1 - Estádio Algarve › Albufeira ,157.5
2011-02-10,DNF,Trofeo Magaluf - Palmanova (1.1) ,158.5
2011-02-08,OTL,Trofeo Inca-inca (1.1) ,157.2
2011-02-07,102,Trofeo Cala Millor-cala Millor (1.1) ,172.4
2011-02-06,94,Trofeo Palma de Mallorca (int.) ,116.0
2010-10-03,DNF,Stage 3 - Empuriabrava › Figueres ,149.5
2010-10-02,80,Stage 2 - Sant Esteve d'en Bas › La Jonquera ,170.3
2010-10-01,64,Stage 1 - Castello d'Empuries › Roses ,189.9
2010-09-26,DNF,Stage 2 - Marvejols › Mende (Montée Jalabert) ,134.0
2010-09-25,72,Stage 1 - Quézac Ispagnac › L'Esperou ,162.0
2010-08-07,57,Stage 5 - Camponaraya › Ponferrada ,
2010-08-06,89,Stage 4 - Sena de Luna › La Magdalena ,149.5
2010-08-05,20,Stage 3 - Cuadros › Cueva de Valdeporquero ,170.5
2010-08-04,46,Stage 2 - La Bañeza › Santovenia ,143.8
2010-08-03,5,Stage 1 - La Virgen del Camino › Cembranos ,137.3
2010-08-01,23,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,185.3
2010-07-18,88,Stage 3 - Alcobendas › Puerto de Morcuera ,132.0
2010-07-17,40,Stage 2 - Coslada › Coslada ,84.8
2010-07-17,76,Stage 1 (ITT) - Madrid › Madrid ,7.8
2010-06-27,25,National Championships Spain - Road Race (NC) ,226.4
2010-06-13,77,Stage 4 - Redondo › Évora ,162.0
2010-06-12,70,Stage 3 (ITT) - Reguengos Monsaraz › Monsaraz ,18.4
2010-06-11,52,Stage 2 - Viana do Alentejo › Estremoz ,180.2
2010-06-10,40,Stage 1 - Vidigueira › Aljustrel ,178.0
2009-07-19,23,Stage 3 - San Sebastián de los Reyes › San Sebastián de los Reyes ,154.1
2009-07-18,22,Stage 2 - Coslada › Coslada ,180.0
2009-07-17,88,Stage 1 (ITT) - Madrid › Madrid ,8.1
2009-06-16,9,Stage 7 - Potes › Santander ,152.0
2009-06-15,47,Stage 6 - Torrelavega › Santo Toribio ,143.6
2009-06-14,53,Stage 5 - Polanco › Torrelavega ,173.3
2009-06-13,19,Stage 4 - Ague de Solares › Fuente del Chivo ,145.7
2009-06-12,7,Stage 3 - Miengo › El Astillero ,178.1
2009-06-11,29,Stage 2 - Santonña › Ramales de la Victoria ,175.5
2009-06-10,79,Stage 1 - Santander › Maliaño ,172.0
2009-04-26,68,Stage 5 - Merida › Merida ,149.9
2009-04-25,41,Stage 4 - Miajadas › Miajadas ,158.2
2009-04-24,50,Stage 3 - Zafra › Zafra ,173.2
2009-04-23,26,Stage 2 - Almendralejo › Almendralejo ,156.9
2009-04-22,76,Stage 1 - Moraleja › Montanchez ,155.1
2008-06-01,46,Stage 6 - Pamplona › Pamplona ,140.0
2008-05-31,22,Stage 5 - Villatuerta › Alto del Perdon ,137.0
2008-05-30,38,Stage 4 - Alsasua › Villatuerta ,149.0
2008-05-29,29,Stage 3 - San Adrian › Alsasua ,138.0
2008-05-28,66,Stage 2 - Pitillas › Tudela ,113.0
2008-05-27,27,Stage 1 (TTT) - Pitillas › Pitillas ,16.0
2008-04-27,16,Stage 5 - Moraleja  › Moraleja  ,144.0
2008-04-26,24,Stage 4 - Casar de Cáceres › Casar de Cáceres ,174.0
2008-04-25,15,Stage 3 - Guareña  › Guareña  ,182.0
2008-04-24,24,Stage 2 - Badajoz  › Badajoz  ,158.0
2008-04-23,83,Stage 1 (ITT) - Mérida  › Mérida  ,22.4
2008-02-14,84,Trofeo Calvia (1.1) ,147.6
2008-02-11,122,Trofeo Cala: Cala Millor - Son Servera (1.1) ,162.7
2008-02-10,60,Trofeo Mallorca (1.1) ,100.0
2007-08-05,7,Stage 5 - San Andrés del Rabanedo › León ,135.0
2007-08-04,7,Stage 4 - La Virgen del Camino › Cistierna ,156.5
2007-08-03,11,Stage 3 - Ponferrada › Astorga ,140.9
2007-08-02,52,Stage 2 - Villablino › Ponferrada ,137.4
2007-08-01,19,Stage 1 - La Pola de Gordón › Villablino ,136.2
2007-07-22,32,European Championships U23 - Road Race (CC) ,168.0
2007-06-19,34,Stage 7 - Potes › Santander ,152.0
2007-06-18,40,Stage 6 - Torrelavega › Santo Toribio ,147.1
2007-06-17,86,Stage 5a - Polanco › Torrelavega ,112.6
2007-06-17,31,Stage 5b (ITT) - Polanco › Polanco ,17.0
2007-06-16,54,Stage 4 - Agua de Solares › Fuente del Chivo ,156.0
2007-06-15,8,Stage 3 - Santoña › Maliaño ,174.4
2007-06-14,9,Stage 2 - Los Corrales de Buelna › Laredo ,167.0
2007-06-13,4,Stage 1 - Santander › El Astillero ,155.0
2007-05-12,81,Stage 1 - Alcobendas › Puerto de Navacerrada ,170.0
2007-04-29,27,Stage 5 - Arroyo de San Serván › Mérida ,156.0
2007-04-28,7,Stage 4 - Miajadas › Miajadas ,158.2
2007-04-27,5,Stage 3 - Badajoz › Badajoz ,169.0
2007-04-26,18,Stage 2 - Fuente de Cantos › Fuente de Cantos ,164.1
2007-04-25,39,Stage 1 - Llerena › Jerez de los Caballeros ,173.0
2007-04-01,44,Stage 3 - Felgueiras › Felgueiras ,139.2
2007-03-31,18,Stage 2 - Felgueiras › Lixa ,159.5
2007-03-30,44,Stage 1 - Felgueiras › Felgueiras ,165.2
2006-08-20,50,Clasica a los Puertos (1.1) ,146.0
2006-06-23,4,National Championships Spain U23 - ITT (NC) ,14.7
2006-06-05,23,Stage 1 - Lleida › Tremp ,156.9
2000-04-26,79,Stage 2 - Sines › Beja ,198.8
