date,result ranking,race name,distance
2019-10-12,DNF,Il Lombardia (1.UWT) ,243.0
2019-10-10,DNF,Gran Piemonte (1.HC) ,183.0
2019-10-08,DNF,Tre Valli Varesine (1.HC) ,197.8
2019-10-06,77,Stage 6 - Sveta Nedelja › Zagreb ,154.0
2019-10-05,26,Stage 5 - Rabac › Platak ,136.0
2019-10-04,32,Stage 4 - Starigrad › Gorski Kotar ,155.0
2019-10-03,69,Stage 3 - Okrug › Makarska ,63.5
2019-10-02,88,Stage 2 - Slunj › Zadar ,183.0
2019-10-01,64,Stage 1 - Osijek › Lipik ,200.0
2019-09-19,DNF,Coppa Sabatini - Gran Premio città di Peccioli (1.1) ,195.9
2019-09-18,62,Giro della Toscana - Memorial Alfredo Martini (1.1) ,204.4
2019-09-15,80,Coppa Bernocchi - GP BPM (1.1) ,198.2
2019-09-14,55,Coppa Agostoni - Giro delle Brianze (1.1) ,195.5
2019-08-24,26,Stage 4 - Confolens › Limoges ,177.4
2019-08-23,19,Stage 3 - Chamboulive › Beynat ,176.8
2019-08-22,30,Stage 2 - Base départementale de Rouffiac › Trélissac ,182.9
2019-08-21,23,Stage 1 - Condat-sur-Vienne › Guéret ,172.2
2019-08-17,51,Stage 5 - Santo Domingo de Silos › Lagunas de Neila ,146.0
2019-08-16,52,Stage 4 - Atapuerca › Ciudad Romana de Clunia ,174.0
2019-08-15,50,Stage 3 - Sargentes de la Lora › Picón Blanco ,150.0
2019-08-14,80,Stage 2 - Gumiel de Izan › Lerma ,155.0
2019-08-13,76,Stage 1 - Burgos › Burgos ,162.0
2019-07-25,27,Prueba Villafranca-Ordiziako Klasika (1.1) ,165.7
2019-06-23,27,Stage 5 - Trebnje › Novo mesto ,167.5
2019-06-22,32,Stage 4 - Nova Gorica › Ajdovščina ,153.9
2019-06-21,31,Stage 3 - Žalec › Idrija ,169.8
2019-06-20,35,Stage 2 - Maribor › Celje ,146.3
2019-06-19,51,Stage 1 - Ljubljana › Rogaška Slatina ,171.0
2019-06-02,54,Stage 21 (ITT) - Verona › Verona ,17.0
2019-06-01,70,Stage 20 - Feltre  › Monte Avena ,194.0
2019-05-31,47,Stage 19 - Treviso › San Martino di Castrozza ,151.0
2019-05-30,124,Stage 18 - Valdaora / Olang › Santa Maria di Sala ,222.0
2019-05-29,48,Stage 17 - Commezzadura (Val di Sole) › Anterselva / Antholz ,181.0
2019-05-28,97,Stage 16 - Lovere › Ponte di Legno ,194.0
2019-05-26,123,Stage 15 - Ivrea › Como ,232.0
