date,result ranking,race name,distance
2022-01-21,DNF,Stage 6 - Plata de Concafé › Casa del Padre ,114.1
2022-01-20,98,Stage 5 - La Tendida › La Grita ,101.4
2022-01-19,104,Stage 4 - Lagunillas › Mérida ,104.6
2022-01-18,98,Stage 3 - Socopó › Barinitas ,131.8
2022-01-17,7,Stage 2 - Hacienda Los Almendros › Ciudad Bolivia ,149.9
2022-01-16,94,Stage 1 - Tariba › San Cristóbal ,123.9
2022-01-21,DNF,Stage 6 - Plata de Concafé › Casa del Padre,114.1
2022-01-20,98,Stage 5 - La Tendida › La Grita,101.4
2022-01-19,104,Stage 4 - Lagunillas › Mérida,104.6
2022-01-18,98,Stage 3 - Socopó › Barinitas,131.8
2022-01-17,7,Stage 2 - Hacienda Los Almendros › Ciudad Bolivia,149.9
2022-01-16,94,Stage 1 - Tariba › San Cristóbal,123.9
2021-11-07,11,Stage 8 - La Guaira › La Guaira,105.0
2021-11-06,34,Stage 7 - Valencia › Valencia,144.4
2021-11-05,35,Stage 6 - San Felipe › Cagua,146.8
2021-11-04,8,Stage 5 - Araure › Araure,115.2
2021-11-03,3,Stage 4 - Chivacoa › Chivacoa,110.0
2021-11-02,16,Stage 3 - San Francisco de Yare › Valencia,156.5
2021-11-01,17,Stage 2 - Charallave › Charallave,98.5
2021-10-31,25,Stage 1 - La Guaira › La Guaira,93.7
2021-06-20,56,National Championships Venezuela - Road Race (NC),
