date,result ranking,race name,distance
2022-06-12,54,Elfstedenronde Brugge (1.1) ,192.3
2022-05-22,DNF,Rund um Köln (1.1) ,199.3
2022-05-15,DNF,Stage 9 - Isernia › Blockhaus ,191.0
2022-05-14,147,Stage 8 - Napoli › Napoli ,153.0
2022-05-13,164,Stage 7 - Diamante › Potenza ,196.0
2022-05-12,52,Stage 6 - Palmi › Scalea ,192.0
2022-05-11,161,Stage 5 - Catania › Messina ,174.0
2022-05-10,167,Stage 4 - Avola › Etna ,172.0
2022-05-08,27,Stage 3 - Kaposvár › Balatonfüred ,201.0
2022-05-07,173,Stage 2 (ITT) - Budapest › Budapest ,9.2
2022-05-06,160,Stage 1 - Budapest › Visegrád ,195.0
2022-05-01,DNF,Eschborn-Frankfurt (1.UWT) ,185.0
2022-04-16,77,Stage 7 - Gelibolu › Tekirdağ ,131.3
2022-04-15,86,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği) ,201.5
2022-04-14,27,Stage 5 - Manisa › Ayvalık ,186.1
2022-04-13,142,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park) ,146.2
2022-04-12,47,Stage 3 - Çeşme › İzmir (Karşıyaka) ,117.9
2022-04-11,52,Stage 2 - Selçuk (Efes) › Alaçatı ,156.4
2022-04-10,124,Stage 1 - Bodrum › Kuşadası ,202.0
2022-04-06,11,Scheldeprijs (1.Pro)  213k,198.7
2022-04-02,DNF,Volta Limburg Classic (1.1) ,195.0
2022-03-25,DNF,E3 Saxo Bank Classic (1.UWT) ,203.9
2022-03-23,70,Minerva Classic Brugge-De Panne (1.UWT) ,207.9
2022-03-18,80,Bredene Koksijde Classic (1.Pro) ,200.9
2022-03-11,DNF,Stage 5 - Sefro › Fermo ,155.0
2022-03-10,146,Stage 4 - Cascata delle Marmore › Bellante ,202.0
2022-03-09,164,Stage 3 - Murlo › Terni ,170.0
2022-03-08,164,Stage 2 - Camaiore › Sovicille ,219.0
2022-03-07,153,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore ,13.9
2022-02-03,DNF,Stage 3 - Tayma Hadaj Well › AlUla Old Town ,181.2
2022-02-02,90,Stage 2 - Taibah University › Abu Rakah ,163.9
2022-02-01,59,Stage 1 - Winter Park › Winter Park ,198.0
2022-04-16,77,Stage 7 - Gelibolu › Tekirdağ,131.3
2022-04-15,86,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği),201.5
2022-04-14,27,Stage 5 - Manisa › Ayvalık,186.1
2022-04-13,142,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park),146.2
2022-04-12,47,Stage 3 - Çeşme › İzmir (Karşıyaka),117.9
2022-04-11,52,Stage 2 - Selçuk (Efes) › Alaçatı,156.4
2022-04-10,124,Stage 1 - Bodrum › Kuşadası,202.0
2022-04-06,11,Scheldeprijs (1.Pro),198.7
2022-04-02,DNF,Volta Limburg Classic (1.1),195.0
2022-03-25,DNF,E3 Saxo Bank Classic (1.UWT),203.9
2022-03-23,70,Minerva Classic Brugge-De Panne (1.UWT),207.9
2022-03-18,80,Bredene Koksijde Classic (1.Pro),200.9
2022-03-11,DNF,Stage 5 - Sefro › Fermo,155.0
2022-03-10,146,Stage 4 - Cascata delle Marmore › Bellante,202.0
2022-03-09,164,Stage 3 - Murlo › Terni,170.0
2022-03-08,164,Stage 2 - Camaiore › Sovicille,219.0
2022-03-07,153,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore,13.9
2022-02-03,DNF,Stage 3 - Tayma Hadaj Well › AlUla Old Town,181.2
2022-02-02,90,Stage 2 - Taibah University › Abu Rakah,163.9
2022-02-01,59,Stage 1 - Winter Park › Winter Park,198.0
2021-10-10,DNF,Paris - Tours Elite (1.Pro),212.3
2021-10-07,113,Paris - Bourges (1.1),198.0
2021-10-03,19,Sparkassen Münsterland Giro (1.Pro),188.5
2021-09-29,DNF,Eurométropole Tour (1.Pro),177.6
2021-09-21,29,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3
2021-09-19,109,Gooikse Pijl (1.1),199.0
2021-09-18,DNF,Primus Classic (1.Pro),197.7
2021-09-17,26,Kampioenschap van Vlaanderen (1.1),195.3
2021-09-12,28,GP de Fourmies / La Voix du Nord (1.Pro),197.6
2021-08-29,DNF,Stage 4 - Erlangen › Nürnberg,156.3
2021-08-28,47,Stage 3 - Ilmenau  › Erlangen,193.9
2021-08-27,105,Stage 2 - Sangerhausen › Ilmenau,180.6
2021-08-26,27,Stage 1 - Stralsund › Schwerin,191.4
2021-08-08,54,Stage 4 - Gratangen › Harstad,163.5
2021-08-07,94,Stage 3 - Finnsnes › Målselv ,184.5
2021-08-06,74,Stage 2 - Nordkjosbotn › Kilpisjärvi,177.6
2021-08-05,33,Stage 1 - Tromsø › Tromsø,142.4
2021-07-24,2,Stage 5 - Dinant › Quaregnon,192.4
2021-07-23,11,Stage 4 - Neufchâteau › Fleurus,206.0
2021-07-22,156,Stage 3 - Plombières › Érezée,177.0
2021-07-21,14,Stage 2 - Zolder › Zolder,120.0
2021-07-20,122,Stage 1 - Genappe › Héron,185.7
2021-06-20,DNF,National Championships Germany - Road Race (NC),177.5
2021-06-13,70,Stage 5 - Turnhout › Beringen,178.7
2021-06-12,96,Stage 4 - Hamoir › Hamoir,152.7
2021-06-11,68,Stage 3 - Gingelom › Scherpenheuvel-Zichem,174.4
2021-06-10,140,Stage 2 (ITT) - Knokke-Heist › Knokke-Heist,11.2
2021-06-09,129,Stage 1 - Beveren › Maarkedal,175.3
2021-06-06,47,Elfstedenronde (1.1),193.1
2021-06-04,DNF,Grosser Preis des Kantons Aargau (1.1),172.0
2021-05-16,31,Stage 5 - Budapest › Budapest,92.4
2021-05-15,93,Stage 4 - Balassagyarmat › Gyöngyös-Kékestető,202.2
2021-05-14,114,Stage 3 - Veszprém › Tata,141.9
2021-05-13,51,Stage 2 - Balatonfüred › Nagykanizsa,182.6
2021-05-12,49,Stage 1 - Siófok › Kaposvár,173.0
2021-05-09,134,Stage 5 - Albufeira › Malhão,170.1
2021-05-08,80,Stage 4 (ITT) - Lagoa › Lagoa,20.3
2021-05-07,27,Stage 3 - Faro › Tavira,203.1
2021-05-06,166,Stage 2 - Sagres › Fóia,182.8
2021-05-05,159,Stage 1 - Lagos › Portimão,189.5
2021-04-23,111,Stage 5 - Valle del Chiese/Idroland › Riva del Garda,120.9
2021-04-22,123,Stage 4 - Naturns › Pieve di Bono,168.6
2021-04-21,118,Stage 3 - Imst › Naturns,162.0
2021-04-20,131,Stage 2 - Innsbruck › Feichten im Kaunertal,121.5
2021-04-19,100,Stage 1 - Brixen › Innsbruck,140.6
2021-04-07,27,Scheldeprijs ME (1.Pro),193.8
2021-03-28,DNS,Gent-Wevelgem in Flanders Fields ME (1.UWT),250.0
2021-03-24,55,Oxyclean Classic Brugge-De Panne ME (1.UWT),203.9
2021-03-19,55,Bredene Koksijde Classic (1.Pro),199.9
2020-11-08,135,Stage 18 - Hipódromo de la Zarzuela › Madrid,139.6
2020-11-07,140,Stage 17 - Sequeros › Alto de la Covatilla,178.2
2020-11-06,119,Stage 16 - Salamanca › Ciudad Rodrigo,162.0
