date,result ranking,race name,distance
1992-08-18,19,GP Stad Zottegem () ,164.0
1992-04-12,41,Paris - Roubaix (CDM) ,267.5
1992-04-05,94,Ronde van Vlaanderen / Tour des Flandres (CDM) ,260.0
1992-03-28,16,E3-Prijs Harelbeke () ,205.0
1992-03-21,94,Milano-Sanremo (CDM) ,294.0
1992-08-18,19,GP Stad Zottegem () ,164.0
1992-04-12,41,Paris - Roubaix (CDM) ,267.5
1992-04-05,94,Ronde van Vlaanderen / Tour des Flandres (CDM) ,260.0
1992-03-28,16,E3-Prijs Harelbeke () ,205.0
1992-03-21,94,Milano-Sanremo (CDM) ,294.0
1991-08-10,132,Clasica Ciclista San Sebastian (CDM) ,238.0
1991-05-10,OTL,Stage 12 - Bossost › Cerler ,111.0
1991-04-07,74,Ronde van Vlaanderen / Tour des Flandres (CDM) ,261.0
1991-03-30,22,E3-Prijs Harelbeke () ,203.0
1991-03-28,13,Dwars door België / À travers la Belgique () ,203.0
1991-03-15,6,Stage 4a - Lorca › Mazarron ,96.0
1990-06-24,21,National Championships Belgium - Road Race (NC) ,230.4
1990-04-15,110,Liège - Bastogne - Liège (CDM) ,256.0
1990-04-14,50,Gent - Wevelgem () ,204.0
1990-04-08,31,Paris - Roubaix (CDM) ,265.0
1989-10-08,47,Paris - Tours (CDM) ,283.5
1989-09-30,2,Circuit des Frontières () ,187.0
1989-09-23,16,GP Impanis () ,187.0
1989-09-20,24,Paris-Bruxelles () ,294.0
1989-09-17,15,Grand Prix de la Libération (CDM) ,114.8
1989-09-10,28,GP de Fourmies / La Voix du Nord () ,201.0
1989-08-09,10,Stage 1b - Verviers › Charleroi ,159.0
1989-04-23,5,Nokere Koerse () ,165.0
1989-04-19,22,Scheldeprijs () ,199.0
1989-03-19,25,Grand Prix de Cholet-Mauléon-Moulins () ,238.0
1989-03-11,10,Circuit des XI Villes () ,199.0
1988-09-11,30,GP de Fourmies / La Voix du Nord () ,226.0
1988-06-26,42,National Championships Belgium - Road Race (NC) ,268.8
1988-04-26,38,Scheldeprijs () ,249.0
1988-04-10,14,Paris - Roubaix () ,266.0
1988-04-03,72,Ronde van Vlaanderen / Tour des Flandres () ,279.0
1988-03-05,37,Omloop Het Volk () ,246.0
1987-10-11,42,Paris - Tours (SPP) ,255.5
1987-10-03,13,Stage 4b - Killarney › Limerick ,133.9
1987-09-30,8,Stage 1 - Dublin › Waterford ,225.2
1987-09-13,9,GP de Fourmies / La Voix du Nord () ,226.0
1987-05-25,9,Stage 3 - Rennes › Nantes ,118.0
1987-05-24,5,Stage 2 - Landerneau › Rennes ,233.0
1987-05-23,4,Stage 1 - Yffniac › Landerneau ,179.6
1987-05-10,14,Stage 5 - Saint-Pol-sur-Ternoise  › Dunkerque ,188.0
1987-05-09,DF,Stage 4 - Denain › Saint Quentin    ,154.0
1987-05-08,DF,Stage 3a - Armentières › Cassel ,91.0
1987-05-08,14,Stage 3b - Lillers › Denain ,112.0
1987-05-07,DF,Stage 2 - Ghyvelde › Dunkerque ,164.0
1987-05-06,DF,Stage 1 - Dunkerque › Dunkerque ,188.0
1987-05-05,DF,Prologue - Dunkerque › Dunkerque ,5.9
1986-09-27,11,GP Impanis () ,216.0
1986-09-24,26,Paris-Bruxelles (SPP) ,301.0
1986-09-21,15,Grand Prix d'Isbergues - Pas de Calais () ,203.0
1986-09-14,5,GP de Fourmies / La Voix du Nord () ,226.0
1986-08-15,5,Stage 3 - Genval › Lessive ,183.0
1986-07-27,23,Stage 23 - Cosne sur Loire › Paris ,246.5
1986-07-26,29,Stage 22 - Clermont Ferrand › Nevers ,196.0
1986-07-25,106,Stage 21 - Saint-Etienne › Puy de Dôme ,190.0
1986-07-24,64,Stage 20 (ITT) - Saint-Etienne › Saint-Etienne ,58.0
1986-07-23,113,Stage 19 - Villard de Lans › Saint-Etienne ,179.5
1986-07-20,80,Stage 18 - Briançon › l'Alpe d'Huez ,162.5
1986-07-20,102,Stage 17 - Gap › Col du Granon ,190.0
1986-07-19,63,Stage 16 - Nîmes › Gap ,246.5
1986-07-18,68,Stage 15 - Carcassonne › Nîmes ,225.5
1986-07-18,110,Stage 14 - Luchon › Blagnac ,154.0
1986-07-16,137,Stage 13 - Pau › Superbagnères ,186.0
1986-07-15,146,Stage 12 - Bayonne › Pau ,217.5
1986-07-14,140,Stage 11 - Poitiers › Bordeaux ,258.5
1986-07-13,36,Stage 10 - Nantes › Futuroscope ,183.0
1986-07-12,92,Stage 9 (ITT) - Nantes › Nantes ,61.5
1986-07-11,23,Stage 8 - Saint Hilaire du Harcouët › Nantes ,204.0
1986-07-10,137,Stage 7 - Cherbourg › Saint Hilaire du Harcouët ,201.0
1986-07-09,159,Stage 6 - Villers-sur-Mer › Cherbourg ,200.0
1986-07-08,35,Stage 5 - Évreux › Villers-sur-Mer ,124.5
1986-07-07,141,Stage 4 - Liévin › Évreux ,243.0
1986-07-06,24,Stage 3 - Levallois-Perret  › Liévin ,214.0
1986-07-05,DF,Stage 2 (TTT) - Meudon › St-Quentin-en-Yvelines  ,56.0
1986-07-05,36,Stage 1 - Nanterre  › Sceaux ,85.0
1986-07-04,145,Prologue - Boulogne-Billancourt › Boulogne-Billancourt ,4.6
1986-06-22,52,National Championships Belgium - Road Race (NC) ,266.4
1986-06-12,7,Stage 1 - Le Grau-du-Roi  › Le Barcarès  ,207.0
1986-06-08,2,Grand Prix de Plumelec  () ,185.0
1986-06-02,DF,Stage 7a - Laragne › Camarade  ,106.0
1986-06-02,DF,Stage 7b (ITT) - Camarade  › Nyons ,35.9
1986-06-01,DF,Stage 6 - Grenoble › Puy-Saint-Vincent ,207.0
1986-05-31,DF,Stage 5 - Chambéry  › Albertville ,184.0
1986-05-30,DF,Stage 4b - Charavines › Chambéry  ,94.0
1986-05-30,3,Stage 4a - Saint-Chamond  › Charavines ,100.0
1986-05-29,DF,Stage 3 - Digoin › Saint Etienne  ,195.0
1986-05-28,DF,Stage 2 - Belleville  › Gueugnon    ,186.0
1986-05-27,5,Stage 1 - Annecy › Villeurbanne ,176.0
1986-05-26,DF,Prologue - Annecy › Annecy ,4.1
1986-05-06,11,Stage 1 - Dunkerque › Saint Quentin  ,204.0
1985-07-21,37,Stage 22 - Orléans › Paris ,217.0
1985-07-20,39,Stage 21 (ITT) - Limoges › Lac de Vassivière ,45.7
1985-07-19,27,Stage 20 - Montpon-Ménestérol › Limoges ,225.0
1985-07-18,42,Stage 19 - Pau › Bordeaux ,200.0
1985-07-17,63,Stage 18a - Luz-Saint Sauveur › Col d'Aubisque ,52.5
1985-07-17,43,Stage 18b - Laruns › Pau ,83.5
1985-07-16,106,Stage 17 - Toulouse › Luz-Ardiden ,209.5
1985-07-15,30,Stage 16 - Aurillac › Toulouse ,247.0
1985-07-14,81,Stage 15 - Saint-Etienne › Aurillac ,237.0
1985-07-13,76,Stage 14 - Autrans › Saint-Etienne ,179.0
1985-07-11,75,Stage 13 (ITT) - Lans-en-Vercors › Villard-de-Lans ,31.8
1985-07-10,66,Stage 12 - Morzine › Lans en Vercors ,269.0
1985-07-09,66,Stage 11 - Pontarlier › Morzine-Avoriaz ,195.0
1985-07-08,83,Stage 10 - Épinal › Pontarlier ,204.5
1985-07-07,85,Stage 9 - Straatsburg › Épinal ,173.5
1985-07-06,59,Stage 8 (ITT) - Sarrebourg › Straatsburg ,75.0
1985-07-05,149,Stage 7 - Reims › Nancy ,217.0
1985-07-04,14,Stage 6 - Roubaix › Reims ,221.0
1985-07-03,29,Stage 5 - Neufchâtel-en-Bray › Roubaix ,224.0
1985-07-02,39,Stage 4 - Fougères › Pont-Audemer ,240.0
1985-07-01,DF,Stage 3 (TTT) - Vitré › Fougères ,75.0
1985-06-30,32,Stage 2 - Lorient › Vitré ,242.0
1985-06-29,19,Stage 1 - Vannes › Lanester ,256.0
1985-06-28,51,Prologue - Plumelec › Plumelec ,6.8
1985-05-11,12,Stage 4 - Saint Quentin › Armentières ,187.0
1985-05-09,1,Stage 2 - Dunkerque › Denain ,201.0
1985-05-08,18,Stage 1 - Dunkerque › Dunkerque ,185.0
1985-04-21,85,Liège - Bastogne - Liège (SPP) ,244.7
1985-04-10,48,Gent - Wevelgem (SPP) ,262.0
1985-04-07,12,Ronde van Vlaanderen / Tour des Flandres (SPP) ,271.0
1985-03-30,12,E3-Prijs Harelbeke () ,215.0
1985-03-21,19,Dwars door België / À travers la Belgique () ,198.0
1985-03-16,87,Milano-Sanremo (SPP) ,294.0
1985-03-02,19,Omloop Het Volk (SPP) ,223.0
1984-10-07,95,Paris - Tours (SPP) ,249.0
1984-09-09,22,GP de Fourmies / La Voix du Nord () ,232.1
1984-09-02,DNF,World Championships - Road Race (WC) ,255.55
1984-07-22,DF,Stage 23 - Pantin › Paris ,196.5
1984-07-21,DF,Stage 22 (ITT) - Villié-Morgon › Villefranche-sur-Saone ,51.0
1984-07-20,DF,Stage 21 - Crans-Montana › Villefranche-sur-Saone ,320.0
1984-07-19,DF,Stage 20 - Morzine › Crans-Montana ,140.5
1984-07-18,DF,Stage 19 - Aime › Morzine-Avoriaz ,186.0
1984-07-17,OTL,Stage 18 - Bourg d'Oisans › La Plagne ,185.0
1984-07-16,127,Stage 17 - Grenoble › l'Alpe d'Huez ,223.0
1984-07-15,102,Stage 16 (ITT) - Les Échelles › La Ruchère ,22.0
1984-07-13,61,Stage 15 - Domaine du Rouret › Grenoble ,241.5
1984-07-12,85,Stage 14 - Rodez › Domaine du Rouret ,227.5
1984-07-11,71,Stage 13 - Blagnac › Rodez ,220.5
1984-07-10,66,Stage 12 - Saint Girons › Blagnac ,111.0
1984-07-09,104,Stage 11 - Pau › Guzet-Neige ,226.5
1984-07-08,17,Stage 10 - Langon › Pau ,198.0
1984-07-07,28,Stage 9 - Nantes › Bordeaux ,338.0
1984-07-06,16,Stage 8 - Le Mans › Nantes ,192.0
1984-07-05,65,Stage 7 (ITT) - Alençon › Le Mans ,67.0
1984-07-04,43,Stage 6 - Cergy Pontoise › Alençon ,202.0
1984-07-03,32,Stage 5 - Béthune › Cergy Pontoise ,207.0
