date,result ranking,race name,distance
2000-05-21,36.0,Stage 5 - Coburg › Neustadt/Aisch ,152.0
2000-05-20,87.0,Stage 10 - Karlovy Vary › Prague ,171.0
2000-05-20,48.0,Stage 4 - Bamberg › Coburg ,175.0
2000-05-19,87.0,Stage 9 - Most › Karlovy Vary ,184.0
2000-05-19,88.0,Stage 3 - Roding › Bamberg ,218.0
2000-05-18,82.0,Stage 8 - Trutnov › Usti nad Labem ,230.0
2000-05-18,74.0,Stage 2 - Burghausen › Roding ,208.0
2000-05-17,101.0,Stage 7 - Kłodzko › Kudowa-Zdroj ,179.0
2000-05-17,47.0,Stage 1a - Burghausen › Burghausen ,125.0
2000-05-17,91.0,Stage 1b (ITT) - Burghausen › Burghausen ,12.0
2000-05-16,97.0,Stage 6 - Luban › Kudowa-Zdroj ,191.0
2000-05-15,112.0,Stage 5 - Riesa › Zgorzelec ,170.0
2000-05-14,118.0,Stage 4 (ITT) - Halle › Leipzig ,37.2
2000-05-13,81.0,Stage 3 - Wernigerode › Halle ,118.0
2000-05-12,94.0,Stage 2 - Wolfsburg › Wernigerode ,167.0
2000-05-11,76.0,Stage 1 - Hannover › Hannover ,177.0
2000-02-06,18.0,G.P. Costa degli Etruschi (NE) ,171.0
2000-05-21,36.0,Stage 5 - Coburg › Neustadt/Aisch ,152.0
2000-05-20,87.0,Stage 10 - Karlovy Vary › Prague ,171.0
2000-05-20,48.0,Stage 4 - Bamberg › Coburg ,175.0
2000-05-19,87.0,Stage 9 - Most › Karlovy Vary ,184.0
2000-05-19,88.0,Stage 3 - Roding › Bamberg ,218.0
2000-05-18,82.0,Stage 8 - Trutnov › Usti nad Labem ,230.0
2000-05-18,74.0,Stage 2 - Burghausen › Roding ,208.0
2000-05-17,101.0,Stage 7 - Kłodzko › Kudowa-Zdroj ,179.0
2000-05-17,47.0,Stage 1a - Burghausen › Burghausen ,125.0
2000-05-17,91.0,Stage 1b (ITT) - Burghausen › Burghausen ,12.0
2000-05-16,97.0,Stage 6 - Luban › Kudowa-Zdroj ,191.0
2000-05-15,112.0,Stage 5 - Riesa › Zgorzelec ,170.0
2000-05-14,118.0,Stage 4 (ITT) - Halle › Leipzig ,37.2
2000-05-13,81.0,Stage 3 - Wernigerode › Halle ,118.0
2000-05-12,94.0,Stage 2 - Wolfsburg › Wernigerode ,167.0
2000-05-11,76.0,Stage 1 - Hannover › Hannover ,177.0
2000-02-06,18.0,G.P. Costa degli Etruschi (NE) ,171.0
