date,result ranking,race name,distance
2011-04-24,14,Banja Luka-Belgrade II (1.2) ,132.0
2011-04-24,14,Banja Luka-Belgrade II (1.2) ,132.0
2008-09-07,26,Ljubljana - Zagreb (1.2) ,200.0
2008-06-17,DNF,Stage 2 - Banja Koviljaca › Pale ,165.0
2008-06-16,44,Stage 1 - Beograd › Loznica ,133.5
2008-05-17,29,Classic Beograd - Cacak (1.2) ,
2008-04-21,8,Beograd - Banja Luka II (1.2) ,125.5
2008-04-20,DNF,Beograd - Banja Luka I (1.2) ,131.5
2007-07-01,2,National Championships Bosnia and Herzegovina - Road Race (NC) ,
2007-06-18,DNS,Stage 1a - Beograd › Kikinda ,125.0
2007-05-19,11,Beograd - Cacak (1.2) ,144.0
2007-03-21,105,Stage 1 - Herceg Novi › Ulcinj ,152.0
2005-06-14,24,Stage 1a - Beograd › Pozarevac ,82.1
2005-06-14,112,Stage 1b - Pozarevac › Jagodina ,91.8
2002-06-23,9,Stage 1a - Novi Sad › Novi Sad ,112.0
2002-06-23,41,Stage 1b - Novi Sad › Arancelovac ,170.0
1998-10-07,63,World Championships U23 - ITT (WC) ,32.9
1994-08-25,52,World Championships - ITT (WC) ,42.0
1994-08-21,14,UCI TTT World Championships Men (WC) ,100.0
