date,result ranking,race name,distance
1998-05-26,DNF,Stage 3 - Manchester › Blackpool ,186.0
1998-05-25,64,Stage 2 - Gateshaed › York ,169.0
1998-05-24,55,Stage 1 - Edinburgh › Newcastle ,207.0
1998-05-23,30,Prologue - Stirling › Stirling ,4.2
1998-05-18,3,Stage 2 - Santander › Cuesta de la Atalaya ,
1998-05-17,5,Stage 1 - Santander › Torrelavega ,124.0
1998-05-03,14,Trophée des Grimpeurs (1.3) ,132.3
1998-04-29,10,Stage 2 - Esch-sur-Alzette › Auboué ,170.0
1998-02-04,8,Stage 1 - La Ciotat › Aubagne ,127.0
1998-05-26,DNF,Stage 3 - Manchester › Blackpool ,186.0
1998-05-25,64,Stage 2 - Gateshaed › York ,169.0
1998-05-24,55,Stage 1 - Edinburgh › Newcastle ,207.0
1998-05-23,30,Prologue - Stirling › Stirling ,4.2
1998-05-18,3,Stage 2 - Santander › Cuesta de la Atalaya ,
1998-05-17,5,Stage 1 - Santander › Torrelavega ,124.0
1998-05-03,14,Trophée des Grimpeurs (1.3) ,132.3
1998-04-29,10,Stage 2 - Esch-sur-Alzette › Auboué ,170.0
1998-02-04,8,Stage 1 - La Ciotat › Aubagne ,127.0
1997-09-13,3,Stage 9 - Saint-Lary-Soulan › Auch ,99.0
1997-09-06,10,Stage 2 - Vannes › Cholet ,197.0
1997-06-15,2,Stage 4 (ITT) - Santander › Santander ,1.0
1997-05-17,12,Stage 5 - Utsunomiya › Utsunomiya ,154.5
1997-05-16,2,"Stage 4 - Oyama, Shizuoka › Oyama, Shizuoka ",134.1
1997-05-12,78,Stage 2 - Suzuka › Suzuka ,146.6
1997-05-11,62,Stage 1 - Osaka › Osaka ,140.0
1997-05-01,4,Stage 4 - Joeuf › Metz ,107.5
1997-02-04,21,Grand Prix d'Ouverture La Marseillaise (1.4) ,141.0
1996-09-22,32,Grand Prix d'Isbergues - Pas de Calais () ,210.0
1996-09-09,18,Stage 6 - Saint-Éloy-les-Mines › Saint-Étienne ,236.0
1996-09-06,14,Stage 3 - Pontchâteau › Parthenay ,231.0
1996-09-04,13,Stage 1 - Benodet › Loudéac ,171.0
1996-09-01,36,GP Ouest France - Plouay () ,209.0
