date,result ranking,race name,distance
2022-06-19,73,Stage 5 - Gingelom › Beringen ,179.9
2022-06-18,107,Stage 4 - Durbuy › Durbuy ,172.2
2022-06-17,109,Stage 3 (ITT) - Scherpenheuvel-Zichem › Scherpenheuvel-Zichem ,11.8
2022-06-16,62,Stage 2 - Beveren › Knokke-Heist ,175.6
2022-06-15,135,Stage 1 - Merelbeke › Maarkedal ,165.0
2022-06-06,48,Ronde van Limburg (1.1) ,202.6
2022-06-05,DNF,Brussels Cycling Classic (1.Pro) ,203.9
2022-06-04,120,Heylen Vastgoed Heistse Pijl (1.1) ,192.8
2022-05-29,50,Stage 6 - Stavanger › Stavanger ,149.3
2022-05-28,49,Stage 5 - Flekkefjord › Sandnes ,181.7
2022-05-27,91,Stage 4 - Hovden › Kristiansand  205k,232.1
2022-05-26,79,Stage 3 - Gol › Stavsro/Gaustatoppen ,175.8
2022-05-25,90,Stage 2 - Ulvik › Geilo ,123.8
2022-05-24,99,Stage 1 - Bergen › Voss ,173.6
2022-04-15,DNS,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği) ,201.5
2022-04-14,147,Stage 5 - Manisa › Ayvalık ,186.1
2022-04-13,159,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park) ,146.2
2022-04-12,143,Stage 3 - Çeşme › İzmir (Karşıyaka) ,117.9
2022-04-11,159,Stage 2 - Selçuk (Efes) › Alaçatı ,156.4
2022-04-10,165,Stage 1 - Bodrum › Kuşadası ,202.0
2022-03-18,53,Bredene Koksijde Classic (1.Pro) ,200.9
2022-03-17,DNF,Grand Prix de Denain - Porte du Hainaut (1.Pro) ,200.3
2022-03-16,74,Danilith Nokere Koerse (1.Pro) ,189.8
2022-02-26,76,Stage 7 - Al Ain › Jebel Hafeet ,148.0
2022-02-25,52,Stage 6 - Expo 2020 Dubai › Expo 2020 Dubai  ,180.0
2022-02-24,64,Stage 5 - Ras al Khaimah Corniche › Al Marjan Island  ,182.0
2022-02-23,101,Stage 4 - Fujairah Fort › Jebel Jais ,181.0
2022-02-22,100,Stage 3 (ITT) - Ajman › Ajman ,9.0
2022-02-21,97,Stage 2 - Hudayriyat Island › Abu Dhabi Breakwater ,176.0
