date,result ranking,race name,distance
2004-06-20,121,Stage 10 - Rieti › Rieti ,117.0
2004-06-18,97,Stage 8 (ITT) - Fabriano › Fabriano ,20.4
2004-06-17,63,Stage 7 - Lamporecchio › Cerbaia ,167.0
2004-06-15,76,Stage 5 - Paspardo › Lozio ,138.7
2004-06-14,106,Stage 4 - Fiesso d'Artico › Tregnago ,173.0
2004-06-12,22,Stage 2 - Ravenna › Porto Tolle ,180.2
2004-06-11,7,Stage 1 - Mirabilandia › Marina di Ravenna ,121.2
2004-06-20,121,Stage 10 - Rieti › Rieti ,117.0
2004-06-18,97,Stage 8 (ITT) - Fabriano › Fabriano ,20.4
2004-06-17,63,Stage 7 - Lamporecchio › Cerbaia ,167.0
2004-06-15,76,Stage 5 - Paspardo › Lozio ,138.7
2004-06-14,106,Stage 4 - Fiesso d'Artico › Tregnago ,173.0
2004-06-12,22,Stage 2 - Ravenna › Porto Tolle ,180.2
2004-06-11,7,Stage 1 - Mirabilandia › Marina di Ravenna ,121.2
2003-10-23,2,Stage 3 - Puerto Barrios › Zacapa ,171.2
2003-05-10,DNF,Stage 5 - San Andrés del Rabanedo › León ,155.0
2003-05-09,62,Stage 4 - Valdepiélagos › Boñar ,160.6
2003-05-08,65,Stage 3 - Bembibre › Villablino ,145.0
2003-05-07,63,Stage 2 - Cistierna › Cistierna ,146.8
2003-05-06,74,Stage 1 - Valencia de Don Juan › Valencia de Don Juan ,146.3
