date,result ranking,race name,distance
1998-10-15,42,Giro del Piemonte (1.2) ,198.0
1998-10-04,15,Paris - Tours (CDM) ,254.5
1998-10-02,6,Stage 4 - Martina Franca  › Martina Franca  ,172.0
1998-09-30,9,Stage 2 - Trani  › Alberobello   ,162.0
1998-09-27,16,Gran Premio Bruno Beghelli (1.4) ,200.0
1998-09-18,45,Giro del Lazio () ,198.0
1998-09-13,15,GP de Fourmies / La Voix du Nord () ,208.0
1998-09-09,20,GP Industria & Commercio di Prato (1.1) ,199.0
1998-09-06,3,Giro di Romagna (1.3) ,195.0
1998-08-30,17,Trofeo Melinda (1.3) ,200.0
1998-08-29,33,Giro del Veneto (1.1) ,199.6
1998-08-23,12,Gran Premio Llodio (1.4) ,195.0
1998-08-05,42,GP Città di Camaiore (1.2) ,198.0
1998-06-25,78,Stage 9 - Bern › Bern ,180.0
1998-06-24,82,Stage 8 (ITT) - Ittigen › Ittigen ,30.0
1998-06-23,104,Stage 7 - Brunnen › Huttwil ,180.0
1998-06-22,115,Stage 6 - Haag › Morschach/Brunnen ,164.0
1998-06-21,81,Stage 5 - Lenzerheide › Lenzerheide ,156.1
1998-06-20,80,Stage 4 - Varese/Malpensa › Lenzerheide ,230.0
1998-06-19,100,Stage 3 - Oberwald/Obergoms › Varese ,208.0
1998-06-18,95,Stage 2 - Aigle › Ulrichen/Obergoms ,159.0
1998-06-16,106,Prologue - Biel › Biel ,5.6
1998-04-25,52,Amstel Gold Race (CDM) ,257.3
1998-04-23,28,GP de Denain Porte du Hainaut (1.3) ,189.0
1998-04-16,54,Veenendaal - Veenendaal (1.2) ,209.0
1998-04-12,DNF,Paris - Roubaix (CDM) ,266.0
1998-04-03,48,Trofeo Comunidad Foral de Navarra (1.4) ,186.0
1998-10-15,42,Giro del Piemonte (1.2) ,198.0
1998-10-04,15,Paris - Tours (CDM) ,254.5
1998-10-02,6,Stage 4 - Martina Franca  › Martina Franca  ,172.0
1998-09-30,9,Stage 2 - Trani  › Alberobello   ,162.0
1998-09-27,16,Gran Premio Bruno Beghelli (1.4) ,200.0
1998-09-18,45,Giro del Lazio () ,198.0
1998-09-13,15,GP de Fourmies / La Voix du Nord () ,208.0
1998-09-09,20,GP Industria & Commercio di Prato (1.1) ,199.0
1998-09-06,3,Giro di Romagna (1.3) ,195.0
1998-08-30,17,Trofeo Melinda (1.3) ,200.0
1998-08-29,33,Giro del Veneto (1.1) ,199.6
1998-08-23,12,Gran Premio Llodio (1.4) ,195.0
1998-08-05,42,GP Città di Camaiore (1.2) ,198.0
1998-06-25,78,Stage 9 - Bern › Bern ,180.0
1998-06-24,82,Stage 8 (ITT) - Ittigen › Ittigen ,30.0
1998-06-23,104,Stage 7 - Brunnen › Huttwil ,180.0
1998-06-22,115,Stage 6 - Haag › Morschach/Brunnen ,164.0
1998-06-21,81,Stage 5 - Lenzerheide › Lenzerheide ,156.1
1998-06-20,80,Stage 4 - Varese/Malpensa › Lenzerheide ,230.0
1998-06-19,100,Stage 3 - Oberwald/Obergoms › Varese ,208.0
1998-06-18,95,Stage 2 - Aigle › Ulrichen/Obergoms ,159.0
1998-06-16,106,Prologue - Biel › Biel ,5.6
1998-04-25,52,Amstel Gold Race (CDM) ,257.3
1998-04-23,28,GP de Denain Porte du Hainaut (1.3) ,189.0
1998-04-16,54,Veenendaal - Veenendaal (1.2) ,209.0
1998-04-12,DNF,Paris - Roubaix (CDM) ,266.0
1998-04-03,48,Trofeo Comunidad Foral de Navarra (1.4) ,186.0
1997-10-15,62,Milano-Torino (1.1) ,207.0
1997-10-03,6,Stage 4 - Pulsano › Martina Franca ,171.0
1997-09-14,27,GP de Fourmies / La Voix du Nord () ,208.0
1997-08-30,3,Trofeo Melinda (1.3) ,196.6
1997-08-24,11,Gran Premio Llodio (1.4) ,197.0
1997-08-18,6,Stage 1 ,100.0
1997-08-09,69,Clasica Ciclista San Sebastian (CDM) ,234.0
1997-08-06,20,G.P. Camaiore () ,198.2
1997-08-03,13,Trofeo Matteotti (1.3) ,203.0
1997-06-22,DNF,Stage 5 - Biasca › Bosco Gurin ,147.5
1997-06-21,94,Stage 4 (ITT) - Spiez › Spiez ,31.5
1997-06-20,96,Stage 3 - La Chaux-de-Fonds › Kandersteg ,183.2
1997-06-19,107,Stage 2 - Basel › La Chaux-de-Fonds ,202.1
1997-06-18,122,Stage 1 - Romanshorn › Basel ,193.1
1997-06-17,87,Prologue - Romanshorn › Romanshorn ,7.2
1996-10-04,3,Stage 4 - Martina Franca › Martina Franca ,172.0
1996-09-15,10,GP de Fourmies / La Voix du Nord () ,210.0
1996-09-08,10,Giro di Romagna (1.3) ,207.7
1996-09-05,21,Trofeo Melinda () ,209.0
1996-08-24,5,Gran Premio Llodio () ,193.0
1996-08-10,23,Clasica Ciclista San Sebastian (CDM) ,234.0
1996-06-20,19,Stage 9 - Zurich › Zurich-Oerlikon ,180.5
1996-06-19,38,Stage 8 (ITT) - Frauenfeld › Frauenfeld ,34.6
1996-06-18,17,Stage 7 - Grindelwald › Frauenfeld ,232.0
1996-06-17,13,Stage 6 - Ascona › Grindelwald ,198.0
1996-06-16,15,Stage 5 - Oberwald › Ascona ,169.0
1996-06-15,21,Stage 4 - Crissier › Ulrichen  ,218.5
1996-06-14,5,Stage 3 - Biel › Bussigny ,198.4
1996-06-13,33,Stage 2 - Baden › Biel/Bienne ,218.6
1996-06-12,4,Stage 1 - Wil › Baden ,190.1
1996-06-11,13,Prologue - Wil › Wil ,5.4
1996-05-05,19,GP du canton d'Argovie (1.1) ,196.0
1996-04-28,45,Tour de Berne (1.3) ,196.8
1996-03-23,107,Milano-Sanremo (CDM) ,294.0
1995-10-31,9,Japan Cup Cycle Road Race () ,154.0
1995-10-19,41,Gran Piemonte () ,188.0
1995-05-15,38,Stage 3 - Spoleto › Marotta ,161.0
1995-05-13,128,Stage 1 - Perugia › Terni ,205.0
1995-05-04,6,Stage 2 - Delemont › Villeneuve ,178.7
1995-04-24,7,GP Industria & Artigianato () ,210.0
1995-03-18,39,Milano-Sanremo (CDM) ,294.0
1994-10-23,3,Japan Cup Cycle Road Race () ,154.5
1994-10-06,33,Gran Piemonte () ,193.0
1994-09-03,25,Giro del Veneto () ,208.4
1994-05-01,22,GP Industria & Artigianato () ,210.0
1994-03-19,130,Milano-Sanremo (CDM) ,294.0
1993-10-16,3,Piccolo Giro di Lombardia (1.2) ,177.0
1993-10-07,40,Gran Piemonte () ,199.0
1993-08-14,3,Gp Di Poggiana () ,
1992-04-07,3,Circuito Belvedere (1.2) ,156.5
1991-05-18,8,Stage 8 - Bełchatów › Warschau ,186.0
1991-05-14,5,Stage 4 - Hradec Kralove › Polanica-Zdroj ,140.0
1988-06-09,1,GP Industria e Commercio - Tr. Città di San Vendemiano (1.2) ,
