date,result ranking,race name,distance
2019-06-30,5,National Championships Georgia - Road Race (NC) ,
2019-06-29,6,National Championships Georgia - ITT (NC) ,
2019-05-19,33,Stage 3 - Giresun › Çarşamba ,170.0
2019-05-18,55,Stage 2 - Rize › Giresun ,208.0
2019-05-17,28,Stage 1 - Rize › Rize ,120.0
2019-06-30,5,National Championships Georgia - Road Race (NC) ,
2019-06-29,6,National Championships Georgia - ITT (NC) ,
2019-05-19,33,Stage 3 - Giresun › Çarşamba ,170.0
2019-05-18,55,Stage 2 - Rize › Giresun ,208.0
2019-05-17,28,Stage 1 - Rize › Rize ,120.0
2018-07-01,1,National Championships Georgia - Road Race (NC) ,
2018-06-29,1,National Championships Georgia - ITT (NC) ,
2018-06-21,43,Stage 4 - Konya › Konya ,110.3
2018-06-20,25,Stage 3 - Konya › Beyşehir ,193.5
2018-06-19,35,Stage 2 - Konya › Konya ,140.4
2018-06-18,63,Prologue - Konya › Konya ,8.0
2018-05-06,16,Stage 4 - Diyarbakin › Sanliurfa ,182.0
2018-05-05,21,Stage 3 - Mardin › Diyarbakin ,155.0
2018-05-04,27,Stage 2 - Mardin › Mardin ,104.0
2018-05-03,47,Stage 1 - Sanliurfa › Mardin ,188.0
2018-02-18,DNF,Grand Prix Alanya (1.2) ,175.0
2017-09-23,DNS,World Championships MJ - Road Race (WC) ,133.8
2017-06-25,1,National Championships Georgia MJ - Road Race (NC) ,
2017-05-03,56,Stage 4 - Grudziadz › Grudziadz ,109.5
2017-05-02,66,Stage 3 - Lisewo › Pluznica ,90.5
2017-05-01,46,Stage 2 - Swiecie › Swiecie ,87.6
2017-04-30,37,Stage 1a - Gruta › Lasin ,58.0
2017-04-30,73,Stage 1b - Jablonowo › Jablonowo ,58.8
2016-10-14,DNF,World Championships MJ - Road Race (WC) ,135.3
2016-10-11,79,World Championships MJ - ITT (WC) ,28.9
2016-06-25,3,National Championships Georgia MJ - ITT (NC) ,
2016-04-30,DNF,Stage 1b - Jablonowo Pom. › Jablonowo Pom. ,78.4
2016-04-30,23,Stage 1a (TTT) - Gruta › Lasin ,12.5
