date,result ranking,race name,distance
2022-06-26,121,National Championships Belgium - Road Race (NC) ,208.7
2022-06-19,113,Stage 5 - Gingelom › Beringen ,179.9
2022-06-18,68,Stage 4 - Durbuy › Durbuy ,172.2
2022-06-17,101,Stage 3 (ITT) - Scherpenheuvel-Zichem › Scherpenheuvel-Zichem ,11.8
2022-06-16,19,Stage 2 - Beveren › Knokke-Heist ,175.6
2022-06-15,111,Stage 1 - Merelbeke › Maarkedal ,165.0
2022-06-11,DNF,Dwars door het Hageland (1.Pro)  106k,177.0
2022-05-29,DNF,Marcel Kint Classic (1.1) ,199.0
2022-05-26,38,Circuit de Wallonie (1.1) ,192.2
2022-05-22,22,Antwerp Port Epic / Sels Trophy (1.1) ,181.4
2022-05-21,78,Veenendaal-Veenendaal Classic (1.1) ,197.9
2022-05-07,28,Ronde van Overijssel (1.2) ,199.8
2022-04-06,DNF,Scheldeprijs (1.Pro) ,198.7
2022-04-02,50,Volta Limburg Classic (1.1) ,195.0
2022-03-20,26,Cholet - Pays de la Loire (1.1) ,202.0
2022-03-18,39,Bredene Koksijde Classic (1.Pro) ,200.9
2022-03-16,73,Danilith Nokere Koerse (1.Pro) ,189.8
2022-03-06,83,Grote Prijs Jean-Pierre Monseré (1.1) ,203.2
2022-03-01,DNF,Le Samyn (1.1) ,209.0
2022-01-30,59,Trofeo Playa de Palma - Palma (1.1) ,169.1
2022-01-29,116,Trofeo Pollença - Port d'Andratx (1.1) ,170.1
2022-01-27,101,Trofeo Alcúdia - Port d'Alcúdia (1.1) ,173.2
2022-01-26,75,Trofeo Calvia (1.1) ,154.7
2022-04-06,DNF,Scheldeprijs (1.Pro),198.7
2022-04-02,50,Volta Limburg Classic (1.1),195.0
2022-03-20,26,Cholet - Pays de la Loire (1.1),202.0
2022-03-18,39,Bredene Koksijde Classic (1.Pro),200.9
2022-03-16,73,Danilith Nokere Koerse (1.Pro),189.8
2022-03-06,83,Grote Prijs Jean-Pierre Monseré (1.1),203.2
2022-03-01,DNF,Le Samyn (1.1),209.0
2022-01-30,59,Trofeo Playa de Palma - Palma (1.1),169.1
2022-01-29,116,Trofeo Pollença - Port d'Andratx (1.1),170.1
2022-01-27,101,Trofeo Alcúdia - Port d'Alcúdia (1.1),173.2
2022-01-26,75,Trofeo Calvia (1.1),154.7
2021-10-03,DNS,Gylne Gutuer (1.2),168.5
2021-10-02,DNS,Lillehammer GP (1.2),133.0
2021-09-26,99,Classique Paris-Chauny (1.1),205.3
2021-09-23,14,Omloop van het Houtland Middelkerke-Lichtervelde (1.1),190.0
2021-09-19,79,Gooikse Pijl (1.1),199.0
2021-09-18,44,Primus Classic (1.Pro),197.7
2021-09-15,DNF,Grand Prix de Wallonie (1.Pro),208.1
2021-09-12,8,Antwerp Port Epic / Sels Trophy (1.1),183.4
2021-08-26,DNF,Druivenkoers - Overijse (1.1),192.0
2021-08-15,DNF,Grote Prijs Jef Scherens - Rondom Leuven (1.1),190.0
2021-07-24,47,Stage 5 - Dinant › Quaregnon,192.4
2021-07-23,62,Stage 4 - Neufchâteau › Fleurus,206.0
2021-07-22,99,Stage 3 - Plombières › Érezée,177.0
2021-07-21,60,Stage 2 - Zolder › Zolder,120.0
2021-07-20,48,Stage 1 - Genappe › Héron,185.7
2021-06-20,95,National Championships Belgium - Road Race (NC),221.3
2021-06-15,DNF,Paris-Camembert (1.1),210.0
2021-05-30,DNF,Fyen Rundt - Tour of Funen (1.2),206.1
2021-05-29,10,Grand Prix Herning (1.2),195.0
2021-05-13,88,Circuit de Wallonie (1.1),194.2
2021-03-19,DNF,Bredene Koksijde Classic (1.Pro),199.9
2021-03-07,105,Grote Prijs Jean-Pierre Monseré (1.1),202.1
2020-09-22,92,National Championships Belgium - Road Race (NC),235.8
2020-09-20,59,Grand Prix d'Isbergues - Pas de Calais (1.1),199.3
2020-09-13,DNF,Antwerp Port Epic / Sels Trophy (1.1),190.0
2020-08-30,100,Brussels Cycling Classic (1.Pro),204.0
2020-08-15,58,Dwars door het Hageland (1.Pro),180.0
2020-03-08,40,Grote prijs Jean-Pierre Monseré (1.1),196.8
2020-03-03,DNF,Le Samyn (1.1),201.9
2020-02-23,13,Stage 4 - Side › Antalya,136.8
2020-02-22,54,Stage 3 - Aspendos › Termessos,101.6
2020-02-21,73,Stage 2 - Kemer › Antalya,165.3
2020-02-20,27,Stage 1 - Antalya › Antalya,149.2
2019-10-13,21,Memorial Rik Van Steenbergen / Kempen Classic (1.1),199.81
2019-10-12,15,Tacx Pro Classic / Ronde van Zeeland (1.1),204.6
2019-10-06,1,Stage 5 - Sarein › Tabriz,188.9
2019-10-05,41,Stage 4 - Tabriz › Sarein,198.2
2019-10-04,36,Stage 3 - Urmia › Tabriz,163.0
2019-10-03,31,Stage 2 - Aras › Khoy,180.0
2019-10-02,60,Stage 1 - Tabriz › Aras,148.3
2019-09-25,DNF,Omloop van het Houtland Lichtervelde (1.1),186.3
2019-09-22,20,Gooikse Pijl (1.1),198.1
2019-09-20,41,Kampioenschap van Vlaanderen (1.1),186.0
