date,result ranking,race name,distance
2008-06-13,80,Prologue - Hulst › Hulst ,2.8
2008-05-21,DNF,Stage 4 - Corofin › Tralee ,156.0
2008-05-20,17,Stage 3 - Claremorris › Lisdoonvarna ,133.0
2008-05-19,124,Stage 2 - Ballinamore › Claremorris ,167.0
2008-05-18,118,Stage 1 - Navan › Ballinamore ,142.0
2008-05-03,43,Ronde van Overijssel (1.2) ,201.3
2008-04-12,DNF,Albert Achterhes Pet Ronde van Drenthe (1.1) ,209.0
2008-06-13,80,Prologue - Hulst › Hulst ,2.8
2008-05-21,DNF,Stage 4 - Corofin › Tralee ,156.0
2008-05-20,17,Stage 3 - Claremorris › Lisdoonvarna ,133.0
2008-05-19,124,Stage 2 - Ballinamore › Claremorris ,167.0
2008-05-18,118,Stage 1 - Navan › Ballinamore ,142.0
2008-05-03,43,Ronde van Overijssel (1.2) ,201.3
2008-04-12,DNF,Albert Achterhes Pet Ronde van Drenthe (1.1) ,209.0
2007-08-21,115,GP Stad Zottegem-Dr. Tistaert Prijs (1.1) ,182.1
2007-07-04,DNF,GP Gerrie Kneteman (1.1) ,145.2
2007-06-13,DNF,Dutch Food Valley Classic (1.HC) ,209.0
2007-06-10,DNF,Stage 3 - Breskens › Breskens ,190.0
2007-06-09,56,Stage 2 (ITT) - Hengstijk › Vogelwaarde ,9.6
2007-06-09,104,Stage 1 - Hulst › Vogelwaarde ,100.1
2007-05-17,101,Stage 6 (ITT) - Hardenberg › Hardenberg ,17.0
2007-05-17,96,Stage 5 - Heerenveen › Hardenberg ,98.7
2007-05-16,50,Stage 4 - Heerhugowaard › Heerenveen ,173.8
2007-05-15,52,Stage 3 - Hoofddorp › Heerhugowaard ,146.9
2007-05-14,81,Stage 2 - Gendringen › Hoofddorp ,197.4
2007-05-13,91,Stage 1 - Anholt › Gendringen ,158.5
2007-05-12,68,Prologue - Varsseveld › Varsseveld ,6.4
2007-04-14,DNF,Albert Achterhes Pet Ronde van Drenthe (1.1) ,209.3
2007-03-27,71,Stage 2 ,211.0
2006-09-28,DNF,Stage 1 - Maubeuge › Quiévrain ,175.8
2006-09-10,76,Stage 3 - Tarcienne › Tarcienne ,112.8
2006-09-10,67,Stage 2 (ITT) - Froidchapelle › Froidchapelle ,14.7
2006-09-09,101,Stage 1 - Gerpinnes › Tarcienne ,180.0
2006-06-24,12,National Championships Netherlands U23 - Road Race (NC) ,158.0
2006-05-25,DNF,Tour de Vendée (1.1) ,201.0
2005-10-11,85,Nationale Sluitingprijs Putte-Kapellen (1.1) ,177.2
2005-09-04,76,Stage 5 - Lucenec › Lucenec ,128.2
2005-09-03,77,Stage 4b - Revúca › Lucenec ,109.1
2005-09-03,7,Stage 4a (ITT) - Revúca › Jelsava ,16.6
2005-09-02,85,Stage 3 - Dedinky › Revúca ,178.6
2005-09-01,70,Stage 2 - Kosice › Dedinky ,189.9
2005-08-31,84,Stage 1 - Kosice › Kosice ,172.8
2005-08-17,19,National Championships Netherlands U23 - ITT (NC) ,34.0
2005-06-25,11,National Championships Netherlands U23 - Road Race (NC) ,175.5
2005-06-22,75,Brussel-Ingooigem (1.1) ,175.0
2005-05-29,72,Paris - Roubaix Espoirs (1.2U) ,180.5
2005-05-23,48,Stage 9 - Hoogerheide › Ossendrecht ,185.0
2005-05-22,42,Stage 8 - Buchten › Ossendrecht ,219.0
2005-05-21,93,Stage 7 - Geleen › Buchten ,175.0
2005-05-20,80,Stage 6 - Nunspeet › Rhenoy ,140.0
2005-05-19,13,Stage 5 (ITT) - Nunspeet › Nunspeet ,20.0
2005-05-18,75,Stage 4 - Tiel › Nunspeet ,100.0
2005-05-17,107,Stage 3 - Hardenberg › Tiel ,180.0
2005-05-16,107,Stage 2 - Veendam › Hardenberg ,170.0
2005-05-15,105,Stage 1 - Veendam › Veendam ,138.0
2005-05-14,26,Prologue - Veendam › Veendam ,6.4
2005-05-01,48,Stage 6 - Quimperlé › Josselin ,156.0
2005-04-29,26,Stage 4 - Rosporden › Plaintel ,147.3
2005-04-28,33,Stage 3 - Auray › Douarnenez ,173.9
2005-04-26,90,Stage 1 - Rennes › La Chapelle-des-Marais ,153.2
2005-04-25,12,Prologue - Rennes › Rennes ,5.3
2005-04-15,DNF,Veenendaal - Veenendaal (1.HC) ,209.6
2005-04-11,51,Rund um Düren (1.2) ,159.0
2005-04-10,15,Grand Prix de la Ville de Nogent-sur-Oise (1.2) ,165.6
2005-04-02,DNF,Hel van het Mergelland (1.1) ,188.6
2005-03-28,DNF,Rund um Köln (1.1) ,203.0
2005-03-20,DNF,GP Rudy Dhaenens (1.1) ,190.0
2005-02-26,68,Beverbeek Classic (1.2) ,169.0
2004-09-12,20,Stage 2 (ITT) - Froidchapelle › Froidchapelle ,14.0
2004-09-11,2,Stage 1 - Tarcienne › Tarcienne ,168.5
2004-08-22,33,Vlaamse Havenpijl (1.5) ,182.0
2004-08-03,16,Omloop der Vlaamse Gewesten (1.7.1) ,
2004-07-29,31,Internatie Reningelst (1.7.2) ,
2004-07-11,86,Gent - Menen (1.8) ,124.0
2004-06-26,100,National Championships Netherlands U23 - Road Race (NC) ,175.5
2004-06-09,15,National Championships Netherlands U23 - ITT (NC) ,30.0
2003-08-27,18,National Championships Netherlands U23 - ITT (NC) ,33.5
2001-08-15,6,National Championships Netherlands MJ - ITT (NC) ,24.0
