date,result ranking,race name,distance
2022-06-26,2,National Championships Sweden - Road Race (NC) ,186.0
2022-06-23,3,National Championships Sweden - ITT (NC) ,31.0
2022-05-29,17,Stage 21 (ITT) - Verona › Verona ,17.4
2022-05-28,110,Stage 20 - Belluno › Marmolada (Passo Fedaia) ,168.0
2022-05-27,119,Stage 19 - Marano Lagunare › Santuario di Castelmonte ,178.0
2022-05-26,95,Stage 18 - Borgo Valsugana › Treviso ,156.0
2022-05-25,136,Stage 17 - Ponte di Legno › Lavarone ,168.0
2022-05-24,63,Stage 16 - Salò › Aprica ,202.0
2022-05-22,69,Stage 15 - Rivarolo Canavese › Cogne ,177.0
2022-05-21,92,Stage 14 - Santena › Torino ,147.0
2022-05-20,133,Stage 13 - Sanremo › Cuneo ,150.0
2022-05-19,96,Stage 12 - Parma › Genova ,204.0
2022-05-18,154,Stage 11 - Santarcangelo di Romagna › Reggio Emilia ,203.0
2022-05-17,83,Stage 10 - Pescara › Jesi ,196.0
2022-05-15,87,Stage 9 - Isernia › Blockhaus ,191.0
2022-05-14,103,Stage 8 - Napoli › Napoli ,153.0
2022-05-13,158,Stage 7 - Diamante › Potenza ,196.0
2022-05-12,154,Stage 6 - Palmi › Scalea ,192.0
2022-05-11,144,Stage 5 - Catania › Messina ,174.0
2022-05-10,107,Stage 4 - Avola › Etna ,172.0
2022-05-08,55,Stage 3 - Kaposvár › Balatonfüred ,201.0
2022-05-07,44,Stage 2 (ITT) - Budapest › Budapest ,9.2
2022-05-06,58,Stage 1 - Budapest › Visegrád ,195.0
2022-04-10,111,Amstel Gold Race (1.UWT) ,254.1
2022-04-03,DNF,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT) ,272.5
2022-03-30,DNF,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT) ,183.7
2022-03-27,72,Gent-Wevelgem in Flanders Fields ME (1.UWT) ,248.8
2022-03-25,36,E3 Saxo Bank Classic (1.UWT) ,203.9
2022-03-13,99,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto ,159.0
2022-03-12,44,Stage 6 - Apecchio › Carpegna ,215.0
2022-03-11,45,Stage 5 - Sefro › Fermo ,155.0
2022-03-10,93,Stage 4 - Cascata delle Marmore › Bellante ,202.0
2022-03-09,28,Stage 3 - Murlo › Terni ,170.0
2022-03-08,121,Stage 2 - Camaiore › Sovicille ,219.0
2022-03-07,7,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore ,13.9
2022-03-05,60,Strade Bianche (1.UWT) ,184.0
2022-02-27,86,Kuurne - Bruxelles - Kuurne (1.Pro) ,195.1
2022-02-26,19,Omloop Het Nieuwsblad ME (1.UWT) ,204.2
2022-02-13,62,Stage 3 - Manosque › Montagne de Lure ,166.1
2022-02-12,69,Stage 2 - Arles › Manosque ,180.6
2022-02-11,60,Stage 1 - Istres › Les Saintes-Maries-de-la-Mer ,151.8
2022-02-10,3,Prologue - Berre-l'Étang › Berre-l'Étang ,7.1
2022-02-06,27,Stage 5 (ITT) - Alès › Alès l'Ermitage ,10.64
2022-02-05,72,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet ,146.71
2022-02-04,64,Stage 3 - Bessèges › Bessèges ,155.65
2022-02-03,52,Stage 2 - Saint-Christol-lèz-Alès › Rousson ,156.21
2022-02-02,85,Stage 1 - Bellegarde › Bellegarde ,160.86
2022-01-30,65,Grand Prix Cycliste de Marseille La Marseillaise (1.1) ,174.3
2022-04-10,111,Amstel Gold Race (1.UWT),254.1
2022-04-03,DNF,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5
2022-03-30,DNF,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7
2022-03-27,72,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8
2022-03-25,36,E3 Saxo Bank Classic (1.UWT),203.9
2022-03-13,99,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto,159.0
2022-03-12,44,Stage 6 - Apecchio › Carpegna,215.0
2022-03-11,45,Stage 5 - Sefro › Fermo,155.0
2022-03-10,93,Stage 4 - Cascata delle Marmore › Bellante,202.0
2022-03-09,28,Stage 3 - Murlo › Terni,170.0
2022-03-08,121,Stage 2 - Camaiore › Sovicille,219.0
2022-03-07,7,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore,13.9
2022-03-05,60,Strade Bianche (1.UWT),184.0
2022-02-27,86,Kuurne - Bruxelles - Kuurne (1.Pro),195.1
2022-02-26,19,Omloop Het Nieuwsblad ME (1.UWT),204.2
2022-02-13,62,Stage 3 - Manosque › Montagne de Lure,166.1
2022-02-12,69,Stage 2 - Arles › Manosque,180.6
2022-02-11,60,Stage 1 - Istres › Les Saintes-Maries-de-la-Mer,151.8
2022-02-10,3,Prologue - Berre-l'Étang › Berre-l'Étang,7.1
2022-02-06,27,Stage 5 (ITT) - Alès › Alès l'Ermitage,10.64
2022-02-05,72,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet,146.71
2022-02-04,64,Stage 3 - Bessèges › Bessèges,155.65
2022-02-03,52,Stage 2 - Saint-Christol-lèz-Alès › Rousson,156.21
2022-02-02,85,Stage 1 - Bellegarde › Bellegarde,160.86
2022-01-30,65,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3
2021-10-09,36,Tour de Vendée (1.1),199.8
2021-10-02,DNF,Classic Loire Atlantique (1.1),182.8
2021-10-01,76,La Route Adélie de Vitré (1.1),197.8
2021-09-29,116,Eurométropole Tour (1.Pro),177.6
2021-09-05,88,Stage 21 (ITT) - Padrón › Santiago de Compostela,33.8
2021-09-04,103,Stage 20 - Sanxenxo › Mos. Castro de Herville,202.2
2021-09-03,98,Stage 19 - Tapia › Monforte de Lemos,191.2
2021-09-02,86,Stage 18 - Salas › Altu d'El Gamoniteiru,162.6
2021-09-01,62,Stage 17 - Unquera › Lagos de Covadonga,185.8
2021-08-31,100,Stage 16 - Laredo › Santa Cruz de Bezana,180.0
2021-08-29,89,Stage 15 - Navalmoral de la Mata › El Barraco,197.5
2021-08-28,108,Stage 14 - Don Benito › Pico Villuercas,165.7
2021-08-27,119,Stage 13 - Belmez › Villanueva de la Serena,203.7
2021-08-26,141,Stage 12 - Jaén › Córdoba,175.0
2021-08-25,128,Stage 11 - Antequera › Valdepeñas de Jaén,133.6
2021-08-24,105,Stage 10 - Roquetas de Mar › Rincón de la Victoria,189.0
2021-08-22,122,Stage 9 - Puerto-Lumbreras › Alto de Velefique,188.0
2021-08-21,164,Stage 8 - Santa Pola › La Manga del Mar Menor,173.7
2021-08-20,136,Stage 7 - Gandía › Balcón de Alicante,152.0
2021-08-19,141,Stage 6 - Requena › Alto de la Montaña de Cullera,158.3
2021-08-18,108,Stage 5 - Tarancón › Albacete,184.4
2021-08-17,129,Stage 4 - El Burgo de Osma › Molina de Aragón,163.9
