date,result ranking,race name,distance
2022-06-12,85,Stage 8 - Saint-Alban-Leysse › Plateau de Salaison ,138.8
2022-06-11,128,Stage 7 - Saint-Chaffrey › Vaujany ,134.8
2022-06-10,119,Stage 6 - Rives › Gap ,196.5
2022-06-09,145,Stage 5 - Thizy-les-Bourgs › Chaintré ,162.3
2022-06-08,72,Stage 4 (ITT) - Montbrison › La Bâtie d’Urfé ,31.9
2022-06-07,53,Stage 3 - Saint-Paulien › Chastreix-Sancy ,169.0
2022-06-06,140,Stage 2 - Saint-Péray › Brives-Charensac ,169.8
2022-06-05,119,Stage 1 - La Voulte-sur-Rhône › Beauchastel ,191.8
2022-05-01,61,Stage 5 (ITT) - Aigle › Villars ,15.84
2022-04-30,59,Stage 4 - Aigle › Zinal (Val d'Anniviers) ,180.1
2022-04-29,69,Stage 3 - Valbroye › Valbroye ,165.1
2022-04-28,78,Stage 2 - Échallens › Échallens ,168.2
2022-04-27,93,Stage 1 - La Grande Beroche › Romont ,178.0
2022-04-26,114,Prologue - Lausanne › Lausanne ,5.12
2022-04-24,119,Liège-Bastogne-Liège (1.UWT) ,257.2
2022-04-20,103,La Flèche Wallonne (1.UWT) ,202.1
2022-04-09,DNF,Stage 6 - Eibar › Arrate  50k,135.7
2022-04-08,73,Stage 5 - Zamudio › Mallabia ,163.76
2022-04-07,115,Stage 4 - Vitoria-Gasteiz › Zamudio  139k,185.6
2022-04-06,72,Stage 3 - Llodio › Amurrio ,181.7
2022-04-05,80,Stage 2 - Leitza › Viana ,207.92
2022-04-04,114,Stage 1 (ITT) - Hondarribia › Hondarribia ,7.51
2022-03-16,88,Milano - Torino (1.Pro) ,199.0
2022-03-13,98,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto ,159.0
2022-03-12,57,Stage 6 - Apecchio › Carpegna ,215.0
2022-03-11,76,Stage 5 - Sefro › Fermo ,155.0
2022-03-10,99,Stage 4 - Cascata delle Marmore › Bellante  154k,202.0
2022-03-09,151,Stage 3 - Murlo › Terni ,170.0
2022-03-08,149,Stage 2 - Camaiore › Sovicille ,219.0
2022-03-07,69,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore ,13.9
2022-03-05,DNF,Strade Bianche (1.UWT) ,184.0
2022-02-20,13,Stage 5 - Huesa › Chiclana de Segura  75k,146.4
2022-02-19,42,Stage 4 - Cúllar Vega › Baza ,167.4
2022-02-18,49,Stage 3 - Lucena › Otura ,153.2
2022-02-17,54,Stage 2 - Archidona › Alcalá la Real ,150.6
2022-02-16,116,Stage 1 - Ubrique › Iznájar ,200.7
2022-02-04,DNS,Stage 3 - Alicante › Antenas del Maigmó ,155.1
2022-02-03,69,Stage 2 - Bétera › Torrent ,171.5
2022-02-02,121,Stage 1 - Les Alqueries › Torralba del Pinar ,166.7
2022-04-28,78,Stage 2 - Échallens › Échallens,168.2
2022-04-27,93,Stage 1 - La Grande Beroche › Romont,178.0
2022-04-26,114,Prologue - Lausanne › Lausanne,5.12
2022-04-24,119,Liège-Bastogne-Liège (1.UWT),257.2
2022-04-20,103,La Flèche Wallonne (1.UWT),202.1
2022-04-09,DNF,Stage 6 - Eibar › Arrate,135.7
2022-04-08,73,Stage 5 - Zamudio › Mallabia,163.76
2022-04-07,115,Stage 4 - Vitoria-Gasteiz › Zamudio,185.6
2022-04-06,72,Stage 3 - Llodio › Amurrio,181.7
2022-04-05,80,Stage 2 - Leitza › Viana,207.92
2022-04-04,114,Stage 1 (ITT) - Hondarribia › Hondarribia,7.51
2022-03-16,88,Milano - Torino (1.Pro),199.0
2022-03-13,98,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto,159.0
2022-03-12,57,Stage 6 - Apecchio › Carpegna,215.0
2022-03-11,76,Stage 5 - Sefro › Fermo,155.0
2022-03-10,99,Stage 4 - Cascata delle Marmore › Bellante,202.0
2022-03-09,151,Stage 3 - Murlo › Terni,170.0
2022-03-08,149,Stage 2 - Camaiore › Sovicille,219.0
2022-03-07,69,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore,13.9
2022-03-05,DNF,Strade Bianche (1.UWT),184.0
2022-02-20,13,Stage 5 - Huesa › Chiclana de Segura,146.4
2022-02-19,42,Stage 4 - Cúllar Vega › Baza,167.4
2022-02-18,49,Stage 3 - Lucena › Otura,153.2
2022-02-17,54,Stage 2 - Archidona › Alcalá la Real,150.6
2022-02-16,116,Stage 1 - Ubrique › Iznájar,200.7
2022-02-04,DNS,Stage 3 - Alicante › Antenas del Maigmó,155.1
2022-02-03,69,Stage 2 - Bétera › Torrent,171.5
2022-02-02,121,Stage 1 - Les Alqueries › Torralba del Pinar,166.7
2021-10-03,87,Stage 6 - Samobor › Zagreb,156.5
2021-10-02,42,Stage 5 - Rabac/Labin › Opatija,137.5
2021-10-01,39,Stage 4 - Zadar › Crikvenica,197.0
2021-09-30,92,Stage 3 - Primošten › Makarska,167.0
2021-09-29,68,Stage 2 - Slunj › Otočac,187.0
2021-09-28,94,Stage 1 - Osijek › Varaždin,237.0
2021-09-19,DNS,World Championships - ITT (WC),43.3
2021-08-29,65,Bretagne Classic - Ouest-France (1.UWT),251.0
2021-08-15,116,Stage 7 - Zabrze › Kraków,144.9
2021-08-14,91,Stage 6 (ITT) - Katowice › Katowice,19.1
2021-08-13,35,Stage 5 - Chochołów › Bielsko-Biała,172.8
2021-08-12,45,Stage 4 - Tarnów › Bukovina Resort,159.9
2021-08-11,74,Stage 3 - Sanok › Rzeszów,226.4
2021-08-10,45,Stage 2 - Zamość › Przemyśl,200.8
2021-08-09,55,Stage 1 - Lublin › Chełm,216.4
2021-07-31,DNF,Donostia San Sebastian Klasikoa (1.UWT),223.5
2021-07-18,48,Stage 5 - Cagliari › Cagliari,170.2
2021-07-17,20,Stage 4 - Cagliari › Cagliari,168.0
2021-07-16,127,Stage 3 - Oristano › Cagliari,180.9
2021-07-15,52,Stage 2 - Sassari › Oristano,185.5
2021-07-14,43,Stage 1 - Alghero › Sassari,155.8
2021-06-06,55,Stage 8 - La Léchère-Les-Bains  › Les Gets,147.0
2021-06-05,37,Stage 7 - Saint-Martin-le-Vinoux › La Plagne,171.1
2021-06-04,30,Stage 6 - Loriol-sur-Drome › Le Sappey-en-Chartreuse,167.2
2021-06-03,105,Stage 5 - Saint-Chamond › Saint-Vallier,175.4
2021-06-02,125,Stage 4 (ITT) - Firminy › Roche-La-Molière,16.4
2021-06-01,35,Stage 3 - Langeac › Saint-Haon-Le-Vieux ,172.2
2021-05-31,41,Stage 2 - Brioude  › Saugues,172.8
2021-05-30,76,Stage 1 - Issoire › Issoire,181.8
2021-05-22,9,Stage 5 - Vera  › Pulpí,107.0
2021-05-21,45,Stage 4 - Baza › Cúllar Vega,182.9
2021-05-20,19,Stage 3 - Beas de Segura › Villarrodrigo (Puerto de Onsares),176.9
2021-05-19,25,Stage 2 - Iznájar  › Alcalá la Real,184.8
2021-05-18,37,Stage 1 - Mijas › Zahara de la Sierra,152.1
2021-05-02,101,Stage 5 (ITT) - Fribourg › Fribourg,16.19
2021-05-01,51,Stage 4 - Sion › Thyon 2000,161.3
2021-04-30,75,Stage 3 - Estavayer › Estavayer,168.7
2021-04-29,56,Stage 2 - La Neuveville › Saint-Imier,165.7
2021-04-28,51,Stage 1 - Aigle › Martigny,168.1
2021-04-27,122,Prologue - Oron › Oron,4.05
2021-04-21,93,La Flèche Wallonne (1.UWT),193.6
2021-04-10,73,Stage 6 - Ondarroa › Arrate (Eibar),111.9
2021-04-09,87,Stage 5 - Hondarribia › Ondarroa,160.2
2021-04-08,52,Stage 4 - Vitoria-Gasteiz › Hondarribia,189.2
2021-04-07,116,Stage 3 - Amurrio › Ermualde (Laudio),167.7
2021-04-06,85,Stage 2 - Zalla › Sestao,154.8
2021-04-05,145,Stage 1 (ITT) - Bilbao › Bilbao,13.89
2021-04-03,DNF,Gran Premio Miguel Indurain (1.Pro),203.2
2021-03-06,5,African Continental Championships ME - Road Race (CC),140.0
2021-03-04,3,African Continental Championships  - Mixed Relay TTT (CC),28.0
2021-03-03,5,African Continental Championships ME - ITT (CC),42.0
2021-02-27,41,Stage 7 - Yas Mall  › Abu Dhabi Breakwater,147.0
2021-02-26,61,Stage 6 - Deira Island › Palm Jumeirah,165.0
2021-02-25,59,Stage 5 - Fujairah Marine Club › Jebel Jais,170.0
2021-02-24,51,Stage 4 - Al Marjan Island › Al Marjan Island,204.0
2021-02-23,33,Stage 3 - Strata Manufactoring › Jebel Hafeet,166.0
2021-02-22,115,Stage 2 (ITT) - Al Hudayriat Island › Al Hudayriat Island,13.0
2021-02-21,66,Stage 1 - Al Dhafra Castle  › Al Mirfa,176.0
2020-11-08,93,Stage 18 - Hipódromo de la Zarzuela › Madrid,139.6
2020-11-07,63,Stage 17 - Sequeros › Alto de la Covatilla,178.2
2020-11-06,41,Stage 16 - Salamanca › Ciudad Rodrigo,162.0
2020-11-05,35,Stage 15 - Mos › Puebla de Sanabria,230.8
2020-11-04,75,Stage 14 - Lugo › Ourense,204.7
2020-11-03,112,Stage 13 (ITT) - Muros › Mirador de Ézaro,33.7
2020-11-01,95,Stage 12 - Pola de Laviana › Alto de l'Angliru,109.4
2020-10-31,99,Stage 11 - Villaviciosa › Alto de la Farrapona,170.0
2020-10-30,81,Stage 10 - Castro Urdiales › Suances,185.0
2020-10-29,70,Stage 9 - Castrillo del Val › Aguilar de Campoo,157.7
2020-10-28,45,Stage 8 - Logroño › Alto de Moncalvillo,164.0
2020-10-27,27,Stage 7 - Vitoria-Gasteiz › Villanueva de Valdegovia,159.7
2020-10-25,53,Stage 6 - Biescas › Aramón Formigal,146.4
2020-10-24,51,Stage 5 - Huesca › Sabiñanigo,184.4
2020-10-23,99,Stage 4 - Garray › Ejea de los Caballeros,191.7
2020-10-22,96,Stage 3 - Lodosa › La Laguna Negra de Vinuesa,166.1
2020-10-21,34,Stage 2 - Pamplona › Lekunberri,151.6
2020-10-20,81,Stage 1 - Irún › Arrate,173.0
2020-10-07,68,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),197.2
2020-10-04,120,Liège-Bastogne-Liège (1.UWT),257.0
2020-09-30,119,La Flèche Wallonne (1.UWT),202.0
2020-09-19,48,Giro dell'Appennino (1.1),191.5
2020-09-17,62,Coppa Sabatini - Gran Premio città di Peccioli (1.Pro),210.1
2020-09-16,57,Giro della Toscana - Memorial Alfredo Martini (1.1),182.9
2020-08-25,49,Bretagne Classic - Ouest-France (1.UWT),247.75
2020-08-15,82,Il Lombardia (1.UWT),231.0
2020-08-12,52,Gran Piemonte (1.Pro),187.0
2020-08-05,67,Milano-Torino (1.Pro),198.0
2020-08-03,DNF,Gran Trittico Lombardo (1.Pro),199.7
2020-02-27,87,Stage 5 - Al Ain › Jebel Hafeet ,162.0
2020-02-26,57,Stage 4 - Zabeel Park  › Dubai City Walk,173.0
2020-02-25,56,Stage 3 - Al Qudra Cycle Track  › Jebel Hafeet ,184.0
2020-02-24,40,Stage 2 - Hatta › Hatta Dam,168.0
2020-02-23,80,Stage 1 - The Pointe  › Dubai Silicon Oasis,148.0
2020-02-09,101,Stage 5 - Paterna › Valencia,97.7
2020-02-08,91,Stage 4 - Calp › Altea (Sierra de Bernia),167.0
2020-02-07,85,Stage 3 - Orihuela › Torrevieja,174.5
2020-02-06,80,Stage 2 - Torrent › Cullera (Montaña),181.0
2020-02-05,62,Stage 1 - Castelló › Vila-Real ,180.0
2019-10-12,DNF,Il Lombardia (1.UWT),243.0
2019-10-06,55,Gran Premio Bruno Beghelli (1.HC),199.3
2019-10-05,60,Giro dell'Emilia (1.HC),207.4
2019-09-15,46,Stage 21 - Fuenlabrada › Madrid,106.6
2019-09-14,93,Stage 20 - Arenas de San Pedro › Plataforma de Gredos,190.4
2019-09-13,65,Stage 19 - Ávila › Toledo,165.2
2019-09-12,100,Stage 18 - Colmenar Viejo › Becerril de la Sierra ,178.2
2019-09-11,57,Stage 17 - Aranda de Duero › Guadalajara ,219.6
2019-09-09,120,Stage 16 - Pravia › Alto de La Cubilla. Lena,144.4
2019-09-08,45,Stage 15 - Tineo › Santuario del Acebo,154.4
2019-09-07,133,Stage 14 - San Vicente de la Barquer › Oviedo ,188.0
2019-09-06,61,Stage 13 - Bilbao › Los Machucos. Monumento Vaca Pasiega,166.4
2019-09-05,13,Stage 12 - Circuito de Navarra › Bilbao,171.4
2019-09-04,68,Stage 11 - Saint-Palais › Urdax-Dantxarinea,180.0
2019-09-03,130,Stage 10 (ITT) - Jurançon › Pau,36.2
2019-09-01,79,Stage 9 - Andorra la Vella › Cortals d’Encamp ,94.4
2019-08-31,105,Stage 8 - Valls › Igualada,166.9
2019-08-30,46,Stage 7 - Onda › Mas de la Costa,183.2
2019-08-29,10,Stage 6 - Mora de Rubielos › Ares del Maestrat ,198.9
2019-08-28,70,Stage 5 - L’Eliana › Observatorio Astrofísico de Javalambre ,170.7
2019-08-27,126,Stage 4 - Cullera › El Puig,175.5
2019-08-26,138,Stage 3 - Ibi. Ciudad del Juguete › Alicante,188.0
2019-08-25,57,Stage 2 - Benidorm › Calpe,199.6
2019-08-24,9,Stage 1 (TTT) - Salinas de Torrevieja › Torrevieja ,13.4
