date,result ranking,race name,distance
1992-09-17,7.0,Stage 9 - Fouesnant › Vannes ,190.0
1992-05-15,1.0,Stage 4 - Tesero › Riva del Garda ,204.0
1992-05-03,14.0,GP du canton d'Argovie () ,206.0
1992-05-01,15.0,Rund um den Henninger Turm () ,209.0
1992-04-25,6.0,Amstel Gold Race (CDM) ,247.5
1992-09-17,7.0,Stage 9 - Fouesnant › Vannes ,190.0
1992-05-15,1.0,Stage 4 - Tesero › Riva del Garda ,204.0
1992-05-03,14.0,GP du canton d'Argovie () ,206.0
1992-05-01,15.0,Rund um den Henninger Turm () ,209.0
1992-04-25,6.0,Amstel Gold Race (CDM) ,247.5
1991-08-27,1.0,Stage 2 - Confolens › Angoulême ,
1991-06-06,10.0,Stage 11 - Sala Baganza › Savona ,223.0
1991-05-17,6.0,Stage 4 - Molveno › Arco ,183.0
1991-05-15,4.0,Stage 2 - Torbole sul Garda › Spiazzo ,172.0
1990-08-30,1.0,Stage 5 ,
1990-05-12,1.0,Stage 2 ,
1990-05-09,4.0,Stage 4 - Boulogne-sur-Mer  › Saint-Quentin  ,213.0
1990-05-07,10.0,Stage 2 - Dunkerque › Boulogne-sur-Mer  ,112.0
1990-05-06,3.0,Stage 1 - Dunkerque › Dunkerque ,167.0
1989-06-15,11.0,Stage 4 ,189.0
1989-06-14,5.0,Stage 3 - Lodève › Villeneuve-lès-Avignon ,171.0
1989-06-13,2.0,Stage 2a - Carcassonne › Saint-Chinian  ,91.0
1989-06-09,4.0,Stage 4 - Carpentras › Valence ,155.7
1989-06-05,26.0,Prologue - Divonne-les-Bains  › Divonne-les-Bains  ,5.0
