date,result ranking,race name,distance
2006-06-11,52,Stage 4 - Grosuplje › Novo mesto ,156.0
2006-06-10,10,Stage 3 - Nova Gorica › Vršic ,158.0
2006-06-09,11,Stage 2 - Medvode › Nova Gorica ,183.0
2006-06-08,62,Stage 1 - Lendava › Brežice ,214.0
2006-06-03,45,GP Kranj (1.2) ,173.0
2006-03-26,21,Stage 4 - Cetinje › Cetinje ,161.0
2006-03-25,3,Stage 3 - Budva › Cetinje ,158.0
2006-03-24,25,Stage 2 - Bar › Budva ,148.0
2006-03-23,36,Stage 1 - Herceg Novi › Bar ,147.0
2006-03-19,77,Stage 3 - Porec › Porec ,138.0
2006-03-18,79,Stage 2 - Porec › Porec ,189.0
2006-03-17,110,Stage 1 - Porec › Labin ,149.0
2006-03-16,53,Prologue - Pazin › Pazin ,1.45
2006-03-12,69,Porec Trophy - Trofej Porec (1.2) ,131.0
2006-06-11,52,Stage 4 - Grosuplje › Novo mesto ,156.0
2006-06-10,10,Stage 3 - Nova Gorica › Vršic ,158.0
2006-06-09,11,Stage 2 - Medvode › Nova Gorica ,183.0
2006-06-08,62,Stage 1 - Lendava › Brežice ,214.0
2006-06-03,45,GP Kranj (1.2) ,173.0
2006-03-26,21,Stage 4 - Cetinje › Cetinje ,161.0
2006-03-25,3,Stage 3 - Budva › Cetinje ,158.0
2006-03-24,25,Stage 2 - Bar › Budva ,148.0
2006-03-23,36,Stage 1 - Herceg Novi › Bar ,147.0
2006-03-19,77,Stage 3 - Porec › Porec ,138.0
2006-03-18,79,Stage 2 - Porec › Porec ,189.0
2006-03-17,110,Stage 1 - Porec › Labin ,149.0
2006-03-16,53,Prologue - Pazin › Pazin ,1.45
2006-03-12,69,Porec Trophy - Trofej Porec (1.2) ,131.0
2005-07-10,49,Stage 7 - Wien › Wien ,130.0
2005-07-09,64,Stage 6 - Graz › Podersdorf ,207.0
2005-07-08,50,Stage 5 - Haus im Ennstal › Graz ,52.5
2005-07-07,23,Stage 4 (ITT) - Kitzbühel › Kitzbüheler Horn  ,10.0
2005-07-06,48,Stage 3 - Lienz › Kitzbühel ,179.0
2005-07-05,19,Stage 2 - Salzburg › Lienzer Dolomiten/Nussdorf ,118.0
2005-07-04,53,Stage 1 - Linz › Salzburg ,186.5
2005-06-26,21,National Championships Slovenia - Road Race (NC) ,170.0
2005-06-24,2,National Championships Slovenia - ITT (NC) ,42.0
2005-06-12,27,Stage 4 - Šentjernej › Novo mesto ,147.0
2005-06-11,5,Stage 3 - Tarvisio/Trbiž › Vršic ,133.0
2005-06-10,53,Stage 2 - Medvode › Villach/Beljak ,171.0
2005-06-09,40,Stage 1 - Ptuj › Ptuj ,160.0
2005-06-05,36,GP Kranj (1.2) ,165.7
2005-05-05,19,Stage 3 - Gresten › Linz ,157.0
2005-05-04,18,Stage 2 - Traismauer › Gresten ,168.0
2005-05-03,64,Stage 1 - Sankt Pölten › Traismauer ,185.0
2005-05-02,43,Prologue - Sankt Pölten › Sankt Pölten ,8.0
2005-04-24,37,Stage 4 - Swidnica › Legnica ,206.2
2005-04-23,86,Stage 3 - Rudna › Polkowice ,149.7
2005-04-22,12,Stage 2 - Jawor › Zlotoryja ,174.8
2005-04-21,95,Stage 1 - Boleslawiec › Glogów ,135.0
2005-04-10,28,Stage 4 - Trescore Balneario › Selvino ,145.7
2005-04-09,41,Stage 3 - Roncadelle › Roncadelle ,162.0
2005-04-07,32,Stage 2 (ITT) - Casazza › Colle Gallo ,6.6
2005-04-07,117,Stage 1 - Brignano Gera d'Adda › Brignano Gera d'Adda ,99.4
2005-03-27,12,Stage 5 - Bar › Kotor ,143.0
2005-03-26,6,Stage 4 - Bar › Bar ,167.0
2005-03-25,22,Stage 3 - Bar › Bar ,167.0
2005-03-23,23,Stage 1 - Tivat › Ulcinj ,86.0
2005-03-20,72,Stage 3 - Poreč › Poreč ,138.0
2005-03-19,55,Stage 2 - Poreč › Poreč ,189.0
2005-03-18,5,Stage 1 - Poreč › Labin ,161.0
2005-03-17,83,Prologue - Pazin › Pazin ,1.45
2005-03-13,68,Porec Trophy - Trofej Porec (1.2) ,134.0
2004-08-22,DNF,GP Schwarzwald (1.3) ,162.4
2004-06-07,63,Stage 1 - Salzburg › Salzburg ,148.0
2004-05-30,20,Stage 8 - Phoenix Park › Phoenix Park ,40.0
2004-05-29,16,Stage 7 - Carrick › Tullow ,149.0
2004-05-28,2,Stage 6 - Milstreet › Seskin Hill ,151.0
2004-05-27,28,Stage 5 - Cahriciveen › Millstreet ,152.0
2004-05-26,6,Stage 4 - Charleville › Cahirciveen ,181.0
2004-05-24,30,Stage 2 - Trim › Oranmore ,167.0
2004-05-23,1,Stage 1 - Dublin › Trim ,132.0
2004-05-09,46,Stage 7 - Grosuplje › Novo Mesto ,150.0
2004-05-08,13,Stage 6 - Villach › Vrsic ,66.0
2004-05-07,2,Stage 5 - Lenart › Villach ,208.0
2004-05-06,46,Stage 4 - Ormož › Ptuj ,160.0
2004-05-05,46,Stage 3 - Ljubljana › Zagreb ,190.0
2004-05-04,28,Stage 2 - Trieste › Nova Gorica ,72.0
2004-05-04,23,Stage 1 - Izola › Trieste ,76.0
2004-05-02,20,GP Krka (1.3) ,162.0
2004-04-18,11,Stage 4 - Montesilvano › Tollo ,127.0
2004-04-17,3,Stage 3 - Atri › Atri ,142.0
2004-04-16,14,Stage 2 - Chieti Scalo › Cepagatti ,177.0
2004-04-12,23,Stage 4 - Carobbio degli Angeli › Bergamo ,157.0
2004-04-11,38,Stage 3 - Seriate › Stezzano ,185.0
2004-04-10,33,Stage 2 - Roncadelle › Roncadelle ,162.0
2004-04-09,30,Stage 1 (ITT) - Casazza › Colle Gallo ,6.6
2004-03-21,34,Stage 5 - Kotor › Tivat ,161.0
2004-03-20,14,Stage 4 - Tivat › Kotor ,173.0
2004-03-19,47,Stage 3 - Tivat › Kotor ,119.0
2004-03-18,6,Stage 2 - Kotor › Tivat ,169.0
2004-03-17,17,Stage 1 - Tivat › Tivat ,171.0
2004-03-14,55,Stage 3 - Porec › Porec ,138.0
2004-03-13,39,Stage 2 - Porec › Porec ,172.0
2004-03-12,67,Stage 1 - Porec › Porec ,189.0
2004-03-11,96,Prologue - Porec › Porec ,0.83
2004-03-07,38,"Giro del Lago Maggiore ""GP Knorr"" (1.5) ",176.6
2003-07-12,53,Stage 4 - Gresten › Weyer ,149.0
2003-07-11,63,Stage 3 - Rabenstein › Gresten ,171.0
2003-07-10,44,Stage 2 - Traismauer › Rabenstein ,162.0
2003-07-09,92,Stage 1 - Traismauer › Traismauer ,178.0
2003-06-27,2,National Championships Slovenia - Road Race (NC) ,143.0
2003-06-27,2,National Championships Slovenia - ITT (NC) ,41.0
2003-06-19,3,Stage 3a - Beograd › Pozarevac ,75.0
2003-06-15,68,Stage 7 - Wien › Wien ,124.0
2003-06-14,36,Stage 6 - St. Kanzian am Klopeinersee › Graz ,157.0
2003-06-13,41,Stage 5 - Lienz › St. Kanzian am Klopeinersee ,200.0
2003-06-12,28,Stage 4 - Kitzbühel › St. Jakob im Defereggental ,149.0
2003-06-11,5,Stage 3 - Bad Gastein › Kitzbühler Horn ,158.0
2003-06-10,5,Stage 2 - Salzburg › Bad Hofgastein ,189.0
2003-06-09,95,Stage 1 - Salzburg › Salzburg ,131.0
2003-05-31,15,Rund um die Hainleite-Erfurt (1.3) ,188.7
2003-05-18,20,Schynberg-Rundfahrt (1.3) ,180.0
2003-04-12,25,Stage 3 - Atri › Atri ,142.0
2003-03-16,47,Stage 3 - Porec › Porec ,128.0
2003-03-15,42,Stage 2 - Porec › Ucka (Vojak) ,119.0
2003-03-14,68,Stage 1 - Porec › Porec ,172.0
2003-03-13,4,Prologue - Lanterna › Lanterna ,6.0
2003-02-23,70,Stage 4 - Rhodes › Rhodes ,136.0
2003-02-22,66,Stage 3 - Rhodes › Rhodes ,158.0
2003-02-21,110,Stage 2 - Rhodes › Rhodes ,120.0
2003-02-20,62,Stage 1 - Rhodes › Rhodes ,160.0
2003-02-19,32,Prologue - Rhodes › Rhodes ,3.4
2003-02-15,17,GP Istria 4 - Buje (1.5) ,139.0
2003-02-14,29,GP Istria 3 - Buje (1.5) ,168.0
2003-02-11,14,GP Istria 2 - Umag (1.5) ,138.0
2003-02-09,37,GP Istria 1 - Umag (1.5) ,133.0
2002-06-17,17,Stage 7 - Sankt Michael im Lungau › Graz ,200.0
2002-06-16,10,Stage 6 - Kitzbühel › Tamsweg ,171.0
2002-06-15,8,Stage 5 - Bad Gastein › Kitzbühel ,186.0
2002-06-14,39,Stage 4 - Lienz › Bad Hofgastein ,141.0
2002-06-13,18,Stage 3 - Schwaz › Innervillgraten ,196.0
2002-06-12,67,Stage 2 - Reutte › Schwaz ,182.0
2002-06-11,59,Stage 1 - Reutte › Reutte ,67.0
2002-06-10,25,Stage 1 (ITT) - Am Plansee › Reutte ,11.0
2002-04-28,8,Stage 5 - Hannover › Bückerberg ,139.0
2002-04-27,50,Stage 4a - Duderstadt › Hannover ,131.0
2002-04-27,16,Stage 4b (ITT) - Hannover › Hannover ,14.8
2002-04-26,55,Stage 3 - Wolfsburg › Duderstadt ,210.0
2002-04-25,83,Stage 2 - Einbeck › Wolfsburg ,172.0
2002-04-24,54,Stage 1 - Melle › Einbeck ,185.0
2002-04-12,32,Grand Prix Pino Cerami (1.3) ,186.0
2002-03-31,OTL,Stage 6 -  Bagnoles-de-l'Orne  › Caen ,146.0
2002-03-30,84,Stage 5 - Octeville  ›  Bagnoles-de-l'Orne  ,201.0
2002-03-29,18,Stage 4 - Flers  › Octeville  ,191.0
2002-03-28,40,Stage 3 - Elbeuf  › Flers  ,205.0
2002-03-27,80,Stage 2 - Forges-les-Eaux  › Elbeuf  ,153.0
2002-03-26,62,Stage 1 - Lisieux  › Forges-les-Eaux  ,181.0
2002-03-25,15,Prologue - Mondeville  › Mondeville  ,5.6
2002-03-17,80,Stage 3 - Porec › Porec ,148.0
2002-03-16,4,Stage 2 - Porec › Porec ,158.0
2002-03-14,2,Prologue - Porec › Porec ,6.0
2002-02-23,28,Stage 3 - Rodos › Rodos ,158.0
2002-02-20,14,Prologue - Rodos › Rodos ,3.1
2002-02-16,7,GP Istria () ,168.0
2002-02-10,76,Trofej Poreč II (1.5) ,141.5
2002-02-09,90,Porec Trophy - Trofej Porec (1.5) ,137.0
2002-02-03,74,G.P. Costa degli Etruschi (1.3) ,171.0
2001-09-17,DNF,Stage 6 - Valkenburg › Schijndel ,173.1
2001-09-16,16,Stage 5 - Valkenburg › Verviers ,182.5
2001-09-15,11,Stage 4 (ITT) - Valkenburg › Valkenburg ,10.3
2001-09-14,51,Stage 3 - Valkenburg › Valkenburg ,91.0
2001-09-13,81,Stage 2 - Maasdriel › Maasdriel ,193.3
2001-09-12,73,Stage 1 - 's-Hertogenbosch  › 's-Hertogenbosch  ,191.1
2001-06-14,3,Stage 4 - Bad Gastein › Kitzbühler ,154.0
2001-06-13,19,Stage 3 - Schwaz › Bad Hofgastein ,173.0
2001-06-12,41,Stage 2 - Dornbirn › Lermoos ,197.0
2001-06-11,34,Stage 1 - Dornbirn › Dornbirn ,141.0
2001-05-14,23,Stage 7 - Ribnica › Novo Mesto ,178.0
2001-05-13,30,Stage 6 - Sesana › Vrsic ,158.0
2001-05-12,18,Stage 5 - Ivancna Gorica › Ajdovscina ,175.0
2001-05-11,75,Stage 4 - Maribor › Ljubljana ,168.0
2001-05-10,19,Stage 3 (ITT) - Zrece › Rogla ,17.0
2001-05-09,48,Stage 2 - Radenci › Ptuj ,120.0
2001-05-08,76,Stage 1 - Cates › Beltinci ,190.0
2001-04-29,28,Stage 5 - Buckenberg › Hameln ,137.8
2001-04-28,5,Stage 4 - Peine › Buckenberg ,216.6
2001-04-27,56,Stage 3 - Osteroden › Peine ,178.7
2001-04-26,18,Stage 2 - Wolfsburg › Osteroden ,183.3
2001-04-25,81,Stage 1b - Heide › Wolfsburg ,131.4
2001-04-25,18,Stage 1a (ITT) - Heide › Soltau ,13.5
2001-04-22,47,Rund um Düren (1.5) ,184.0
2001-02-25,80,Stage 4 - Rodos › Rodos ,136.0
2001-02-24,43,Stage 3 - Rodos › Rodos ,158.0
2001-02-23,62,Stage 2 - Rodos › Rodos ,120.0
2001-02-22,34,Stage 1 - Rodos › Rodos ,158.0
2001-02-21,44,Prologue - Rodos › Rodos ,3.4
2001-02-17,75,GP Istria () ,168.0
2001-02-11,76,Trophy Riviera II (1.5) ,141.5
2001-02-04,55,Porec Trophy - Trofej Porec (1.5) ,133.3
2000-07-01,2,National Championships Slovenia - Road Race (NC) ,164.0
2000-06-29,1,National Championships Slovenia - ITT (NC) ,30.0
2000-06-12,50,Stage 7 - Bad Hofgastein › Saalbach ,160.0
2000-06-11,37,Stage 6 - Lienz › Bad Hofgastein ,175.0
2000-06-10,8,Stage 5 - Kitzbühel › Lienz ,157.0
2000-06-09,8,Stage 4 - St. Johann im Pongau › Kitzbüheler Horn ,144.0
2000-06-08,7,Stage 3 - Großraming › St. Johann/Alpendorf ,208.0
2000-06-07,2,Stage 2 (ITT) - Weyer › Maria Neustift ,22.0
2000-05-21,55,Stage 5 - Coburg › Neustadt/Aisch ,152.0
2000-05-20,49,Stage 4 - Bamberg › Coburg ,175.0
2000-05-19,45,Stage 3 - Roding › Bamberg ,218.0
2000-05-18,37,Stage 2 - Burghausen › Roding ,208.0
2000-05-17,36,Stage 1a - Burghausen › Burghausen ,125.0
2000-05-17,18,Stage 1b (ITT) - Burghausen › Burghausen ,12.0
2000-05-13,19,Stage 4 - Gresten › Hochkar ,144.0
2000-05-12,50,Stage 3 - Rabenstein › Gresten ,173.0
2000-05-11,28,Stage 2 - Traismauer › Rabenstein ,166.0
2000-05-10,40,Stage 1 - Traismauer › Traismauer ,178.0
2000-04-30,54,Lavanttaler Radsporttage (1.5) ,180.0
2000-02-27,70,Stage 4 - Rhodos  › Rhodos  ,133.0
2000-02-26,1,Stage 3 - Rhodos  › Rhodos  ,158.0
2000-02-25,102,Stage 2 - Rhodos  › Rhodos  ,114.0
2000-02-23,20,Prologue - Rhodos  › Rhodos  ,3.4
1999-06-27,5,National Championships Slovenia - Road Race (NC) ,158.0
1999-06-10,3,Stage 4 - Ried › St. Johann/Alpendorf ,188.0
1999-05-16,13,Stage 4 - Gresten › Hochkar ,144.0
1999-05-14,12,Stage 2 - Traismauer › Rabenstein ,166.0
1998-06-03,6,Stage 4 - Braunau  › Braunau  ,177.0
1998-06-02,4,Stage 3 - Weyer  › Braunau  ,173.0
1998-06-01,10,Stage 2 - Graz  › Graz  ,191.0
1998-05-07,1,Stage 3 (ITT) - Krško › Krško ,18.0
1997-06-29,3,National Championships Slovenia - ITT (NC) ,
1997-06-18,6,GP Kranj (1.7.1) ,
1997-06-06,12,Stage 8 - Faaker See › Kurs ,168.0
1997-06-05,20,Stage 7 - Villach  › Villach  ,170.0
1997-06-04,17,Stage 6 - Lienz › Lienz ,153.0
1997-06-03,3,Stage 5 - Bad Hofgastein  › Lienz ,148.0
1997-05-31,8,Stage 2 - Graz › Gröbming  ,208.0
1996-10-10,18,World Championships - ITT (WC) ,40.4
1996-09-05,12,Trofeo Melinda () ,209.0
1996-08-25,62,GP de Suisse (CDM) ,232.0
1995-09-21,27,Gran Premio Città di Peccioli - Coppa Sabatini () ,192.0
1995-09-19,20,Coppa Placci () ,205.0
1995-08-20,47,Zuri Metzgete (CDM) ,235.0
1995-08-17,19,Coppa Bernocchi () ,209.0
1995-08-12,37,Clasica Ciclista San Sebastian (CDM) ,234.0
1995-06-17,35,GP Industria & Commercio di Prato (1.1) ,192.0
1994-08-20,61,Zuri Metzgete (CDM) ,243.6
1994-05-29,20,Stage 8 (ITT) - Grosseto › Follonica ,44.0
1994-05-15,20,Giro di Toscana () ,202.0
1994-05-10,10,Stage 1 - Arco  › Trento ,153.0
1994-05-01,13,GP Industria & Artigianato () ,210.0
1994-04-25,16,Giro dell'Appennino () ,209.0
1994-03-19,111,Milano-Sanremo (CDM) ,294.0
1994-02-17,71,Classic Haribo () ,162.0
1993-08-22,64,Zuri Metzgete (CDM) ,239.2
1993-08-07,114,Clasica Ciclista San Sebastian (CDM) ,238.0
1993-05-02,23,GP du canton d'Argovie () ,206.0
1993-04-24,73,Amstel Gold Race (CDM) ,249.0
1992-10-31,6,Firenze - Pistoia () ,25.0
1992-08-02,63,Olympic Games - Road Race (Olympics) ,194.4
1989-03-31,3,Stage 6 ,131.0
1988-09-27,78,Olympic Games - Road Race (Olympics) ,196.8
