date,result ranking,race name,distance
2004-09-30,18.0,Omloop van het Houtland Lichtervelde (1.5) ,175.0
2004-08-17,68.0,Omloop van de Grensstreek (1.6) ,176.0
2004-07-25,6.0,Grand Prix de la ville de Pérenchies (1.6) ,
2004-04-11,40.0,Stage 3 - Deerlijk › Deerlijk ,129.0
2004-04-11,95.0,Stage 2 - Sint-Eloois-Vijve › Sint-Eloois-Vijve ,8.7
2004-04-10,7.0,Stage 1 - Stasegem › Stasegem ,155.0
2004-03-06,29.0,Vlaamse Pijl-Harelbeke (1.6) ,147.0
2004-09-30,18.0,Omloop van het Houtland Lichtervelde (1.5) ,175.0
2004-08-17,68.0,Omloop van de Grensstreek (1.6) ,176.0
2004-07-25,6.0,Grand Prix de la ville de Pérenchies (1.6) ,
2004-04-11,40.0,Stage 3 - Deerlijk › Deerlijk ,129.0
2004-04-11,95.0,Stage 2 - Sint-Eloois-Vijve › Sint-Eloois-Vijve ,8.7
2004-04-10,7.0,Stage 1 - Stasegem › Stasegem ,155.0
2004-03-06,29.0,Vlaamse Pijl-Harelbeke (1.6) ,147.0
2003-09-07,40.0,National Championships Belgium U23 - Road Race (NC) ,162.0
2003-07-13,18.0,GP de Dourges (1.6) ,185.4
2003-06-08,115.0,Memorial Philippe Van Coningsloo (1.5) ,169.0
2003-05-17,97.0,Stage 3a - Troisvierges › Bourscheid ,80.0
2003-05-16,48.0,Stage 2 - Kayl › Roeser ,171.0
2003-05-15,142.0,Stage 1 - Esch-sur-Alzette › Rumelange ,159.0
2003-05-04,15.0,Ronde van Vlaanderen U23 (1.7.1) ,162.0
2003-04-29,91.0,Stage 4 - Plescop › Lannion ,183.0
2003-04-28,4.0,Stage 3 - Theix › La Turballe ,150.4
2003-04-27,8.0,Stage 2 - Pluvigner › Theix ,144.0
2003-04-26,55.0,Stage 1 - Rennes › Pluvigner ,161.8
2003-04-25,53.0,Prologue - Cesson-Sévigné › Cesson-Sévigné ,5.4
2003-04-13,24.0,Stage 3 - Deerlijk › Deerlijk ,121.0
2003-04-12,53.0,Stage 1 - Harelbeke › Stasegem ,151.0
2003-03-29,12.0,Zesbergenprijs Harelbeke (1.5) ,178.0
2003-03-26,30.0,GP Stad Waregem (1.7.1) ,146.0
2002-09-20,24.0,Kampioenschap van Vlaanderen (1.3) ,182.6
2002-08-18,24.0,National Championships Belgium U23 - Road Race (NC) ,162.0
2002-05-09,38.0,Hasselt - Spa - Hasselt (1.5) ,175.0
2002-04-28,37.0,Ronde van Vlaanderen U23 (1.2) ,173.0
1999-09-04,26.0,Omloop Mandel - Leie - Schelde (1.1) ,126.0
