date,result ranking,race name,distance
2017-06-25,DNF,National Championships Canada - Road Race (NC) ,160.0
2017-05-21,44,Stage 3 - Doullens › Arras ,186.0
2017-05-20,30,Stage 2 - Lallaing  › Merlimont ,199.0
2017-05-19,21,Stage 1 - Marquion › Gouy-sous-Bellonne ,114.7
2017-05-14,78,Grand Prix Criquielion (1.2) ,173.2
2017-05-01,DNF,Rund um den Finanzplatz Eschborn-Frankfurt (U23) (1.2U) ,152.8
2017-04-08,DNF,Ronde van Vlaanderen Beloften (1.Ncup) ,168.0
2017-03-26,DNF,Gent-Wevelgem/Kattekoers-Ieper (1.Ncup) ,185.0
2017-06-25,DNF,National Championships Canada - Road Race (NC) ,160.0
2017-05-21,44,Stage 3 - Doullens › Arras ,186.0
2017-05-20,30,Stage 2 - Lallaing  › Merlimont ,199.0
2017-05-19,21,Stage 1 - Marquion › Gouy-sous-Bellonne ,114.7
2017-05-14,78,Grand Prix Criquielion (1.2) ,173.2
2017-05-01,DNF,Rund um den Finanzplatz Eschborn-Frankfurt (U23) (1.2U) ,152.8
2017-04-08,DNF,Ronde van Vlaanderen Beloften (1.Ncup) ,168.0
2017-03-26,DNF,Gent-Wevelgem/Kattekoers-Ieper (1.Ncup) ,185.0
2016-11-20,DNF,Stage 5 - Yongtai › Yongtai ,127.4
2016-11-19,88,Stage 4 - Yongtai › Yongtai ,131.8
2016-11-18,92,Stage 3 - Lianjiang › Lianjiang ,133.3
2016-11-17,35,Stage 2 - Changle › Changle ,126.3
2016-11-16,104,Stage 1 - Ma Wei › Guling ,113.2
2016-08-23,DNF,Grand Prix des Marbriers (1.2) ,160.0
2016-06-26,DNF,National Championships Canada - Road Race (NC) ,180.0
2016-06-12,DNF,Stage 4 - Chicoutimi › Chicoutimi ,149.8
2016-06-11,18,Stage 3 - Chicoutimi › Chicoutimi ,74.2
2016-06-10,80,Stage 2 - Kénogami › Kénogami ,156.65
2016-06-09,100,Stage 1 - La Baie › La Baie ,151.0
2016-05-16,DNF,Stage 4 - Birkenwerder › Birkenwerder ,151.2
2016-05-15,109,Stage 3b - Baruth › Baruth ,137.5
2016-05-15,93,Stage 3a (ITT) - Baruth › Baruth ,21.4
2016-05-14,90,Stage 2 -  Schäferberg ›  Schäferberg ,127.9
2016-05-13,4,Prologue - Berlin › Berlin ,6.3
2016-05-01,DNF,Rund um den Finanzplatz Eschborn-Frankfurt (U23) (1.2U) ,147.6
2016-04-16,93,Stage 3 - Goes  › Goes  ,177.2
2016-04-15,117,Stage 2 - Kamperland ›  Zierikzee ,124.0
2016-04-15,8,Stage 1 (TTT) - Tholen › Tholen ,23.0
2015-09-26,73,World Championships MJ - Road Race (WC) ,129.6
2015-08-16,65,Stage 3 - Hémonstoir › Hémonstoir ,100.0
2015-08-16,49,Stage 2 (ITT) - Saint-Caradec › Croixanvec ,11.6
2015-08-15,66,Stage 1 - Loudéac › Loudéac ,113.0
2015-08-09,DNF,Stage 3 - La Gleize › La Gleize ,111.4
2015-08-08,136,Stage 2b - Thimister › Thimister ,95.6
2015-08-07,154,Stage 1 - Aubel › Aubel ,94.2
2015-07-26,14,Stage 7 - Senneterre › Val-d'Or ,119.4
2015-07-25,69,Stage 6 - Preissac › Val-d'Or ,93.6
2015-07-24,24,Stage 5 - Lebel-sur-Quévillon › Lebel-sur-Quévillon ,104.0
2015-07-23,115,Stage 4 - Malartic › Malartic ,51.5
2015-07-23,38,Stage 3 (ITT) - Val-d'Or › Val-d'Or ,10.6
2015-07-22,62,Stage 2 - Amos › Val-d'Or ,104.4
2015-07-21,42,Stage 1 - Rouyn-Noranda › Amos ,118.2
2015-06-25,32,National Championships Canada - ITT (NC) ,43.8
2014-07-27,51,Stage 7 - Senneterre › Amos ,98.3
2014-07-26,30,Stage 6 - Amos › Amos ,96.7
2014-07-25,5,Stage 5 - Val-d'Or › Amos ,111.6
2014-07-24,36,Stage 4 - Malartic › Malartic ,51.5
2014-07-24,56,Stage 3 (ITT) - Amos › Amos ,10.0
2014-07-23,17,Stage 2 - La Sarre › Amos ,115.2
2014-07-22,29,Stage 1 - Rouyn-Noranda › Amos ,115.9
