date,result ranking,general classification,race name,distance,PCS point,UCI point,year
12.03 » 15.03,,,Istarsko proljece - Istrian Spring Trophy (2.2) ,,,,2009
,22,,General classification ,,,,2009
15.03,21,,Stage 4 - Vrsar › Umag ,154,,,2009
14.03,25,,Stage 3 - Vrsar › Motovun ,146,,,2009
13.03,64,,Stage 2 - Porec › Labin ,150,,,2009
12.03,51,,Prologue - Pazin › Pazin  ,1.2,,,2009
08.03,73,,Porec Trophy - Trofej Porec (1.2) ,138,,,2009
12.03 » 15.03,,,Istarsko proljece - Istrian Spring Trophy (2.2) ,,,,2009
,22,,General classification ,,,,2009
15.03,21,,Stage 4 - Vrsar › Umag ,154.0,,,2009
14.03,25,,Stage 3 - Vrsar › Motovun ,146.0,,,2009
13.03,64,,Stage 2 - Porec › Labin ,150.0,,,2009
12.03,51,,Prologue - Pazin › Pazin  ,1.2,,,2009
08.03,73,,Porec Trophy - Trofej Porec (1.2) ,138.0,,,2009
20.06 » 22.06,,,Mainfranken Tour (2.2) ,,,,2008
,7,,General classification ,,4,,2008
22.06,7,,Stage 3 - Stockheim › Schweinfurt ,163.0,,,2008
21.06,23,,Stage 2 - Hofheim  › Stadtlauringen ,163.0,,,2008
20.06,9,,Stage 1 - Lülsfeld  › Sennfeld  ,125.0,,,2008
09.05 » 12.05,,,Tour de Berlin (2.2U23) ,,,,2008
,14,,General classification ,,,,2008
12.05,25,,Stage 4 - Berlin › Berlin ,174.0,,,2008
11.05,10,,Stage 3b - Birkenwerder › Birkenwerder ,125.0,,,2008
11.05,16,,Stage 3a (ITT) - Lehnitz › Lehnitz ,16.4,,,2008
09.05,5,,Stage 1 - Altlandsberg › Altlandsberg ,133.0,,,2008
01.05,DNS,,Memoriał Andrzeja Trochanowskiego (1.2) ,166.0,,,2008
27.04,25,,Paris - Mantes-en-Yvelines (1.2) ,167.2,,,2008
20.04,24,,Rund um Düren (1.2) ,152.0,,,2008
13.03 » 16.03,,,Istarsko Proljece - Istrian Spring Trophy (2.2) ,,,,2008
,60,,General classification ,,,,2008
16.03,24,,Stage 3 - Vrsar › Rovinj ,151.0,,,2008
15.03,29,,Stage 2 - Vrsar › Motovun ,163.0,,,2008
14.03,94,,Stage 1 - Porec › Labin ,149.0,,,2008
13.03,68,,Prologue - Pazin › Pazin ,1.45,,,2008
09.03,19,,Porec Trophy - Trofej Porec (1.2) ,131.0,,,2008
25.05 » 28.05,,,Tour de Berlin (2.2U23) ,,,,2007
25.05,DNF,,Stage 1 - Altlandsberg › Altlandsberg ,114.1,,,2007
23.06,70,,National Championships Germany U23 - ITT (NC) ,40.0,,,2006
