date,result ranking,general classification,race name,distance,PCS point,UCI point,year
04.06,44,,First Union USPRO Championships (1.2) ,251,,,2000
04.06,15,,National Championships United States - Road Race (NC) ,250,,,2000
01.06,50,,First Union Classic (1.3) ,144,,,2000
31.05,50,,First Union Wilmington Classic (1.3) ,120,,,2000
30.05,DNF,,First Union Invitational (1.3) ,147,,,2000
04.06,44,,First Union USPRO Championships (1.2) ,251.0,,,2000
04.06,15,,National Championships United States - Road Race (NC) ,250.0,,,2000
01.06,50,,First Union Classic (1.3) ,144.0,,,2000
31.05,50,,First Union Wilmington Classic (1.3) ,120.0,,,2000
30.05,DNF,,First Union Invitational (1.3) ,147.0,,,2000
21.10 » 01.11,,,Vuelta a Guatemala (2.2) ,,,,1999
24.10,1,,Stage 4 - Jalapa ›  ,153.0,5,,1999
06.06,3,,National Championships United States - Road Race (NC) ,251.06,7,,1999
03.06,73,,First Union Classic (1.3) ,146.45,,,1999
01.06,35,,First Union Invitational (1.3) ,147.5,,,1999
05.09 » 27.09,,,Vuelta a España () ,,,,1998
07.09,187,,Stage 3 - Cadiz › Estepona ,193.0,,,1998
06.09,189,,Stage 2 - Cordoba › Cadiz ,235.0,,,1998
05.09,150,,Stage 1 - Cordoba › Cordoba ,162.0,,,1998
25.08 » 29.08,,,Ronde van Nederland () ,,,,1998
28.08,DNF,,Stage 4 - Zwolle  › Venray ,179.0,,,1998
27.08,32,,Stage 3a - Leeuwarden › Groningen ,83.0,,,1998
27.08,49,,Stage 3b (ITT) - Groningen › Groningen ,25.7,,,1998
26.08,56,,Stage 2 - Harlingen › Leeuwarden ,197.0,,,1998
25.08,44,,Stage 1 - Naaldwijk › Hoorn ,178.1,,,1998
04.06,17,,First Union Classic (1.3) ,145.8,4,,1998
23.05,55,,Internationale Delta Profronde (1.2) ,199.9,,,1998
12.04,DNF,,Paris - Roubaix (CDM) ,266.0,,,1998
08.04,111,,Gent - Wevelgem () ,208.0,5,,1998
31.03 » 02.04,,,KBC Driedaagse van De Panne-Koksijde () ,,,,1998
,116,,General classification ,,,,1998
02.04,115,,Stage 3A - De Panne › Panne ,115.0,,,1998
02.04,85,,Stage 3B (ITT) - De Panne › De Panne ,14.3,,,1998
01.04,113,,Stage 2 - Zottegem › Koksijde ,230.0,,,1998
31.03,167,,Stage 1 - Harelbeke › Zottegem ,177.0,,,1998
06.09 » 28.09,,,Vuelta a España () ,,,,1997
11.09,124,,Stage 6 - Málaga › Granada ,147.0,,,1997
10.09,40,,Stage 5 - Jerez de la Frontera › Málaga ,229.0,,,1997
09.09,166,,Stage 4 - Huelva › Jerez de la Frontera ,193.0,,,1997
08.09,153,,Stage 3 - Loulé › Huelva ,173.0,,,1997
07.09,137,,Stage 2 - Évora › Vilamoura ,224.0,,,1997
06.09,182,,Stage 1 - Lisbon › Estoril Racetrack ,160.0,,,1997
03.08,25,,Olympic Games - ITT (Olympics) ,52.2,10,,1996
31.07,DNF,,Olympic Games Road Race (Olympics) ,221.85,,,1996
