date,result ranking,general classification,race name,distance,PCS point,UCI point,year
21.10,DNF,,AG Driedaagse Brugge-De Panne ME (1.UWT) ,188.6,,,2020
14.10,141,,Scheldeprijs (1.Pro) ,173.3,,,2020
29.09 » 03.10,,,BinckBank Tour (2.UWT) ,,,,2020
,59,,General classification ,,5,2,2020
03.10,67,,Stage 5 - Ottignies-Louvain-la-Neuve › Geraardsbergen  72k,183.6,,,2020
02.10,52,82,Stage 4 (ITT) - Riemst › Riemst ,8.14,,,2020
01.10,81,90,Stage 3 - Aalter › Aalter ,157,,,2020
29.09,106,106,Stage 1 - Blankenberge › Ardooie ,132.1,,,2020
20.09,DNF,,Gooikse Pijl (1.1) ,200.7,,,2020
13.09,DNF,,Antwerp Port Epic / Sels Trophy (1.1) ,190,,,2020
27.08 » 30.08,,,Tour Poitou-Charentes en Nouvelle Aquitaine (2.1) ,,,,2020
,13,,General classification ,,8,5,2020
30.08,29,,Stage 4 - Thénezay › Poitiers ,164.6,,,2020
29.08,43,34,Stage 3a - Chasseneuil-du-Poitou › Jaunay-Marigny ,97.9,,,2020
29.08,16,14,Stage 3b (ITT) - Futuroscope  › Jaunay-Marigny ,22.5,,,2020
28.08,39,35,Stage 2 - Royan › Échiré ,186.3,,,2020
27.08,64,65,Stage 1 - Montmoreau › Royan ,199.9,,,2020
25.08,73,,Bretagne Classic - Ouest-France (1.UWT) ,247.75,5,,2020
08.03,68,,Grote prijs Jean-Pierre Monseré (1.1) ,196.8,,,2020
03.03,58,,Le Samyn (1.1) ,201.9,,,2020
01.03,57,,Kuurne-Bruxelles-Kuurne (1.Pro) ,201,,,2020
29.02,DNF,,Omloop Het Nieuwsblad ME (1.UWT) ,200,,,2020
19.02 » 23.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro) ,,,,2020
,72,,General classification ,,,,2020
23.02,82,,Stage 5 (ITT) - Mijas › Mijas ,13,,,2020
22.02,61,71,Stage 4 - Villanueva Mesia › Granada ,125,,,2020
21.02,108,75,Stage 3 - Jáen › Ubeda ,176.9,,,2020
20.02,101,56,Stage 2 - Sevilla  › Iznajar  ,198.1,,,2020
19.02,52,52,Stage 1 - Alhaurin de la Torre › Grazalema ,173.8,,,2020
02.02,55,,Trofeo Playa de Palma - Palma (1.1) ,159.6,,,2020
30.01,54,,"Trofeo Felanitx, Ses Salines, Campos, Porreres (1.1) ",170.7,,,2020
21.10,DNF,,AG Driedaagse Brugge-De Panne ME (1.UWT),188.6,,,2020
14.10,141,,Scheldeprijs (1.Pro),173.3,,,2020
29.09 » 03.10,,,BinckBank Tour (2.UWT),,,,2020
,59,,General classification,,5,2,2020
03.10,67,,Stage 5 - Ottignies-Louvain-la-Neuve › Geraardsbergen,183.6,,,2020
02.10,52,82,Stage 4 (ITT) - Riemst › Riemst,8.14,,,2020
01.10,81,90,Stage 3 - Aalter › Aalter,157.0,,,2020
29.09,106,106,Stage 1 - Blankenberge › Ardooie,132.1,,,2020
20.09,DNF,,Gooikse Pijl (1.1),200.7,,,2020
13.09,DNF,,Antwerp Port Epic / Sels Trophy (1.1),190.0,,,2020
27.08 » 30.08,,,Tour Poitou-Charentes en Nouvelle Aquitaine (2.1),,,,2020
,13,,General classification,,8,5,2020
30.08,29,,Stage 4 - Thénezay › Poitiers,164.6,,,2020
29.08,43,34,Stage 3a - Chasseneuil-du-Poitou › Jaunay-Marigny,97.9,,,2020
29.08,16,14,Stage 3b (ITT) - Futuroscope  › Jaunay-Marigny,22.5,,,2020
28.08,39,35,Stage 2 - Royan › Échiré,186.3,,,2020
27.08,64,65,Stage 1 - Montmoreau › Royan,199.9,,,2020
25.08,73,,Bretagne Classic - Ouest-France (1.UWT),247.75,5,,2020
08.03,68,,Grote prijs Jean-Pierre Monseré (1.1),196.8,,,2020
03.03,58,,Le Samyn (1.1),201.9,,,2020
01.03,57,,Kuurne-Bruxelles-Kuurne (1.Pro),201.0,,,2020
29.02,DNF,,Omloop Het Nieuwsblad ME (1.UWT),200.0,,,2020
19.02 » 23.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,,2020
,72,,General classification,,,,2020
23.02,82,,Stage 5 (ITT) - Mijas › Mijas,13.0,,,2020
22.02,61,71,Stage 4 - Villanueva Mesia › Granada,125.0,,,2020
21.02,108,75,Stage 3 - Jáen › Ubeda,176.9,,,2020
20.02,101,56,Stage 2 - Sevilla  › Iznajar ,198.1,,,2020
19.02,52,52,Stage 1 - Alhaurin de la Torre › Grazalema,173.8,,,2020
02.02,55,,Trofeo Playa de Palma - Palma (1.1),159.6,,,2020
30.01,54,,"Trofeo Felanitx, Ses Salines, Campos, Porreres (1.1)",170.7,,,2020
17.10 » 22.10,,,Gree-Tour of Guangxi (2.UWT),,,,2019
,22,,Mountains classification,,,,2019
,50,,Points classification,,,,2019
,113,,General classification,,5,,2019
22.10,27,,Stage 6 - Guilin › Guilin,168.3,,,2019
21.10,114,114,Stage 5 - Liuzhou › Guilin,212.2,,,2019
20.10,94,105,Stage 4 - Nanning › Nongla Scenic Area,161.4,,,2019
19.10,111,106,Stage 3 - Nanning › Nanning,143.0,,,2019
18.10,84,87,Stage 2 - Beihai  › Qinzhou,152.3,,,2019
17.10,85,85,Stage 1 - Beihai  › Beihai ,135.6,,,2019
08.10,DNF,,Binche -  Chimay - Binche / Mémorial Frank Vandenbroucke (1.1),198.6,,,2019
06.10,46,,La DH Famenne Ardenne Classic (1.1),180.0,,,2019
05.10,DNF,,Tour de l'Eurométropole (1.HC),176.7,,,2019
03.10,35,,Sparkassen Münsterland Giro (1.HC),193.3,,3,2019
25.09,39,,Omloop van het Houtland Lichtervelde (1.1),186.3,,,2019
20.09,26,,Kampioenschap van Vlaanderen (1.1),186.0,,,2019
24.08 » 15.09,,,La Vuelta ciclista a España (2.UWT),,,,2019
08.09,DNF,,Stage 15 - Tineo › Santuario del Acebo,154.4,,,2019
07.09,154,149,Stage 14 - San Vicente de la Barquer › Oviedo ,188.0,,,2019
06.09,125,144,Stage 13 - Bilbao › Los Machucos. Monumento Vaca Pasiega,166.4,,,2019
05.09,88,144,Stage 12 - Circuito de Navarra › Bilbao,171.4,,,2019
04.09,35,145,Stage 11 - Saint-Palais › Urdax-Dantxarinea,180.0,,,2019
03.09,89,145,Stage 10 (ITT) - Jurançon › Pau,36.2,,,2019
01.09,129,145,Stage 9 - Andorra la Vella › Cortals d’Encamp ,94.4,,,2019
31.08,140,144,Stage 8 - Valls › Igualada,166.9,,,2019
30.08,95,143,Stage 7 - Onda › Mas de la Costa,183.2,,,2019
29.08,119,153,Stage 6 - Mora de Rubielos › Ares del Maestrat ,198.9,,,2019
28.08,150,162,Stage 5 - L’Eliana › Observatorio Astrofísico de Javalambre ,170.7,,,2019
27.08,89,160,Stage 4 - Cullera › El Puig,175.5,,,2019
26.08,170,166,Stage 3 - Ibi. Ciudad del Juguete › Alicante,188.0,,,2019
25.08,149,141,Stage 2 - Benidorm › Calpe,199.6,,,2019
24.08,10,56,Stage 1 (TTT) - Salinas de Torrevieja › Torrevieja ,13.4,,,2019
12.08 » 18.08,,,BinckBank Tour (2.UWT),,,,2019
18.08,DNF,,Stage 7 - Sint-Pieters-Leeuw › Geraardsbergen,173.1,,,2019
17.08,137,117,Stage 6 (ITT) - Den Haag › Den Haag,8.4,,,2019
16.08,67,116,Stage 5 - Riemst › Venray,191.4,,,2019
15.08,143,126,Stage 4 - Houffalize › Houffalize,96.2,,,2019
14.08,122,116,Stage 3 - Aalter › Aalter,166.9,,,2019
13.08,102,82,Stage 2 - Blankenberge › Ardooie,169.1,,,2019
12.08,60,61,Stage 1 - Beveren › Hulst,167.2,,,2019
04.08,63,,Prudential RideLondon-Surrey Classic (1.UWT),167.0,5,,2019
25.07,66,,Grand Prix Cerami (1.1),164.7,,,2019
30.06,29,,National Championships Netherlands - Road Race (NC),223.4,,,2019
26.06,6,,National Championships Netherlands - ITT (NC),40.8,,5,2019
19.06 » 23.06,,,ZLM Tour (2.1),,,,2019
,66,,General classification,,,,2019
23.06,68,,Stage 4 - Eindhoven › Tilburg,170.1,,,2019
