date,result ranking,general classification,race name,distance,PCS point,UCI point,year
30.09,11,,Omloop van het Houtland Lichtervelde (1.5) ,175,,,2004
12.09,31,,Rund um die Nürnberger Altstadt (1.3) ,180,,,2004
25.08 » 29.08,,,Okolo Slovenska (2.5) ,,,,2004
,45,,General classification ,,,,2004
29.08,73,,Stage 4 - Martin › Martin ,115.2,,,2004
28.08,87,40,Stage 3a - Kysucké Nové Mesto › Martin ,106.4,,,2004
28.08,35,40,Stage 3b (ITT) - Martin › Martinské Hole ,10.7,,,2004
27.08,62,23,Stage 2 - Žilina › Kysucké Nové Mesto ,182,,,2004
26.08,26,21,Stage 1 - Žilina › Žilina ,171.9,,,2004
25.08,45,45,Prologue - Žilina › Žilina ,0.8,,,2004
16.06 » 20.06,,,Ster Elektrotoer (2.3) ,,,,2004
19.06,DNF,,Stage 3 - Coo › La Gileppe ,200,,,2004
18.06,72,26,Stage 2 - Valkenburg › Valkenburg ,199,,,2004
17.06,34,29,Stage 1 - Eindhoven › Nuth ,202.3,,,2004
16.06,16,16,Prologue - Veldhoven › Veldhoven ,4.8,,,2004
09.06,12,,National Championships Netherlands - ITT (NC) ,55,,,2004
01.06 » 05.06,,,Volta Ciclista Provincia Tarragona (2.6) ,,,,2004
,14,,Points classification ,,,,2004
,12,,General classification ,,,,2004
05.06,14,,Stage 5b - Montbrio › Reus ,121.9,,,2004
05.06,7,13,Stage 5a (ITT) - Riudecanyes › Castell d'Escornalbou ,5,,,2004
04.06,34,13,Stage 4 - Port Tarragona › La Pineda ,152.5,,,2004
03.06,8,13,Stage 3 - Cambrils › Salou ,162,,,2004
02.06,73,36,Stage 2 - Alcanar › Cambrils ,140.4,,,2004
01.06,32,32,Stage 1 - Reus › Alcanar ,160,,,2004
21.05 » 23.05,,,Triptyque Ardennais (2.6) ,,,,2004
,11,,Mountains classification ,,,,2004
,1,,Points classification ,,,,2004
,4,,General classification ,,11,,2004
23.05,5,,Stage 4 - Libramont › Libramont ,185,,,2004
22.05,6,5,Stage 3 - Aywaille › Aywaille ,82,,,2004
22.05,28,4,Stage 2 - Soumagne › Soumagne ,92,,,2004
21.05,1,1,Stage 1 - Sprimont › Sprimont ,142,5,,2004
09.05,37,,Omloop der Kempen (1.5) ,200,,,2004
26.04 » 02.05,,,Ruban Granitier Breton (2.6) ,,,,2004
,33,,Points classification ,,,,2004
,37,,General classification ,,,,2004
02.05,48,,Stage 6 - Saint-James › Dinan ,153.5,,,2004
01.05,35,27,Stage 5 - Missillac › Dol-de-Bretagne ,187.9,,,2004
30.04,62,28,Stage 4 - Sarzeau › Missillac ,133.8,,,2004
29.04,84,16,Stage 3 - Névez › Saint-Gildas-de-Rhuys ,167.7,,,2004
28.04,44,16,Stage 2 - Bourbriac › Névez ,172.7,,,2004
27.04,27,15,Stage 1 - Rennes › Saint-Brieuc ,147.9,,,2004
26.04,2,2,Prologue - Cesson-Sévigné › Cesson-Sévigné ,4.2,2,,2004
16.04,35,,Veenendaal - Veenendaal (1.2) ,207,,,2004
03.04,38,,Hel van het Mergelland (1.5) ,191.8,,,2004
30.09,11,,Omloop van het Houtland Lichtervelde (1.5) ,175.0,,,2004
12.09,31,,Rund um die Nürnberger Altstadt (1.3) ,180.0,,,2004
25.08 » 29.08,,,Okolo Slovenska (2.5) ,,,,2004
,45,,General classification ,,,,2004
29.08,73,,Stage 4 - Martin › Martin ,115.2,,,2004
28.08,87,40,Stage 3a - Kysucké Nové Mesto › Martin ,106.4,,,2004
28.08,35,40,Stage 3b (ITT) - Martin › Martinské Hole ,10.7,,,2004
27.08,62,23,Stage 2 - Žilina › Kysucké Nové Mesto ,182.0,,,2004
26.08,26,21,Stage 1 - Žilina › Žilina ,171.9,,,2004
25.08,45,45,Prologue - Žilina › Žilina ,0.8,,,2004
16.06 » 20.06,,,Ster Elektrotoer (2.3) ,,,,2004
19.06,DNF,,Stage 3 - Coo › La Gileppe ,200.0,,,2004
18.06,72,26,Stage 2 - Valkenburg › Valkenburg ,199.0,,,2004
17.06,34,29,Stage 1 - Eindhoven › Nuth ,202.3,,,2004
