date,result ranking,general classification,race name,distance,PCS point,UCI point,year
28.03,18,,E3-Prijs Harelbeke () ,205,8,,1992
25.03,17,,Dwars door België / À travers la Belgique () ,200,4,,1992
29.02,16,,Omloop Het Volk () ,208,10,,1992
28.03,18.0,,E3-Prijs Harelbeke () ,205.0,8,,1992
25.03,17.0,,Dwars door België / À travers la Belgique () ,200.0,4,,1992
29.02,16.0,,Omloop Het Volk () ,208.0,10,,1992
18.09,10.0,,Paris-Bruxelles () ,246.0,22,,1991
08.09,46.0,,GP de Fourmies / La Voix du Nord () ,210.0,,,1991
21.08,14.0,,Druivenkoers - Overijse () ,204.0,7,,1991
31.07,1.0,,Omloop van de Vlaamse Scheldeboorden - Bazel - Kruibeke () ,175.0,15,,1991
24.04,20.0,,Scheldeprijs () ,205.0,6,,1991
19.04,20.0,,Nokere Koerse () ,180.0,1,,1991
10.04,85.0,,Gent - Wevelgem () ,210.0,5,,1991
28.03,4.0,,Dwars door België / À travers la Belgique () ,203.0,32,,1991
22.09,12.0,,GP Impanis () ,200.0,10,,1990
19.09,3.0,,Paris-Bruxelles () ,246.0,60,,1990
07.08 » 12.08,,,Tour of Belgium () ,,,,1990
,56.0,,General classification ,,,,1990
01.08,2.0,,Omloop van de Vlaamse Scheldeboorden - Bazel - Kruibeke () ,175.0,10,,1990
13.06,7.0,,Brussel-Ingooigem () ,195.0,,,1990
16.05,30.0,,Binche-Tournai-Binche (1.1) ,196.0,,,1990
17.04,8.0,,Scheldeprijs () ,200.0,30,,1990
14.04,89.0,,Gent - Wevelgem () ,204.0,5,,1990
01.04,101.0,,Ronde van Vlaanderen / Tour des Flandres (CDM) ,265.0,5,,1990
27.03 » 29.03,,,KBC Driedaagse van De Panne-Koksijde () ,,,,1990
,101.0,,General classification ,,,,1990
04.03,22.0,,Kuurne-Bruxelles-Kuurne () ,198.0,,,1990
