date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.04 » 17.04,,,Tour Nord Isère (2.2) ,,,,2005
17.04,DNF,,Stage 4 - L'Isle-d'Abeau › La Verpillière ,105,,,2005
16.04,62,,Stage 3 - Saint-Maurice-l'Exil › L'Isle-d'Abeau ,48,,,2005
15.04,OTL,,Stage 1 - La Verpillière › Charvieux ,127.5,,,2005
15.04 » 17.04,,,Tour Nord Isère (2.2) ,,,,2005
17.04,DNF,,Stage 4 - L'Isle-d'Abeau › La Verpillière ,105.0,,,2005
16.04,62,,Stage 3 - Saint-Maurice-l'Exil › L'Isle-d'Abeau ,48.0,,,2005
15.04,OTL,,Stage 1 - La Verpillière › Charvieux ,127.5,,,2005
16.04 » 18.04,,,Tour Nord Isère (2.6) ,,,,2004
,14,,Points classification ,,,,2004
,22,,General classification ,,,,2004
18.04,4,,Stage 4 - Four › La Verpillière ,160.0,,,2004
17.04,20,30,Stage 3 - Saint-Maurice-l'Exil › Villefontaine ,86.3,,,2004
17.04,64,40,Stage 2 - Charvieu-Chavagneux › Saint-Maurice-l'Exil ,96.0,,,2004
16.04,27,28,Stage 1 - La Verpillière › Charvieu-Chavagneux ,120.7,,,2004
20.03,3,,Paris-Barentin-Yvetot (1.5) ,197.0,7,,2004
07.03,70,,Les Monts du Luberon - Trophée Luc Leblanc (1.6) ,156.0,,,2004
21.02 » 22.02,,,Criterium des Espoirs (2.5) ,,,,2004
22.02,17,,Stage 3 - Saint-Jean-de-Luz › Saint-Jean-de-Luz ,91.0,,,2004
10.08,4,,Scandinavian Open Road Race (1.5) ,197.2,4,,2003
03.06 » 07.06,,,Volta Ciclista Provincia Tarragona (2.6) ,,,,2003
,23,,Points classification ,,,,2003
,18,,General classification ,,,,2003
07.06,11,,Stage 5b - Montroig del Camp › Reus ,121.9,,,2003
07.06,16,18,Stage 5a (ITT) ,,,,2003
06.06,10,13,Stage 4 - Tarragona › La Pineda ,149.1,,,2003
05.06,29,15,Stage 3 - Cambrils › Cambrils ,157.4,,,2003
04.06,17,18,Stage 2 - Alcanar › Salou ,171.5,,,2003
03.06,24,24,Stage 1 - Reus › Alcanar ,146.0,,,2003
25.04 » 01.05,,,Ruban Granitier Breton (2.6) ,,,,2003
,52,,General classification ,,,,2003
01.05,35,,Stage 6 - Guégon › Fougères ,203.3,,,2003
30.04,41,60,Stage 5 - Lannion › Douarnenez ,164.6,,,2003
29.04,69,78,Stage 4 - Plescop › Lannion ,183.0,,,2003
28.04,48,72,Stage 3 - Theix › La Turballe ,150.4,,,2003
27.04,57,76,Stage 2 - Pluvigner › Theix ,144.0,,,2003
26.04,80,80,Stage 1 - Rennes › Pluvigner ,161.8,,,2003
25.04,100,100,Prologue - Cesson-Sévigné › Cesson-Sévigné ,5.4,,,2003
17.04 » 22.04,,,Tour du Loir et Cher E Provost () ,,,,2002
,26,,General classification ,,,,2002
22.04,7,,Stage 6 - Blois › Blois ,,,,2002
21.04,21,,Stage 5 - Cour Cherny › Contres ,102.3,,,2002
20.04,41,,Stage 4 - Chamount-sur-Tharonne › Salbris ,181.7,,,2002
19.04,22,,Stage 3 - Vendôme › Vendôme ,176.1,,,2002
18.04,51,,Stage 2 - Mer › Mer ,172.6,,,2002
17.04,38,,Stage 1 - Blois › Chémery ,151.4,,,2002
14.08 » 18.08,,,Tour de l'Ain (2.5) ,,,,2001
17.08,DNF,,Stage 4 - Lagnieu › Station de Menthières ,144.3,,,2001
16.08,76,,Stage 3 - Châtillon-sur-Chalaronne › Saint-Vulbas ,101.8,,,2001
15.08,80,,Stage 2 (ITT) - Saint-Didier-sur-Chalaronne › Châtillon-sur-Chalaronne ,13.7,,,2001
14.08,25,,Stage 1 - Miribel › Bourg-en-Bresse ,162.1,,,2001
19.07 » 21.07,,,Tour de la Somme (2.5) ,,,,2001
,18,,General classification ,,,,2001
21.07,20,,Stage 4 - Gamaches › Gamaches ,178.1,,,2001
