date,result ranking,general classification,race name,distance,PCS point,UCI point,year
01.05,89,,Circuito del Porto - Trofeo Arvedi (1.2) ,179.9,,,2022
27.03,DNF,,GP Adria Mobil (1.2) ,182.8,,,2022
27.03,DNF,,GP Adria Mobil (1.2),182.8,,,2022
02.05,119,,Circuito del Porto - Trofeo Arvedi (1.2),179.9,,,2021
21.03,109,,"Per Sempre ""Alfredo"" (1.1)",162.0,,,2021
28.08,3,,European Continental Championships - Mixed Relay TTT (CC),54.6,5,13.33,2020
12.08,DNF,,Gran Piemonte (1.Pro),187.0,,,2020
16.02,DNF,,Trofeo Laigueglia (1.Pro),202.0,,,2020
26.01 » 02.02,,,Vuelta a San Juan Internacional (2.Pro),,,,2020
02.02,DNS,,Stage 7 - San Juan › San Juan,141.3,,,2020
01.02,150,132,Stage 6 - Autódromo El Villicúm › Autódromo El Villicúm,174.5,,,2020
31.01,158,128,Stage 5 - San Martín › Alto Colorado,169.5,,,2020
29.01,51,121,Stage 4 - San José de Jáchal › Villa San Agustín,185.8,,,2020
28.01,121,136,Stage 3 (ITT) - Ullum › Punta Negra,15.5,,,2020
27.01,95,137,Stage 2 - Pocito › Pocito,164.7,,,2020
26.01,128,132,Stage 1 - San Juan › San Juan,163.5,,,2020
05.05,18,,Circuito del Porto - Trofeo Arvedi (1.2),179.9,,,2019
27.03 » 31.03,,,Settimana Internazionale Coppi e Bartali (2.1),,,,2019
31.03,DNF,,Stage 5 - Fiorano Modenese › Sassuolo,153.4,,,2019
30.03,57,129,Stage 4 - Crevalcore › Crevalcore,171.4,,,2019
29.03,149,131,Stage 3 - Forlì › Forlì,166.2,,,2019
28.03,149,131,Stage 2 - Riccione › Sogliano al Rubicone,140.0,,,2019
27.03,11,5,Stage 1a - Gatteo › Gatteo,97.8,,,2019
27.03,10,44,Stage 1b (TTT) - Gatteo a mare › Gatteo,13.3,,,2019
17.03,42,,Popolarissima (1.2),174.7,,,2019
12.02 » 17.02,,,Colombia 2.1 (2.1),,,,2019
14.02,DNF,,Stage 3 - Llanogrande › Llanogrande,167.6,,,2019
13.02,148,148,Stage 2 - La Ceja › La Ceja,157.0,,,2019
12.02,21,105,Stage 1 (TTT) - Medellín › Medellín,14.0,,,2019
03.07,DNF,,Trofeo Citta di Brescia (1.2),121.8,,,2018
13.05,DNF,,Gran Premio Industrie del Marmo (1.2U),174.7,,,2018
06.05,33,,Circuito del Porto - Trofeo Arvedi (1.2),179.9,,,2018
18.03,27,,Popolarissima (1.2),175.9,,,2018
18.02,35,,GP Laguna Porec (1.2),161.0,,,2018
06.02 » 11.02,,,Colombia Oro y Paz (2.1),,,,2018
,57,,Youth classification,,,,2018
,130,,General classification,,,,2018
11.02,120,,Stage 6 - Armenia › Manizales (Torre de Chipre),184.3,,,2018
10.02,126,125,Stage 5 - Pereira  › Salento,163.7,,,2018
