date,result ranking,general classification,race name,distance,PCS point,UCI point,year
14.10 » 28.10,,,Herald Sun Tour () ,,,,1999
,13,,General classification ,,,,1999
25.10,1,,Stage 12 - Marysville › Moe ,157,5,,1999
14.10,18,,Stage 1 - Melbourne › Melbourne ,32,,,1999
14.10 » 28.10,,,Herald Sun Tour () ,,,,1999
,13.0,,General classification ,,,,1999
25.10,1.0,,Stage 12 - Marysville › Moe ,157.0,5,,1999
14.10,18.0,,Stage 1 - Melbourne › Melbourne ,32.0,,,1999
08.10 » 18.10,,,Herald Sun Tour () ,,,,1998
09.10,1.0,,Stage 2b - Sunbury › Sunbury ,142.9,5,,1998
17.01,1.0,,Australian Open Road Championships Road Race (NC) ,,15,,1993
25.08,49.0,,World Championships - Road Race (WC) ,252.8,15,,1991
14.08,13.0,,Coppa Bernocchi () ,204.0,8,,1991
26.05 » 16.06,,,Giro d'Italia () ,,,,1991
,81.0,,General classification ,,20,,1991
05.05,38.0,,Giro dell'Appennino () ,209.0,,,1991
01.05,24.0,,GP Industria & Artigianato () ,210.0,,,1991
16.04 » 21.04,,,Vuelta a Aragon () ,,,,1991
,14.0,,General classification ,,7,,1991
17.01,5.0,,Australian Open Road Championships Road Race (NC) ,,2,,1991
19.10 » 28.10,,,Herald Sun Tour () ,,,,1990
,5.0,,General classification ,,8,,1990
08.07,1.0,,GP Industria & Artigianato () ,220.0,75,,1989
08.07,3.0,,Trofeo Matteotti () ,216.0,40,,1989
25.03,30.0,,E3-Prijs Harelbeke () ,211.0,,,1989
27.09,6.0,,Olympic Games - Road Race (Olympics) ,196.8,,,1988
25.04,9.0,,Gran Premio della Liberazione () ,121.9,,,1987
