date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,3,,National Championships Norway - Road Race (NC) ,193.2,7,60,2022
05.06 » 12.06,,,Critérium du Dauphiné (2.UWT) ,,,,2022
,3,,Points classification ,,,,2022
,95,,General classification ,,5,,2022
12.06,106,,Stage 8 - Saint-Alban-Leysse › Plateau de Salaison ,138.8,,,2022
11.06,97,90,Stage 7 - Saint-Chaffrey › Vaujany ,134.8,,,2022
10.06,7,81,Stage 6 - Rives › Gap ,196.5,4,,2022
09.06,4,90,Stage 5 - Thizy-les-Bourgs › Chaintré ,162.3,13,,2022
08.06,95,98,Stage 4 (ITT) - Montbrison › La Bâtie d’Urfé ,31.9,,,2022
07.06,118,99,Stage 3 - Saint-Paulien › Chastreix-Sancy ,169,,,2022
06.06,16,15,Stage 2 - Saint-Péray › Brives-Charensac ,169.8,,,2022
05.06,5,8,Stage 1 - La Voulte-sur-Rhône › Beauchastel ,191.8,10,,2022
26.05 » 29.05,,,Boucles de la Mayenne - Crédit Mutuel (2.Pro) ,,,,2022
,33,,Points classification ,,,,2022
,31,,General classification ,,,3,2022
29.05,10,,Stage 4 - Martigné-sur-Mayenne › Laval ,180,,,2022
28.05,57,34,Stage 3 - Saint-Berthevin › Château-Gontier-sur-Mayenne ,188,,,2022
27.05,26,32,Stage 2 - Jublains › Pré-en-Pail-Saint-Samson ,171,,,2022
26.05,34,37,Stage 1 - Saint-Pierre-des-Landes › Andouillé ,180,,,2022
17.04,38,,Paris-Roubaix (1.UWT) ,257.2,5,10,2022
12.04,7,,Paris - Camembert (1.1) ,213.8,20,35,2022
03.04,DNF,,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT) ,272.5,,,2022
30.03,52,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT) ,183.7,5,2,2022
27.03,92,,Gent-Wevelgem in Flanders Fields ME (1.UWT) ,248.8,5,,2022
25.03,DNF,,E3 Saxo Bank Classic (1.UWT) ,203.9,,,2022
19.03,81,,Milano-Sanremo (1.UWT) ,293,5,,2022
16.03,83,,Milano - Torino (1.Pro) ,199,,,2022
07.03 » 13.03,,,Tirreno-Adriatico (2.UWT) ,,,,2022
,34,,Points classification ,,,,2022
,73,,General classification ,,5,,2022
13.03,7,,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto ,159,4,,2022
12.03,85,79,Stage 6 - Apecchio › Carpegna ,215,,,2022
11.03,89,76,Stage 5 - Sefro › Fermo ,155,,,2022
10.03,75,70,Stage 4 - Cascata delle Marmore › Bellante ,202,,,2022
09.03,17,79,Stage 3 - Murlo › Terni ,170,,,2022
08.03,52,86,Stage 2 - Camaiore › Sovicille ,219,,,2022
07.03,89,89,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore ,13.9,,,2022
27.02,81,,Kuurne - Bruxelles - Kuurne (1.Pro) ,195.1,,,2022
26.02,DNF,,Omloop Het Nieuwsblad ME (1.UWT) ,204.2,,,2022
02.02 » 06.02,,,Etoile de Bessèges - Tour du Gard (2.1) ,,,,2022
,27,,Mountains classification ,,,,2022
,13,,Points classification ,,,,2022
,16,,General classification ,,5,3,2022
06.02,22,,Stage 5 (ITT) - Alès › Alès l'Ermitage ,10.64,,,2022
05.02,49,16,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet ,146.71,,,2022
04.02,6,5,Stage 3 - Bessèges › Bessèges ,155.65,3,,2022
03.02,24,6,Stage 2 - Saint-Christol-lèz-Alès › Rousson ,156.21,,,2022
02.02,3,3,Stage 1 - Bellegarde › Bellegarde ,160.86,7,3,2022
30.01,4,,Grand Prix Cycliste de Marseille La Marseillaise (1.1) ,174.3,32,60,2022
17.04,38,,Paris-Roubaix (1.UWT),257.2,5,10,2022
12.04,7,,Paris - Camembert (1.1),213.8,20,35,2022
03.04,DNF,,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5,,,2022
30.03,52,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7,5,2,2022
27.03,92,,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8,5,,2022
25.03,DNF,,E3 Saxo Bank Classic (1.UWT),203.9,,,2022
19.03,81,,Milano-Sanremo (1.UWT),293.0,5,,2022
16.03,83,,Milano - Torino (1.Pro),199.0,,,2022
07.03 » 13.03,,,Tirreno-Adriatico (2.UWT),,,,2022
,34,,Points classification,,,,2022
,73,,General classification,,5,,2022
13.03,7,,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto,159.0,4,,2022
12.03,85,79,Stage 6 - Apecchio › Carpegna,215.0,,,2022
11.03,89,76,Stage 5 - Sefro › Fermo,155.0,,,2022
10.03,75,70,Stage 4 - Cascata delle Marmore › Bellante,202.0,,,2022
09.03,17,79,Stage 3 - Murlo › Terni,170.0,,,2022
08.03,52,86,Stage 2 - Camaiore › Sovicille,219.0,,,2022
07.03,89,89,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore,13.9,,,2022
27.02,81,,Kuurne - Bruxelles - Kuurne (1.Pro),195.1,,,2022
26.02,DNF,,Omloop Het Nieuwsblad ME (1.UWT),204.2,,,2022
02.02 » 06.02,,,Etoile de Bessèges - Tour du Gard (2.1),,,,2022
,27,,Mountains classification,,,,2022
,13,,Points classification,,,,2022
,16,,General classification,,5,3,2022
06.02,22,,Stage 5 (ITT) - Alès › Alès l'Ermitage,10.64,,,2022
05.02,49,16,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet,146.71,,,2022
04.02,6,5,Stage 3 - Bessèges › Bessèges,155.65,3,,2022
03.02,24,6,Stage 2 - Saint-Christol-lèz-Alès › Rousson,156.21,,,2022
02.02,3,3,Stage 1 - Bellegarde › Bellegarde,160.86,7,3,2022
30.01,4,,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3,32,60,2022
09.10,6,,Tour de Vendée (1.1),199.8,24,40,2021
07.10,20,,Paris - Bourges (1.1),198.0,1,3,2021
03.10,30,,Paris-Roubaix (1.UWT),257.7,10,20,2021
21.09,75,,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3,,,2021
14.09 » 18.09,,,Skoda-Tour de Luxembourg (2.Pro),,,,2021
,14,,Points classification,,,,2021
,65,,General classification,,,,2021
18.09,77,,Stage 5 - Mersch › Luxembourg-City,183.7,,,2021
17.09,68,58,Stage 4 (ITT) - Dudelange › Dudelange,25.4,,,2021
16.09,4,57,Stage 3 - Mondorf-les-Bains  › Mamer,189.3,7,,2021
15.09,55,58,Stage 2 - Steinfort › Eschdorf,186.1,,,2021
14.09,55,55,Stage 1 - Luxembourg-City › Luxembourg-City,140.0,,,2021
29.08,31,,Bretagne Classic - Ouest-France (1.UWT),251.0,5,8,2021
24.08 » 27.08,,,Tour Poitou - Charentes en Nouvelle Aquitaine (2.1),,,,2021
,39,,General classification,,,,2021
27.08,41,,Stage 5 - Villefagnan › Poitiers,164.6,,,2021
26.08,46,63,Stage 4 (ITT) - Monts-sur-Guesnes › Loudun,23.5,,,2021
26.08,66,64,Stage 3 - Moncontour › Loudun,109.6,,,2021
25.08,51,73,Stage 2 - Parthenay › Ruffec,191.6,,,2021
24.08,105,105,Stage 1 - Pons › Parthenay,197.3,,,2021
05.08 » 08.08,,,Arctic Race of Norway (2.Pro),,,,2021
,34,,Points classification,,,,2021
,33,,General classification,,,3,2021
08.08,22,,Stage 4 - Gratangen › Harstad,163.5,,,2021
07.08,39,39,Stage 3 - Finnsnes › Målselv ,184.5,,,2021
06.08,9,43,Stage 2 - Nordkjosbotn › Kilpisjärvi,177.6,,,2021
05.08,51,51,Stage 1 - Tromsø › Tromsø,142.4,,,2021
26.06 » 18.07,,,Tour de France (2.UWT),,,,2021
11.07,OTL,,Stage 15 - Céret › Andorra la Vella,191.3,,,2021
10.07,132,94,Stage 14 - Carcassonne › Quillan,183.7,,,2021
09.07,76,78,Stage 13 - Nîmes › Carcassonne,219.9,,,2021
08.07,12,82,Stage 12 - Saint-Paul-Trois-Châteaux › Nîmes,159.4,6,,2021
07.07,95,103,Stage 11 - Sorgues › Malaucène,198.9,,,2021
06.07,92,107,Stage 10 - Albertville › Valence,190.7,,,2021
04.07,134,105,Stage 9 - Cluses › Tignes,144.9,,,2021
03.07,153,107,Stage 8 - Oyonnax › Le Grand-Bornand,150.8,,,2021
02.07,105,100,Stage 7 - Vierzon › Le Creusot,249.1,,,2021
01.07,43,85,Stage 6 - Tours › Châteauroux,160.4,,,2021
30.06,113,88,Stage 5 (ITT) - Changé › Laval Espace Mayenne,27.2,,,2021
29.06,24,84,Stage 4 - Redon › Fougères,150.4,,,2021
28.06,64,87,Stage 3 - Lorient › Pontivy,182.9,,,2021
27.06,99,102,Stage 2 - Perros-Guirec › Mûr-de-Bretagne Guerlédan,183.5,,,2021
26.06,114,114,Stage 1 - Brest › Landerneau,197.8,,,2021
20.06,36,,National Championships Norway - Road Race (NC),214.5,,,2021
17.06,DNS,,National Championships Norway - ITT (NC),50.22,,,2021
06.06 » 13.06,,,Tour de Suisse (2.UWT),,,,2021
