date,result ranking,general classification,race name,distance,PCS point,UCI point,year
07.09 » 28.09,,,Vuelta a España () ,,,,2002
22.09,DNS,,Stage 15 - Gijón › Alto l'Angliru  ,176.7,,,2002
21.09,138,24,Stage 14 - Santander › Gijón ,190.2,,,2002
19.09,82,19,Stage 12 - Segovia › Burgos ,210.5,,,2002
18.09,18,19,Stage 11 - Alcobendas › Collado Villalba ,166.1,,,2002
16.09,43,21,Stage 10 (ITT) - Córdoba › Córdoba ,36.5,,,2002
15.09,33,20,Stage 9 - Córdoba › Córdoba ,130.2,,,2002
14.09,20,22,Stage 8 - Málaga › Ubrique ,173.5,,,2002
13.09,83,21,Stage 7 - Jaén › Málaga ,196.8,,,2002
12.09,22,21,Stage 6 - Granada › Sierra de la Pandera ,153.1,,,2002
11.09,14,19,Stage 5 - El Ejido  ›  Sierra Nevada  ,198,2,,2002
10.09,84,45,Stage 4 - Águilas › Roquetas de Mar ,149.5,,,2002
09.09,64,44,Stage 3 - San Vicente del Raspeig › Murcia ,134.2,,,2002
08.09,84,44,Stage 2 - Valencia › Alcoy ,144.7,,,2002
18.08,31,,Züri Metzgete (CDM) ,236.6,5,,2002
31.07,42,,Circuito de Getxo (1.1) ,185,,,2002
25.07,14,,GP Villafranca de Ordizia (1.2) ,165,7,,2002
17.06 » 23.06,,,Volta a Catalunya (2.HC) ,,,,2002
,6,,Mountains classification ,,,,2002
,2,,Points classification ,,,,2002
,5,,General classification ,,120,,2002
23.06,5,,Stage 7 - Montcada i Reixac › Barcelona ,115.9,10,,2002
22.06,26,,Stage 6 - Llivia › Montcada i Reixac ,180.1,,,2002
21.06,3,,Stage 5 - Andorre › Llivia ,141.3,18,,2002
20.06,3,,Stage 4 - Barruera › Station de Pal ,52,18,,2002
19.06,7,5,Stage 3 (ITT) - Sant Climent de Taull › Boi Taull ,10.8,4,,2002
18.06,39,,Stage 2 - La Senia › Les Borges Blanques ,182.9,,,2002
17.06,4,25,Stage 1 (TTT) - Sant Jaume d'Enveja › Deltebre ,30.9,1,,2002
11.05 » 02.06,,,Giro d'Italia () ,,,,2002
,14,,Mountains classification ,,,,2002
,18,,Points classification ,,,,2002
,8,,General classification ,,170,,2002
02.06,64,,Stage 20 - Cantù › Milano ,142,,,2002
01.06,41,8,Stage 19 (ITT) - Cambiago › Monticello Brianza ,44.3,,,2002
31.05,47,6,Stage 18 - Rovereto › Brescia ,143,,,2002
30.05,8,6,Stage 17 - Corvara in Badia › Folgaria (Passo Coe) ,222,10,,2002
29.05,12,8,Stage 16 - Conegliano › Corvara in Badia ,163,4,,2002
28.05,61,7,Stage 15 - Terme Euganee › Conegliano ,156,,,2002
26.05,15,8,Stage 14 (ITT) - Numana › Numana ,30.3,1,,2002
25.05,5,3,Stage 13 - Chieti › San Giacomo ,190,18,,2002
24.05,39,5,Stage 12 - Campobasso › Chieti ,200,,,2002
23.05,4,6,Stage 11 - Benevento › Campitello Matese ,140,25,,2002
22.05,47,11,Stage 10 - Maddaloni › Benevento ,118,,,2002
21.05,80,12,Stage 9 - Tivoli › Caserta ,201,,,2002
20.05,23,12,Stage 8 - Capannori › Orvieto ,237,,,2002
19.05,51,13,Stage 7 - Viareggio › Lido di Camaiore ,159,,,2002
17.05,54,13,Stage 6 - Cuneo › Varazze ,190,,,2002
16.05,6,7,Stage 5 - Fossano › Limone Piemonte ,150,15,,2002
15.05,63,22,Stage 4 - Esch-sur-Alzette › Strasbourg ,232,,,2002
14.05,117,21,Stage 3 - Verviers › Esch-sur-Alzette ,206,,,2002
13.05,20,20,Stage 2 - Cologne › Ans ,209,,,2002
12.05,48,56,Stage 1 - Groningen › Munster ,215,,,2002
11.05,77,77,Prologue - Groningen › Groningen ,6.5,,,2002
08.04 » 12.04,,,Vuelta al Pais Vasco (2.HC) ,,,,2002
,12,,General classification ,,55,,2002
12.04,12,10,Stage 5a - Villabona › Elgoibar ,94,,,2002
12.04,20,,Stage 5b (ITT) - Elgoibar › Elgoibar ,15.2,,,2002
11.04,11,10,Stage 4 - Alasua › Villabona ,154,,,2002
