date,result ranking,general classification,race name,distance,PCS point,UCI point,year
23.11 » 28.11,,,Vuelta al Ecuador (2.2) ,,,,2020
,51,,General classification ,,,,2020
28.11,16,,Stage 6 - Quito › Quito ,100,,,2020
27.11,55,58,Stage 5 - Playón de San Francisco  › Atuntaqui ,130,,,2020
26.11,20,60,Stage 4 - San Roque › La Estrellita ,117,,,2020
25.11,51,70,Stage 3 - Machachi › Olmedo ,131,,,2020
24.11,68,74,Stage 2 - Pedernales › Santo Domingo ,133,,,2020
23.11,76,76,Stage 1 - Los Bancos › Pedernales ,177.47,,,2020
23.10 » 01.11,,,Vuelta a Guatemala (2.2) ,,,,2020
,3,,Mountains classification ,,,,2020
,6,,Points classification ,,,,2020
,10,,General classification ,,1,3,2020
01.11,38,,Stage 10 - Guatemala City › Guatemala City ,105,,,2020
31.10,14,10,"Stage 9 - Santa Apolonia › Chimaltenango (Aldea Chuchucá Alto, Altos de Patzú ",139,,,2020
30.10,2,11,Stage 8 - San Pablo La Laguna › Iximché Ruins ,90,2,3,2020
29.10,2,11,Stage 7 - Tejutla › Santa Catarina Ixtahuacan ,101,2,3,2020
28.10,3,20,Stage 6 - Totonicapán › Esquipulas Palo Gordo ,106,1,1,2020
27.10,2,24,Stage 5 - Suchitepéquez › Cerro El Baúl ,106,2,3,2020
26.10,49,37,Stage 4 (ITT) - Champerico › Retalhuleu ,43,,,2020
25.10,23,34,Stage 3 - Guatemala City › Coatepeque ,218,,,2020
24.10,38,37,Stage 2 - Cerecitos › Barbarena ,156,,,2020
23.10,43,43,Stage 1 - Chiquimula › Guastatoya ,148,,,2020
23.11 » 28.11,,,Vuelta al Ecuador (2.2),,,,2020
,51,,General classification,,,,2020
28.11,16,,Stage 6 - Quito › Quito,100.0,,,2020
27.11,55,58,Stage 5 - Playón de San Francisco  › Atuntaqui,130.0,,,2020
26.11,20,60,Stage 4 - San Roque › La Estrellita,117.0,,,2020
25.11,51,70,Stage 3 - Machachi › Olmedo,131.0,,,2020
24.11,68,74,Stage 2 - Pedernales › Santo Domingo,133.0,,,2020
23.11,76,76,Stage 1 - Los Bancos › Pedernales,177.47,,,2020
23.10 » 01.11,,,Vuelta a Guatemala (2.2),,,,2020
,3,,Mountains classification,,,,2020
,6,,Points classification,,,,2020
,10,,General classification,,1,3,2020
01.11,38,,Stage 10 - Guatemala City › Guatemala City,105.0,,,2020
31.10,14,10,"Stage 9 - Santa Apolonia › Chimaltenango (Aldea Chuchucá Alto, Altos de Patzú",139.0,,,2020
30.10,2,11,Stage 8 - San Pablo La Laguna › Iximché Ruins,90.0,2,3,2020
29.10,2,11,Stage 7 - Tejutla › Santa Catarina Ixtahuacan,101.0,2,3,2020
28.10,3,20,Stage 6 - Totonicapán › Esquipulas Palo Gordo,106.0,1,1,2020
27.10,2,24,Stage 5 - Suchitepéquez › Cerro El Baúl,106.0,2,3,2020
26.10,49,37,Stage 4 (ITT) - Champerico › Retalhuleu,43.0,,,2020
25.10,23,34,Stage 3 - Guatemala City › Coatepeque,218.0,,,2020
24.10,38,37,Stage 2 - Cerecitos › Barbarena,156.0,,,2020
23.10,43,43,Stage 1 - Chiquimula › Guastatoya,148.0,,,2020
23.10 » 01.11,,,Vuelta a Guatemala (2.2),,,,2019
,23,,Mountains classification,,,,2019
,11,,General classification,,,,2019
01.11,23,,Stage 10 - Guatemala City › Guatemala City,105.0,,,2019
31.10,30,11,Stage 9 - Pamezabal › El Camán,122.0,,,2019
30.10,14,11,Stage 8 - Momostenango › Piedra María Tecun,116.0,,,2019
29.10,27,11,Stage 7 - Esquipulas Palo Gordo › San Pedro Sacatepéquez,116.0,,,2019
28.10,12,11,Stage 6 - Samayac › Totonicapán,93.0,,,2019
27.10,28,20,Stage 5 (ITT) - Champerico › San Sebastián,33.5,,,2019
26.10,62,25,Stage 4 - Villa Nueva › San José El Ídolo,130.0,,,2019
25.10,27,25,Stage 3 - Gualán › Guastatoya,93.0,,,2019
24.10,68,49,Stage 2 - Puerto Barrios › Morales,125.5,,,2019
23.10,44,44,Stage 1 - San Benito › Río Dulce,204.0,,,2019
14.07,27,,Gran Premio Chapin (1.2),217.0,,,2019
13.07,19,,Gran Premio Guatemala (1.2),133.0,,,2019
30.06,25,,National Championships Guatemala - Road Race (NC),147.0,,,2019
23.10 » 01.11,,,Vuelta a Guatemala (2.2),,,,2018
,28,,General classification,,,,2018
01.11,53,,Stage 10 - Guatemala › Guatemala,140.0,,,2018
31.10,54,28,Stage 9 - Pamezabal › El Camán,117.0,,,2018
30.10,40,27,Stage 8 (ITT) - Mirador de Chichicastenango › Piedra María Tecun,18.0,,,2018
29.10,15,26,Stage 7 - San Pedro › San Pedro,116.0,,,2018
28.10,59,30,Stage 6 - San Cristóbal › San Cristóbal,143.5,,,2018
27.10,57,31,Stage 5 (ITT) - Aldea El Rosario › San Sebastián,33.5,,,2018
26.10,91,28,Stage 4 - Amatitlán › San José El Ídolo,121.0,,,2018
25.10,29,26,Stage 3 - Asunción Mita › San José Pínula,133.5,,,2018
24.10,11,38,Stage 2 - Jalapa › El Progreso,98.3,,,2018
23.10,56,57,Stage 1 - Guatemala › Guastatoya,87.4,,,2018
01.07,14,,National Championships Guatemala - Road Race (NC),144.0,,,2018
23.10 » 01.11,,,Vuelta a Guatemala (2.2),,,,2017
,19,,Mountains classification,,,,2017
,20,,General classification,,,,2017
01.11,55,,Stage 10 - Ciudad de Guatemala › Ciudad de Guatemala,105.0,,,2017
31.10,33,20,Stage 9 - Tecpán › Tecpán,112.0,,,2017
30.10,61,18,Stage 8 - Quetzaltenango › Quetzaltenango,121.0,,,2017
29.10,19,18,Stage 7 - San Pedro  › San Pedro San Marcos,116.0,,,2017
28.10,58,24,Stage 6 (ITT) - San Sebastiá › Champerico,43.6,,,2017
27.10,37,21,Stage 5 - Villa Nueva › San José El Idolo,132.0,,,2017
26.10,25,21,Stage 4 - Jutiapa › San José Pinula,118.3,,,2017
25.10,16,28,Stage 3a - Asunción Mita › Quesada,83.2,,,2017
25.10,11,29,Stage 3b (TTT) - Quesada › Jutiapa,27.5,,,2017
24.10,33,33,Stage 2 - Teculutá › Guastatoya,106.5,,,2017
23.10,42,50,Stage 1 - Ciudad de Guatemala › Zacapa,142.0,,,2017
24.06,4,,National Championships Guatemala - Road Race (NC),,4,30,2017
24.10 » 01.11,,,Vuelta a Guatemala (2.2),,,,2016
,11,,Mountains classification,,,,2016
,21,,General classification,,,,2016
