date,result ranking,general classification,race name,distance,PCS point,UCI point,year
19.08,26,,GP Banca di Legnano - Coppa Bernocchi (1.1) ,199.3,,,2010
18.08,DNF,,Coppa Agostoni - Giro Delle Brianze (1.1) ,191,,,2010
17.08,16,,Tre Valli Varesine (1.HC) ,199.6,10,,2010
04.08 » 15.08,,,Volta a Portugal em Bicicleta - EDP (2.1) ,,,,2010
,57,,General classification ,,,,2010
15.08,24,,Stage 11 - Sintra › Lisboa ,152.6,,,2010
14.08,45,,Stage 10 (ITT) - Pedrógão – › Leiria ,32.6,,,2010
13.08,80,,Stage 9 - Oliveira do Hospital › Oliveira do Bairro ,169.9,,,2010
12.08,119,,Stage 8 - Idanha-a-Nova › Torre ,168,,,2010
11.08,22,,Stage 7 - Moimenta da Beira › Castelo Branco ,221.1,,,2010
10.08,21,,Stage 6 - Fafe › Lamego ,172.4,,,2010
08.08,50,,Stage 5 - Barcelos › Senhora da Graça ,175.8,,,2010
07.08,20,,Stage 4 - Santo Tirso › Viana do Castelo ,173.7,,,2010
06.08,58,,Stage 3 - Aveiro › Sr.ª Assunção (Santo Tirso) ,152.3,,,2010
05.08,41,,Stage 2 - Gouveia › Oliveira de Azeméis ,188,,,2010
04.08,46,,Prologue - Viseu › Viseu ,5.5,,,2010
25.07,55,,Prueba Villafranca-Ordiziako Klasika (1.1) ,165.7,,,2010
17.07 » 18.07,,,Vuelta A La Comunidad De Madrid (2.1) ,,,,2010
,37,,General classification ,,,,2010
18.07,38,,Stage 3 - Alcobendas › Puerto de Morcuera ,132,,,2010
17.07,32,,Stage 2 - Coslada › Coslada ,84.8,,,2010
17.07,42,,Stage 1 (ITT) - Madrid › Madrid ,7.8,,,2010
30.06 » 04.07,,,Course de Solidarnosc et des Champions Olympiques (2.1) ,,,,2010
,30,,General classification ,,,,2010
04.07,4,,Stage 6 - Lesko › Jaroslaw ,158.3,5,,2010
03.07,33,,Stage 5 - Jaslo › Krosno ,183.7,,,2010
02.07,26,,Stage 4 - Radom › Kielce ,188.2,,,2010
01.07,15,,Stage 3 - Piotrków Trybunalski › Skarzysko-Kamienna ,157.2,,,2010
30.06,15,,Stage 2 - Radomsko › Belchatów ,78,,,2010
30.06,16,,Stage 1 - Lódz › Kleszczow ,138.4,,,2010
27.06,20,,National Championships Spain - Road Race (NC) ,226.4,,,2010
11.06 » 13.06,,,Delta Tour Zeeland (2.1) ,,,,2010
,96,,General classification ,,,,2010
13.06,108,,Stage 3 - Terneuzen › Terneuzen ,195.8,,,2010
12.06,57,,Stage 2 - Middelburg › Goes ,191.3,,,2010
11.06,93,,Prologue - Hulst - Hulst ›  ,2.7,,,2010
28.04 » 02.05,,,Vuelta Asturias Julio Alvarez Mendo (2.1) ,,,,2010
02.05,DNF,,Stage 6 - Fuentes Del Narcea › Oviedo ,198.9,,,2010
01.05,52,,Stage 5 - Cafés Toscaf › Alto del Acebo ,168.8,,,2010
30.04,59,,Stage 4 (ITT) - Piedras Blancas › Piedras Blancas ,14.2,,,2010
30.04,23,,Stage 3 - Gijón › Avilés ,88.3,,,2010
29.04,58,,Stage 2 - Llanes › Gijón ,139.1,,,2010
28.04,28,,Stage 1 - Oviedo › Llanes ,156.3,,,2010
27.04,DNF,,Subida al Naranco (1.1) ,149,,,2010
24.04,80,,Gran Premio Llodio (1.1) ,172.3,,,2010
11.04 » 18.04,,,Presidential Cycling Tour of Turkey (2.HC) ,,,,2010
,14,,General classification ,,24,,2010
18.04,18,,Stage 8 - Antalya › Alanya ,158.5,,,2010
17.04,21,,Stage 7 - Finike › Antalya ,114,,,2010
16.04,11,,Stage 6 - Fethiye › Finike ,194,,,2010
15.04,17,,Stage 5 - Pamukkale › Fethiye ,208.6,,,2010
14.04,15,,Stage 4 - Marmaris › Pamukkale ,209,,,2010
13.04,7,,Stage 3 - Bodrum › Marmaris ,170,2,,2010
12.04,20,,Stage 2 - Kusadasi › Bodrum ,181,,,2010
11.04,34,,Prologue - Istanbul › Istanbul ,5.8,,,2010
03.04,24,,Gran Premio Miguel Indurain (1.HC) ,179.3,2,,2010
27.03,77,,E3 Prijs Vlaanderen (1.HC) ,203,,,2010
24.03,107,,Dwars door Vlaanderen (1.1) ,204,,,2010
21.03,DNF,,Eneco Ronde Van Het Groene Hart (1.1) ,207.4,,,2010
28.02,19,,Clasica de Almeria (1.1) ,178.2,2,,2010
11.02,DNF,,Trofeo Magaluf - Palmanova (1.1) ,158.5,,,2010
10.02,OTL,,Deià Trophy (1.1) ,143,,,2010
09.02,OTL,,Trofeo Inca-inca (1.1) ,157.2,,,2010
08.02,77,,Trofeo Cala Millor - Son Servera (1.1) ,173.5,,,2010
07.02,58,,Trofeo Palma de Mallorca (1.1) ,116,,,2010
29.08 » 20.09,,,Vuelta a España (2.HC) ,,,,2009
,77,,General classification ,,20,,2009
20.09,46,,Stage 21 - Rivas › Madrid ,110.2,,,2009
19.09,46,78,Stage 20 (ITT) - Toledo › Toledo ,27.8,,,2009
18.09,58,79,Stage 19 - Ávila › Segovia ,179.8,,,2009
17.09,45,83,Stage 18 - Talavera de la Reina › Ávila ,165,,,2009
16.09,78,92,Stage 17 - Ciudad Real › Talavera de la Reina ,175,,,2009
15.09,56,96,Stage 16 - Córdoba › Puertollano ,170.3,,,2009
14.09,86,99,Stage 15 - Jaén › Córdoba ,167.7,,,2009
13.09,86,95,Stage 14 - Granada › La Pandera ,157,,,2009
12.09,69,95,Stage 13 - Bejar › Alto de Sierra Nevada ,172.4,,,2009
11.09,115,101,Stage 12 - Almería › Alto de Velefique ,179.3,,,2009
09.09,146,102,Stage 11 - Murcia › Caravaca de la Cruz ,191,,,2009
08.09,95,75,Stage 10 - Alicante › Murcia ,162,,,2009
07.09,58,69,Stage 9 - Alcoi › Xorret de Catí ,188.8,,,2009
06.09,105,84,Stage 8 - Alzira › Alto de Aitana ,204.7,,,2009
05.09,64,61,Stage 7 (ITT) - Valencia › Valencia ,30.3,,,2009
04.09,77,78,Stage 6 - Xàtiva › Xàtiva ,185.7,,,2009
03.09,52,104,Stage 5 - Tarragona › Vinaròs ,174,,,2009
01.09,151,115,Stage 4 - Venlo › Liège ,225.5,,,2009
31.08,65,134,Stage 3 - Zutphen › Venlo ,189.7,,,2009
30.08,139,135,Stage 2 - Assen › Emmen ,203.7,,,2009
29.08,77,77,Prologue - Assen › Assen ,4.8,,,2009
05.08 » 09.08,,,Vuelta a Burgos (2.HC) ,,,,2009
,44,,General classification ,,,,2009
09.08,54,,Stage 5 - Arenisca de los Pinares › Lagunas de Neila ,155,,,2009
08.08,43,,Stage 4 (ITT) - Ribera del Duero › Ribera del Duero ,15,,,2009
07.08,90,,Stage 3 - Burgos › Burgos ,175,,,2009
06.08,35,,Stage 2 - Villasana de Mena › Miranda de Ebro ,153,,,2009
05.08,13,,Stage 1 - Oña › Briviesca ,143,,,2009
02.08,65,,Urkiola Igoera - Subida Urkiola (1.1) ,160.5,,,2009
31.07,44,,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,185.4,,,2009
17.07 » 19.07,,,Vuelta A La Comunidad De Madrid (2.1) ,,,,2009
,28,,General classification ,,,,2009
19.07,18,,Stage 3 - San Sebastián de los Reyes › San Sebastián de los Reyes ,154.1,,,2009
18.07,40,,Stage 2 - Coslada › Coslada ,180,,,2009
17.07,40,,Stage 1 (ITT) - Madrid › Madrid ,8.1,,,2009
28.06,65,,National Championships Spain - Road Race (NC) ,196,,,2009
11.06 » 14.06,,,GP CTT Correios de Portugal (2.1) ,,,,2009
,56,,General classification ,,,,2009
14.06,51,,Stage 4 - Santo Tirso › Póvoa de Varzim ,154.9,,,2009
13.06,48,,Stage 3 - Fafe › Mondim de Basto ,139.5,,,2009
12.06,72,,Stage 2 - Agueda › Lamego ,168,,,2009
11.06,86,,Stage 1 - Caldas da Rainha  › Aveiro ,176.5,,,2009
23.03 » 27.03,,,Vuelta a Castilla y Leon (2.1) ,,,,2009
26.03,99,,Stage 4 - Santa María Del Páramo › Galende-Laguna De Los Peces ,145.4,,,2009
25.03,104,,Stage 3 - SAHAGUN › PUERTO SAN ISIDRO ,156.9,,,2009
24.03,83,,Stage 2 (ITT) - Palencia › Palencia ,28.2,,,2009
23.03,11,,Stage 1 - Paredes de Navas › Baltanas ,176.3,,,2009
15.02 » 19.02,,,Vuelta a Andalucia Ruta ciclista del Sol (2.1) ,,,,2009
,27,,General classification ,,,,2009
19.02,32,,Stage 5 - Torrox Costa › Antequera ,165.8,,,2009
