date,result ranking,general classification,race name,distance,PCS point,UCI point,year
09.06,4,,National Championships Puerto Rico - Road Race (NC) ,136.8,4,,2013
09.06,4.0,,National Championships Puerto Rico - Road Race (NC) ,136.8,4,,2013
06.06,12.0,,San Antonio de Padua Classic Event Guayama (1.2) ,141.0,,,2010
21.02 » 28.02,,,Vuelta Independencia Nacional (2.2) ,,,,2010
,50.0,,General classification ,,,,2010
28.02,28.0,,Stage 10 ,116.0,,,2010
27.02,31.0,,Stage 9 - San Cristobal › Bani ,141.0,,,2010
26.02,87.0,,Stage 8 (ITT) - Santo Domingo › Santo Domingo ,10.4,,,2010
26.02,42.0,,Stage 7 - La Vega › Santa Domingo ,115.0,,,2010
25.02,64.0,,Stage 6 - Moca › Jarabacoa ,153.0,,,2010
24.02,97.0,,Stage 5 - Santa Domingo › San Francisco de Macoris ,135.0,,,2010
23.02,64.0,,Stage 4 - Higuey › Santa Domingo ,172.0,,,2010
22.02,33.0,,Stage 3 - La Romana › Higüey ,53.0,,,2010
22.02,96.0,,Stage 2 - Santo Domingo › La Romana ,104.4,,,2010
21.02,49.0,,Stage 1 - Santo Domingo Circuit › Santo Domingo Circuit ,124.6,,,2010
