date,result ranking,general classification,race name,distance,PCS point,UCI point,year
27.09,82,,World Championships U23 - Road Race (WC) ,173.2,,,2013
19.08 » 25.08,,,Baltic Chain Tour (2.2) ,,,,2013
22.08,DNF,,Stage 4 - Smiltene › Sigulda ,179,,,2013
21.08,113,72,Stage 3 - Viljandi › Otepää ,183,,,2013
20.08,78,77,Stage 2 - Tallinn › Viljandi ,187,,,2013
19.08,86,84,Stage 1 - Lahti › Lahti ,168.6,,,2013
23.07 » 27.07,,,Dookoła Mazowsza (2.2) ,,,,2013
,89,,General classification ,,,,2013
27.07,97,,Stage 6 - Nowy Dwor Mazowieck › Nowy Dwor Mazowieck ,160,,,2013
26.07,80,86,Stage 5 - Modlin › Nowy Dwor Mazowieck ,110,,,2013
26.07,7,89,Stage 4 (TTT) - Nowy Dwor Mazowieck › Nowy Dwor Mazowieck ,26.7,,,2013
25.07,104,70,Stage 3 - Wysokie Mazowieck › Łomża ,160,,,2013
24.07,19,65,Stage 2 - Warszawa-Wesola › Wysokie Mazowieck ,186,,,2013
23.07,78,78,Stage 1 - Kozienice › Kozienice ,177,,,2013
21.07,40,,European Championships U23 - Road Race (CC) ,165,,,2013
23.06,3,,National Championships Belarus - Road Race (NC) ,195,7,16,2013
27.09,82,,World Championships U23 - Road Race (WC) ,173.2,,,2013
19.08 » 25.08,,,Baltic Chain Tour (2.2) ,,,,2013
22.08,DNF,,Stage 4 - Smiltene › Sigulda ,179.0,,,2013
21.08,113,72,Stage 3 - Viljandi › Otepää ,183.0,,,2013
20.08,78,77,Stage 2 - Tallinn › Viljandi ,187.0,,,2013
19.08,86,84,Stage 1 - Lahti › Lahti ,168.6,,,2013
23.07 » 27.07,,,Dookoła Mazowsza (2.2) ,,,,2013
,89,,General classification ,,,,2013
27.07,97,,Stage 6 - Nowy Dwor Mazowieck › Nowy Dwor Mazowieck ,160.0,,,2013
26.07,80,86,Stage 5 - Modlin › Nowy Dwor Mazowieck ,110.0,,,2013
26.07,7,89,Stage 4 (TTT) - Nowy Dwor Mazowieck › Nowy Dwor Mazowieck ,26.7,,,2013
25.07,104,70,Stage 3 - Wysokie Mazowieck › Łomża ,160.0,,,2013
24.07,19,65,Stage 2 - Warszawa-Wesola › Wysokie Mazowieck ,186.0,,,2013
23.07,78,78,Stage 1 - Kozienice › Kozienice ,177.0,,,2013
21.07,40,,European Championships U23 - Road Race (CC) ,165.0,,,2013
23.06,3,,National Championships Belarus - Road Race (NC) ,195.0,7,16,2013
09.08 » 12.08,,,Tour of Szeklerland (2.2) ,,,,2012
12.08,73,71,Stage 4a (ITT) - Harmaskereszt › Harghita-Bai ,5.0,,,2012
11.08,63,76,Stage 3 - Miercurea Ciuc › Harghita-Bai ,180.0,,,2012
10.08,88,86,Stage 2 - Miercurea Ciuc › Miercurea Ciuc ,168.0,,,2012
09.08,10,83,Stage 1 (TTT) - Miercurea Ciuc  › Manastirea Fagatel ,22.0,,,2012
03.06,46,,Riga Grand Prix (1.2) ,180.0,,,2012
18.04 » 22.04,,,Grand Prix of Adygeya (2.2) ,,,,2012
21.04,OTL,,Stage 4 - Maykop  › Guseripl ,148.7,,,2012
20.04,57,80,Stage 3 - Maykop › Maykop ,157.0,,,2012
19.04,85,82,Stage 2 - Maykop › Maykop ,171.4,,,2012
18.04,46,46,Stage 1 (ITT) - Kamennomostskiy › Pobeda ,10.0,,,2012
15.04,30,,Grand Prix of Donetsk (1.2) ,154.6,,,2012
04.04 » 08.04,,,Grand Prix of Sochi (2.2) ,,,,2012
,61,,General classification ,,,,2012
08.04,83,,Stage 5 - Nebug  › Krasnodar ,163.0,,,2012
07.04,62,60,Stage 4 - Nebug › Nebug ,238.0,,,2012
06.04,62,59,Stage 3 - Novorossiysk  › Nebug ,154.0,,,2012
05.04,44,62,Stage 2 - Anapa › Anapa ,128.4,,,2012
04.04,116,119,Stage 1 - Krasnodar  › Anapa ,179.2,,,2012
24.06,18,,National Championships Belarus - ITT (NC) ,40.0,,,2011
