date,result ranking,general classification,race name,distance,PCS point,UCI point,year
25.10 » 03.11,,,Tour du Faso (2.2) ,,,,2019
,20,,Points classification ,,,,2019
,27,,General classification ,,,,2019
03.11,17,,Stage 10 - Kombissiri › Ouagadougou ,100.6,,,2019
02.11,16,28,Stage 9 - Bobo Dioulasso › Diebougou ,133.3,,,2019
01.11,17,26,Stage 8 - Bobo Dioulasso › Sindou ,137.5,,,2019
31.10,49,34,Stage 7 - Dedougou › Bobo Dioulasso ,182.5,,,2019
30.10,51,31,Stage 6 - Ouagadougou › Koudougou ,118.3,,,2019
29.10,1,32,Stage 5 - Bousse › Ouahigouya ,135.5,5,7,2019
28.10,70,38,Stage 4 - Bittou › Koupela ,101.8,,,2019
27.10,58,14,Stage 3 - Tenkodogo › Dapong ,145,,,2019
26.10,57,17,Stage 2 - Ouagadougou › Tenkodogo ,150.5,,,2019
25.10,3,15,Stage 1 (TTT) - Ouagadougou › Ouagadougou ,7,3,0.17,2019
26.06,DNF,,Internationale Wielertrofee Jong Maar Moedig I.W.T. (1.2) ,181,,,2019
25.10 » 03.11,,,Tour du Faso (2.2),,,,2019
,20,,Points classification,,,,2019
,27,,General classification,,,,2019
03.11,17,,Stage 10 - Kombissiri › Ouagadougou,100.6,,,2019
02.11,16,28,Stage 9 - Bobo Dioulasso › Diebougou,133.3,,,2019
01.11,17,26,Stage 8 - Bobo Dioulasso › Sindou,137.5,,,2019
31.10,49,34,Stage 7 - Dedougou › Bobo Dioulasso,182.5,,,2019
30.10,51,31,Stage 6 - Ouagadougou › Koudougou,118.3,,,2019
29.10,1,32,Stage 5 - Bousse › Ouahigouya,135.5,5,7,2019
28.10,70,38,Stage 4 - Bittou › Koupela,101.8,,,2019
27.10,58,14,Stage 3 - Tenkodogo › Dapong,145.0,,,2019
26.10,57,17,Stage 2 - Ouagadougou › Tenkodogo,150.5,,,2019
25.10,3,15,Stage 1 (TTT) - Ouagadougou › Ouagadougou,7.0,3,0.17,2019
26.06,DNF,,Internationale Wielertrofee Jong Maar Moedig I.W.T. (1.2),181.0,,,2019
21.08,83,,National Championships Belgium U23 - Road Race (NC),175.5,,,2011
11.07,74,,GP van de stad Geel (1.2),167.1,,,2011
02.07,70,,Omloop Het Nieuwsblad Beloften/Circuit Het Nieuwsblad Espoirs (1.2U23),178.0,,,2011
29.06,48,,Internationale Wielertrofee Jong Maar Moedig I.W.T (1.2),168.0,,,2011
16.06 » 19.06,,,Tour des Pays de Savoie (2.2),,,,2011
,74,,General classification,,,,2011
19.06,66,,Stage 3 - Neydens › Les Houches,121.5,,,2011
18.06,80,,Stage 2 - Aoste › La Thuil,152.2,,,2011
17.06,44,,Stage 1 - Chambéry › Bourg-Saint-Maurice,153.6,,,2011
16.06,72,,Prologue - Saint-Jean-de-Maurienne › Saint-Jean-de-Maurienne,5.6,,,2011
05.06,24,,Memorial Philippe Van Coningsloo (1.2),185.5,,,2011
17.04,106,,Zellik - Galmaarden (1.2),173.9,,,2011
13.03,102,,Kattekoers (1.2),177.0,,,2011
05.03,69,,De Vlaamse Pijl (1.2),151.0,,,2011
22.08,72,,National Championships Belgium U23 - Road Race (NC),179.1,,,2010
17.04,83,,Liège - Bastogne - Liège U23 (1.2U23),178.3,,,2010
14.03,22,,Kattekoers (),178.0,,,2010
27.02,78,,Beverbeek Classic (1.2),168.6,,,2010
16.08,42,,Antwerpse Havenpijl (1.2),181.4,,,2009
03.04 » 05.04,,,Le Triptyque des Monts et Châteaux (2.2),,,,2009
,74,,General classification,,,,2009
05.04,81,,Stage 4 - Château de Beloeil › Tournai,164.5,,,2009
04.04,68,,Stage 3 - Frasnes-lez-Buissenal › Soignies,126.7,,,2009
04.04,127,,Stage 2 (ITT) - Flobecq › Flobecq,8.3,,,2009
03.04,124,,Stage 1 - Vieux Conde › Quevacamps,170.2,,,2009
01.05,27,,Grote Prijs 1 Mei - Ereprijs Victor de Bruyne (1.2),188.7,,,2008
19.04,DNF,,Liège-Bastogne-Liège U23 (1.2U23),183.0,,,2008
04.04 » 06.04,,,Le Triptyque des Monts et Châteaux (2.2),,,,2008
05.04,79,,Stage 3 - Tournai › Chièvres,125.9,,,2008
05.04,89,,Stage 2 (ITT) - Lessines › Lessines,8.4,,,2008
04.04,50,,Stage 1 - Vieux-Condé › Quevacamps,170.2,,,2008
08.03,68,,Vlaamse Pijl-Harelbeke (1.2),154.0,,,2008
19.08,42,,Omloop der Vlaamse Gewesten (1.1),120.0,,,2007
06.07 » 09.07,,,Sint-Martinusprijs Kontich (2.1),,,,2007
,18,,Points classification,,,,2007
,53,,General classification,,,,2007
09.07,17,,Stage 3 - Waarloos › Waarloos,117.0,,,2007
08.07,22,62,Stage 2b - Kontich › Kontich,112.5,,,2007
07.07,7,78,Stage 1 - Kontich › Kontich,127.0,2,,2007
06.07,82,82,Prologue - Waarloos › Waarloos,8.3,,,2007
20.05,36,,National Championships Belgium MJ - Road Race (NC),132.0,,,2007
