date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,DNF,,National Championships Canada - Road Race (NC) ,,,,2022
23.06,DNS,,National Championships Canada - ITT (NC) ,48,,,2022
11.09,19,,National Championships Canada - Road Race (NC) ,198.9,,,2021
18.07,DNF,,Grand Prix International de la ville de Nogent-sur-Oise (1.2) ,174.0,,,2021
27.09,84,,World Championships U23 - Road Race (WC) ,171.6,,,2019
15.09,97,,Grand Prix Cycliste de Montréal (1.UWT) ,219.6,5,,2019
13.09,74,,Grand Prix Cycliste de Québec (1.UWT) ,201.6,5,,2019
15.08 » 25.08,,,Tour de l'Avenir (2.Ncup) ,,,,2019
,55,,General classification ,,,,2019
25.08,50,,Stage 10 - Saint-Colomban-des-Villard › Le Corbier ,78.1,,,2019
24.08,41,54,Stage 9 - Villaroger › Tignes ,67.2,,,2019
23.08,52,60,Stage 8 - Brides-les-Bains › Col de la Loze/Méribel ,23.1,,,2019
22.08,30,62,Stage 7 - Grésy-sur-Isere › La Giettaz ,103.5,,,2019
20.08,103,77,Stage 6 - Saint-Julien-Chapteuil › Privas ,124.0,,,2019
19.08,26,71,Stage 5 - Espalion › Saint-Julien-Chapteuil  ,158.9,,,2019
18.08,43,106,Stage 4 - Mauriac › Espalion ,158.2,,,2019
17.08,62,111,Stage 3 - Montignac-Lascaux › Mauriac ,162.3,,,2019
16.08,16,136,Stage 2 (TTT) - Eymet › Bergerac ,32.1,,,2019
15.08,134,141,Stage 1 - Marmande › Marmande ,128.8,,,2019
07.07,31,,White Spot / Delta Road Race (1.2) ,155.46,,,2019
30.06,16,,National Championships Canada - Road Race (NC) ,186.2,,,2019
28.06,14,,National Championships Canada - ITT (NC) ,34.0,,,2019
19.06 » 23.06,,,Tour de Beauce (2.2) ,,,,2019
,6,,Youth classification ,,,,2019
,32,,Points classification ,,,,2019
,23,,General classification ,,,,2019
23.06,27,,Stage 5 - Saint-Georges › Saint-Georges ,122.4,,,2019
22.06,15,28,Stage 4 - Québec › Québec ,70.0,,,2019
21.06,51,29,Stage 3b - Saint-Georges › Notre-Dame-des-Pins ,78.0,,,2019
21.06,20,30,Stage 3a (ITT) - Saint-Prosper › Saint-Prosper ,20.0,,,2019
20.06,27,32,Stage 2 - Lac-Mégantic › Lac-Mégantic ,169.0,,,2019
19.06,70,70,Stage 1 - Saint-Georges  › Saint-Georges  ,177.0,,,2019
13.06 » 16.06,,,Grand Prix Cycliste de Saguenay (2.2) ,,,,2019
,7,,Mountains classification ,,,,2019
,10,,Points classification ,,,,2019
,14,,General classification ,,,,2019
16.06,4,,Stage 4 - Chicoutimi  › Chicoutimi  ,95.9,,,2019
15.06,13,14,Stage 3 - Chicoutimi  › Chicoutimi  ,50.25,,,2019
14.06,9,14,Stage 2 - La Baie › Montée Saint-Charles ,156.1,,,2019
13.06,28,28,Stage 1 - Jonquière › Jonquière ,143.1,,,2019
27.05,15,,Winston Salem Cycling Classic (1.2) ,144.84,,,2019
01.05 » 05.05,,,Tour of the Gila (2.2) ,,,,2019
,12,,Youth classification ,,,,2019
,42,,General classification ,,,,2019
05.05,56,,Stage 5 - Silver City › Pinos Altos ,161.9,,,2019
04.05,27,35,Stage 4 - Silver City › Silver City ,69.5,,,2019
03.05,50,37,Stage 3 (ITT) - Tyrone › Tyrone ,26.0,,,2019
02.05,42,35,Stage 2 - Fort Bayard › Fort Bayard ,122.6,,,2019
01.05,37,37,Stage 1 - Silver City › Mogollon  ,148.0,,,2019
04.04 » 07.04,,,Joe Martin Stage Race (2.2) ,,,,2019
,26,,Youth classification ,,,,2019
,15,,Points classification ,,,,2019
,79,,General classification ,,,,2019
07.04,48,,Stage 4 - Fayetteville › Fayetteville ,57.94,,,2019
06.04,29,88,Stage 3 (ITT) - Devil's Den State Park › Devil's Den State Park ,4.83,,,2019
05.04,102,94,Stage 2 - Fayetteville › Fayetteville ,176.8,,,2019
04.04,68,68,Stage 1 - Fayetteville  › Fayetteville (Mount Sequoyah) ,166.9,,,2019
16.08 » 19.08,,,Colorado Classic (2.HC) ,,,,2018
16.08,OTL,,Stage 1 - Vail › Vail ,103.2,,,2018
06.08 » 12.08,,,The Larry H.Miller Tour of Utah (2.HC) ,,,,2018
12.08,DNF,,Stage 6 - Park City › Park City ,122.3,,,2018
11.08,102,103,Stage 5 - Canyons Village  › Snowbird Ski and Summer  ,157.7,,,2018
10.08,67,103,Stage 4 - Salt Lake City › Salt Lake City ,109.4,,,2018
09.08,69,106,Stage 3 - Antelope Island › Layton City ,188.0,,,2018
08.08,89,109,Stage 2 - Payson City › Payson City ,138.4,,,2018
07.08,108,111,Stage 1 - Cedar City › Cedar City ,162.5,,,2018
06.08,102,102,Prologue - St. George › St. George ,5.31,,,2018
23.06,DNF,,National Championships Canada - Road Race (NC) ,181.2,,,2018
21.06,20,,National Championships Canada - ITT (NC) ,37.3,,,2018
13.06 » 17.06,,,Tour de Beauce (2.2) ,,,,2018
,8,,Youth classification ,,,,2018
,31,,Points classification ,,,,2018
,29,,General classification ,,,,2018
17.06,26,,Stage 5 - Saint-Georges › Saint-Georges ,122.4,,,2018
16.06,31,45,Stage 4 - Québec › Québec ,70.0,,,2018
15.06,43,50,Stage 3b - Saint-Georges › Notre-Dame-des-Pins ,77.0,,,2018
15.06,34,51,Stage 3a (ITT) - Saint-Prosper › Saint-Prosper ,19.4,,,2018
14.06,61,60,Stage 2 - Lac-Mégantic › Lac-Mégantic ,169.0,,,2018
13.06,13,16,Stage 1 - Saint-Georges › Saint-Georges ,177.0,,,2018
28.05,DNF,,Winston Salem Cycling Classic (1.1) ,177.8,,,2018
12.04 » 15.04,,,Joe Martin Stage Race (2.2) ,,,,2018
,15,,Youth classification ,,,,2018
,40,,General classification ,,,,2018
15.04,28,,Stage 4 - Fayetteville › Fayetteville ,60.0,,,2018
14.04,41,45,Stage 3 (ITT) - Devil's Den State Park › Devil's Den State Park ,4.84,,,2018
13.04,46,47,Stage 2 - Fayetteville › Fayetteville ,176.5,,,2018
12.04,51,51,Stage 1 - Fayetteville › Fayetteville (Mount Sequoyah) ,166.9,,,2018
01.09 » 04.09,,,Tour of Alberta (2.1) ,,,,2017
,17,,Youth classification ,,,,2017
,59,,General classification ,,,,2017
04.09,72,,Stage 4 - Edmonton › Edmonton ,124.1,,,2017
03.09,43,46,Stage 3 - Edmonton › Edmonton ,116.0,,,2017
02.09,54,46,Stage 2 - Spruce Grove › Spruce Grove ,139.0,,,2017
01.09,47,47,Stage 1 - Jasper › Marmot Basin Ski Area ,162.0,,,2017
19.07 » 23.07,,,Cascade Cycling Classic (2.2) ,,,,2017
,32,,Youth classification ,,,,2017
,93,,General classification ,,,,2017
23.07,103,,Stage 5 - Bend › Bend ,130.6,,,2017
22.07,89,97,Stage 4 ,48.6,,,2017
21.07,115,98,Stage 3 - Bend › Kapka Butte Snow Park ,172.7,,,2017
20.07,48,87,Stage 2 (ITT) - Bend › Bend ,22.9,,,2017
19.07,95,95,Stage 1 - Princeville ›  Dee Wright Observatory ,172.9,,,2017
