date,result ranking,general classification,race name,distance,PCS point,UCI point,year
27.09 » 29.09,,,Paris - Corrèze (2.3) ,,,,2002
,50,,General classification ,,,,2002
29.09,42,,Stage 3 - Objat › Brive-la-Gaillarde ,161,,,2002
28.09,56,,Stage 2 - Contres › Saint-Junien ,207.6,,,2002
27.09,33,,Stage 1 - Ormes › Romorantin-Lanthenay ,196.8,,,2002
20.08 » 24.08,,,Ronde van Nederland (2.1) ,,,,2002
23.08,DNF,,Stage 5 - Arnhem › Sittard ,198.9,,,2002
22.08,107,,Stage 4 (ITT) - Almelo › Almelo ,18.3,,,2002
22.08,118,,Stage 3 - Apeldoorn › Almelo ,74.9,,,2002
21.08,120,,Stage 2 - Dokkum › Apeldoorn ,175.4,,,2002
20.08,108,,Stage 1 - Utrecht › Leeuwarden ,220.3,,,2002
13.08 » 17.08,,,Post Danmark Rundt (2.2) ,,,,2002
16.08,101,,Stage 4a - Fredericia › Odense ,98,,,2002
16.08,98,,Stage 4b (ITT) - Kerteminde › Kerteminde ,16,,,2002
15.08,104,,Stage 3 - Århus › Vejle ,183,,,2002
14.08,104,,Stage 2 - Aabenraa › Århus ,219,,,2002
13.08,64,,Stage 1 - Ribe › Sønderborg ,180,,,2002
07.08 » 11.08,,,Rothaus Regio-Tour International (2.3) ,,,,2002
,54,,General classification ,,,,2002
11.08,62,,Stage 5 - Neuenburg am Rhein › Vogtsburg ,173.4,,,2002
10.08,52,,Stage 4 - Badenweiler › Freiburg ,156.1,,,2002
09.08,103,,Stage 3 - Herbolzheim › Lahr ,190.8,,,2002
08.08,102,,Stage 2a - Emmendingen › Müllheim ,83,,,2002
08.08,112,,Stage 2b (ITT) - Müllheim › Müllheim ,14.4,,,2002
07.08,106,,Stage 1 - Heitersheim › Guebwiller ,192.2,,,2002
31.07,23,,Circuito de Getxo (1.1) ,185,,,2002
30.06,5,,National Championships Switzerland - Road Race (NC) ,206,2,,2002
03.06 » 09.06,,,Deutschland Tour (2.2) ,,,,2002
09.06,DNF,,Stage 7 - Biberach an der Riß  › Stuttgart ,172.2,,,2002
08.06,121,,Stage 6 - Friedrichshafen  › Oberstdorf ,191,,,2002
07.06,107,,Stage 5 - Bad Dürrheim › Friedrichshafen  ,172.3,,,2002
06.06,92,,Stage 4 (ITT) - Villingen-Schwenningen › Bad Dürrheim ,37.6,,,2002
05.06,86,,Stage 3 - Bühlertal  › Schonach ,192.5,,,2002
04.06,120,,Stage 2 - Tauberbischofsheim  › Pforzheim ,186.6,,,2002
03.06,136,,Stage 1 - Wiesbaden › Tauberbischofsheim  ,198.6,,,2002
22.05 » 26.05,,,GP du Midi-Libre (2.1) ,,,,2002
22.05,115,,Stage 1 - Salses-le-Château  › Carcassonne  ,191,,,2002
12.05,DNF,,Tour de Berne (1.3) ,170.1,,,2002
21.04,72,,Liège - Bastogne - Liège (CDM) ,258,5,,2002
17.04,145,,La Flèche Wallonne (1.HC) ,198,5,,2002
10.04,DNF,,Gent - Wevelgem (1.HC) ,207,,,2002
07.04,27,,Tour du lac Leman (1.5) ,181,,,2002
24.03,DNF,,Stausee Rundfahrt (1.3) ,174,,,2002
26.02 » 02.03,,,Vuelta Ciclista a la Comunidad Valenciana (2.3) ,,,,2002
27.02,151,,Stage 2 - Calpe  › Castellón ,216,,,2002
26.02,151,,Stage 1 - Calpe  › Calpe  ,126,,,2002
13.02 » 17.02,,,Tour Méditerranéen (2.3) ,,,,2002
15.02,DNF,,Stage 3 - Villeneuve-Loubet › Hyères ,142,,,2002
14.02,139,,Stage 2 - Bouc-Bel-Air › Le Cannet ,168,,,2002
13.02,133,133,Stage 1 (TTT) - Salon-de-Provence › Berre ,36,,,2002
06.02,70,,Challenge Illes Balears - Trofeo Calvia (1.3) ,156,,,2002
27.09 » 29.09,,,Paris - Corrèze (2.3) ,,,,2002
,50,,General classification ,,,,2002
29.09,42,,Stage 3 - Objat › Brive-la-Gaillarde ,161.0,,,2002
28.09,56,,Stage 2 - Contres › Saint-Junien ,207.6,,,2002
27.09,33,,Stage 1 - Ormes › Romorantin-Lanthenay ,196.8,,,2002
20.08 » 24.08,,,Ronde van Nederland (2.1) ,,,,2002
23.08,DNF,,Stage 5 - Arnhem › Sittard ,198.9,,,2002
22.08,107,,Stage 4 (ITT) - Almelo › Almelo ,18.3,,,2002
22.08,118,,Stage 3 - Apeldoorn › Almelo ,74.9,,,2002
21.08,120,,Stage 2 - Dokkum › Apeldoorn ,175.4,,,2002
20.08,108,,Stage 1 - Utrecht › Leeuwarden ,220.3,,,2002
13.08 » 17.08,,,Post Danmark Rundt (2.2) ,,,,2002
16.08,101,,Stage 4a - Fredericia › Odense ,98.0,,,2002
16.08,98,,Stage 4b (ITT) - Kerteminde › Kerteminde ,16.0,,,2002
15.08,104,,Stage 3 - Århus › Vejle ,183.0,,,2002
14.08,104,,Stage 2 - Aabenraa › Århus ,219.0,,,2002
13.08,64,,Stage 1 - Ribe › Sønderborg ,180.0,,,2002
07.08 » 11.08,,,Rothaus Regio-Tour International (2.3) ,,,,2002
,54,,General classification ,,,,2002
11.08,62,,Stage 5 - Neuenburg am Rhein › Vogtsburg ,173.4,,,2002
10.08,52,,Stage 4 - Badenweiler › Freiburg ,156.1,,,2002
09.08,103,,Stage 3 - Herbolzheim › Lahr ,190.8,,,2002
08.08,102,,Stage 2a - Emmendingen › Müllheim ,83.0,,,2002
08.08,112,,Stage 2b (ITT) - Müllheim › Müllheim ,14.4,,,2002
07.08,106,,Stage 1 - Heitersheim › Guebwiller ,192.2,,,2002
31.07,23,,Circuito de Getxo (1.1) ,185.0,,,2002
30.06,5,,National Championships Switzerland - Road Race (NC) ,206.0,2,,2002
03.06 » 09.06,,,Deutschland Tour (2.2) ,,,,2002
09.06,DNF,,Stage 7 - Biberach an der Riß  › Stuttgart ,172.2,,,2002
08.06,121,,Stage 6 - Friedrichshafen  › Oberstdorf ,191.0,,,2002
07.06,107,,Stage 5 - Bad Dürrheim › Friedrichshafen  ,172.3,,,2002
06.06,92,,Stage 4 (ITT) - Villingen-Schwenningen › Bad Dürrheim ,37.6,,,2002
05.06,86,,Stage 3 - Bühlertal  › Schonach ,192.5,,,2002
04.06,120,,Stage 2 - Tauberbischofsheim  › Pforzheim ,186.6,,,2002
03.06,136,,Stage 1 - Wiesbaden › Tauberbischofsheim  ,198.6,,,2002
22.05 » 26.05,,,GP du Midi-Libre (2.1) ,,,,2002
22.05,115,,Stage 1 - Salses-le-Château  › Carcassonne  ,191.0,,,2002
12.05,DNF,,Tour de Berne (1.3) ,170.1,,,2002
21.04,72,,Liège - Bastogne - Liège (CDM) ,258.0,5,,2002
17.04,145,,La Flèche Wallonne (1.HC) ,198.0,5,,2002
10.04,DNF,,Gent - Wevelgem (1.HC) ,207.0,,,2002
07.04,27,,Tour du lac Leman (1.5) ,181.0,,,2002
24.03,DNF,,Stausee Rundfahrt (1.3) ,174.0,,,2002
26.02 » 02.03,,,Vuelta Ciclista a la Comunidad Valenciana (2.3) ,,,,2002
27.02,151,,Stage 2 - Calpe  › Castellón ,216.0,,,2002
26.02,151,,Stage 1 - Calpe  › Calpe  ,126.0,,,2002
13.02 » 17.02,,,Tour Méditerranéen (2.3) ,,,,2002
15.02,DNF,,Stage 3 - Villeneuve-Loubet › Hyères ,142.0,,,2002
14.02,139,,Stage 2 - Bouc-Bel-Air › Le Cannet ,168.0,,,2002
13.02,133,133,Stage 1 (TTT) - Salon-de-Provence › Berre ,36.0,,,2002
06.02,70,,Challenge Illes Balears - Trofeo Calvia (1.3) ,156.0,,,2002
14.10,66,,World Championships - Road Race (WC) ,254.1,15,,2001
04.10,58,,Paris-Bourges (1.1) ,207.0,,,2001
16.09,52,,GP de Fourmies / La Voix du Nord (1.HC) ,210.0,,,2001
26.08,38,,Züri Metzgete (CDM) ,248.4,5,,2001
19.08,2,,Josef Voegeli Memorial (1.4) ,74.0,55,,2001
19.06 » 28.06,,,Tour de Suisse () ,,,,2001
,17,,Mountains classification ,,,,2001
,73,,General classification ,,5,,2001
28.06,85,,Stage 9 - Lausanne › Lausanne ,175.9,,,2001
27.06,97,77,"Stage 8 - 
 Sion › Lausanne ",166.8,,,2001
26.06,101,78,Stage 7 (ITT) - Sion › Crans-Montana ,25.1,, +5,2001
25.06,43,73,"Stage 6 - 
 Locarno › Naters ",156.6,,,2001
24.06,102,109,"Stage 5 - 
 Mendrisio › Mendrisio ",174.5,,,2001
23.06,81,104,"Stage 4 - 
 Widnau/Heerbrugg › Col du Gotthard ",220.6,,,2001
22.06,118,125,"Stage 3 - 
 Baar › Wildhaus ",144.0,,,2001
21.06,128,127,"Stage 2 - 
 Reinach › Baar ",162.7,,,2001
20.06,130,130,Stage 1 - Rust › Basel ,178.8,,,2001
19.06,115,115,Prologue - Rust › Rust ,7.9,,,2001
29.05 » 05.06,,,Deutschland Tour (2.3) ,,,,2001
,23,,General classification ,,,,2001
05.06,29,,Stage 8 - Freudenstadt › Stuttgart ,161.0,,,2001
04.06,21,,Stage 7 - Offenburg  › Frettholt ,160.0,,,2001
03.06,52,,Stage 6 (ITT) - Weinheim › Heppenheim ,27.2,,,2001
02.06,76,,Stage 5 - Mannheim › Heppenheim  ,91.3,,,2001
01.06,83,,Stage 4 - Bad Neustadt  › Mannheim ,239.8,,,2001
31.05,62,,Stage 3 - Erfurt › Bad Neustadt  ,176.9,,,2001
30.05,86,,Stage 2 - Goslar › Erfurt ,173.0,,,2001
29.05,100,,Stage 1 - Hamburg › Hannover ,209.9,,,2001
08.05 » 13.05,,,Tour de Romandie (PT) ,,,,2001
,13,,Mountains classification ,,,,2001
,52,,Points classification ,,,,2001
,48,,General classification ,,5,,2001
13.05,15,,Stage 5 - Saxon › Genève ,178.0,,,2001
12.05,53,49,Stage 4 - Saint-Aubin › Nendaz ,171.5,,,2001
11.05,70,48,Stage 3 (ITT) - Payerne › Payerne ,25.45,,,2001
10.05,45,53,Stage 2 - Tramelan › Vevey ,171.7,,,2001
09.05,50,66,Stage 1 - Pfaffnau › Tramelan ,165.7,,,2001
08.05,114,114,Prologue - Pfaffnau › Pfaffnau ,6.9,,,2001
06.05,8,,GP du canton d'Argovie / GP Gippingen (1.1) ,196.0,30,,2001
01.05,47,,Rund um den Henninger Turm (1.1) ,206.0,,,2001
25.04 » 29.04,,,Niedersachsen-Rundfahrt (2.4) ,,,,2001
,83,,General classification ,,,,2001
29.04,56,,Stage 5 - Buckenberg › Hameln ,137.8,,,2001
28.04,92,104,Stage 4 - Peine › Buckenberg ,216.6,,,2001
27.04,90,110,Stage 3 - Osteroden › Peine ,178.7,,,2001
26.04,119,119,Stage 2 - Wolfsburg › Osteroden ,183.3,,,2001
25.04,78,114,Stage 1b - Heide › Wolfsburg ,131.4,,,2001
25.04,116,116,Stage 1a (ITT) - Heide › Soltau ,13.5,,,2001
16.04,72,,Rund um Köln () ,197.2,,,2001
25.03,47,,Cholet-Pays de Loire (1.2) ,200.0,,,2001
11.03 » 18.03,,,Paris - Nice () ,,,,2001
,109,,General classification ,,5,,2001
18.03,59,,Stage 7 - Nice › Nice ,157.1,,,2001
17.03,65,,Stage 6 (ITT) - Nice › Col d'Eze ,10.0,,,2001
16.03,119,,Stage 5 - Berre l'Etang › Saint-Raphaël ,240.3,,,2001
15.03,109,,Stage 4 - Tarascon › Sisteron ,195.6,,,2001
14.03,159,,Stage 3 - Saint-Etienne › Villeneuve-lez-Avignon ,217.9,,,2001
13.03,77,,Stage 2 - Clermont-Ferrand › Saint-Etienne ,195.4,,,2001
12.03,117,,Stage 1 - Saint-Amand-Montrond › Clermont-Ferrand ,189.2,,,2001
11.03,114,,Prologue - Nevers › Nevers ,6.2,,,2001
06.02 » 18.02,,,Le Tour de Langkawi (2.3) ,,,,2001
,53,,General classification ,,,,2001
04.10 » 08.10,,,International Hessen Rundfahrt (2.1) ,,,,2000
,33,,General classification ,,,,2000
08.10,2,,Stage 5 - Marburg › Frankfurt ,164.0,12,,2000
01.10,32,,Paris-Bourges (1.3) ,202.0,,,2000
20.08,38,,Züri Metzgete (CDM) ,248.4,5,,2000
13.08,6,,Josef Voegeli Memorial (1.4) ,73.0,24,,2000
01.08 » 05.08,,,Post Danmark Rundt (2.2) ,,,,2000
02.08,74,,Stage 2 - Ikast › Horsens ,185.0,,,2000
01.08,102,,Stage 1 - Ringkøbing › Viborg ,215.0,,,2000
13.06 » 22.06,,,Tour de Suisse () ,,,,2000
18.06,85,109,Stage 6 - Ulrichen › Ulrichen ,103.0,,,2000
17.06,121,117,"Stage 5 (ITT) - 
 Sierre › Sierre ",30.0,,,2000
16.06,124,113,"Stage 4 - 
 Fribourg › Verbier ",156.0,,,2000
15.06,111,104,"Stage 3 - 
 Rheinfelden › Fribourg ",182.0,,,2000
14.06,83,86,"Stage 2 - 
 Uster › Rheinfelden ",197.0,,,2000
13.06,16,98,Stage 1 (TTT) - Uster › Uster ,24.0,,,2000
26.05 » 02.06,,,Deutschland Tour (2.3) ,,,,2000
,22,,General classification ,,,,2000
14.05,1,,Tour de Berne (1.3) ,155.0,75,,2000
10.05 » 13.05,,,UNIQA Classic (2.5) ,,,,2000
11.05,82,42,Stage 2 - Traismauer › Rabenstein ,166.0,,,2000
10.05,27,,Stage 1 - Traismauer › Traismauer ,178.0,,,2000
02.05 » 07.05,,,Tour de Romandie () ,,,,2000
,21,,Points classification ,,,,2000
,44,,General classification ,,5,,2000
07.05,23,,Stage 5 - Aigle › Geneva ,177.8,,,2000
06.05,44,,Stage 4 - Orbe › Leysin ,160.0,,,2000
05.05,68,,Stage 3a - Neuchatel › Orbe ,66.6,,,2000
05.05,82,,Stage 3b (ITT) - Orbe › Orbe ,24.2,,,2000
04.05,61,,Stage 2 - Montreux › La Chaux de Fonds ,162.1,,,2000
03.05,84,,Stage 1 - Locarno › Le Bouveret ,224.3,,,2000
02.05,102,,Prologue - Locarno › Locarno ,6.5,,,2000
30.04,29,,GP du canton d'Argovie / GP Gippingen (1.1) ,196.0,,,2000
25.04,51,,Paris-Camembert (1.2) ,208.0,,,2000
09.04,44,,Ronde van Noord-Holland (1.4) ,202.0,,,2000
07.04,28,,Grand Prix Pino Cerami (1.3) ,181.0,,,2000
02.04,29,,Tour du lac Leman () ,200.0,,,2000
20.02,28,,GP Istria () ,143.0,,,2000
14.10 » 28.10,,,Herald Sun Tour () ,,,,1999
14.10,68,,Stage 1 - Melbourne › Melbourne ,32.0,,,1999
22.08,DNF,,Züri Metzgete (CDM) ,245.3,,,1999
03.08 » 08.08,,,Rothaus Regio-Tour International (2.3) ,,,,1999
07.08,DNF,,Stage 4 - Badenweiler › Wehr ,165.0,,,1999
06.08,91,,Stage 3a - Lahr › Bahlingen ,101.0,,,1999
06.08,82,,Stage 3b (ITT) - Eichstetten › Bahlingen ,18.0,,,1999
05.08,37,,Stage 2 - Weil am Rhein › Müllheim ,163.0,,,1999
04.08,53,,Stage 1 - Rust › Guebwiller ,162.0,,,1999
27.06,16,,National Championships Switzerland - Road Race (NC) ,180.7,,,1999
15.06 » 24.06,,,Tour de Suisse () ,,,,1999
,17,,Mountains classification ,,,,1999
,77,,General classification ,,5,,1999
24.06,88,,Stage 9 - Chur › 	 Winterthur ,225.2,,,1999
23.06,61,,"Stage 8 - 
 Nauders am Reschenpass 	 › 	 Arosa ",168.6,,,1999
22.06,70,,Stage 7 - Landeck › Nauders am Reschenpass ,47.5,,,1999
21.06,90,,"Stage 6 - 
 Küssnacht am Rigi 	 › Mauren ",162.0,,,1999
20.06,108,,"Stage 5 (ITT) - 
 Meiringen 	 › 	 Meiringen ",29.5,,,1999
19.06,94,,"Stage 4 - 
 Bellinzona 	 › 	 Grindelwald ",171.4,,,1999
