date,result ranking,general classification,race name,distance,PCS point,UCI point,year
02.10,DNF,,Classic Loire Atlantique (1.1) ,182.8,,,2021
01.10,DNF,,La Route Adélie de Vitré (1.1) ,197.8,,,2021
14.09 » 18.09,,,Skoda-Tour de Luxembourg (2.Pro) ,,,,2021
,30,,Youth classification ,,,,2021
,85,,General classification ,,,,2021
18.09,61,,Stage 5 - Mersch › Luxembourg-City ,183.7,,,2021
17.09,102,94,Stage 4 (ITT) - Dudelange › Dudelange ,25.4,,,2021
16.09,104,92,Stage 3 - Mondorf-les-Bains  › Mamer ,189.3,,,2021
15.09,63,81,Stage 2 - Steinfort › Eschdorf ,186.1,,,2021
14.09,92,92,Stage 1 - Luxembourg-City › Luxembourg-City ,140,,,2021
12.09,133,,GP de Fourmies / La Voix du Nord (1.Pro)  59k,197.6,,,2021
04.09,30,,Tour du Jura Cycliste (1.1) ,181.75,,,2021
03.09,72,,Classic Grand Besançon Doubs (1.1) ,172.55,,,2021
29.08,DNF,,Bretagne Classic - Ouest-France (1.UWT) ,251,,,2021
17.08 » 20.08,,,Tour du Limousin - Nouvelle Aquitaine (2.1) ,,,,2021
,13,,Youth classification ,,,,2021
,35,,General classification ,,,,2021
20.08,37,,Stage 4 - Sauviat-sur-Vige › Limoges ,169.7,,,2021
19.08,45,34,Stage 3 - Bugeat - Espace 1000 Sources › Lubersac ,184.2,,,2021
18.08,42,42,Stage 2 - Agonac › Payzac ,172,,,2021
17.08,60,60,Stage 1 - Isle › Sainte-Feyre ,183.3,,,2021
15.08,50,,La Polynormande (1.1) ,168.9,,,2021
03.08 » 07.08,,,Vuelta a Burgos (2.Pro) ,,,,2021
,64,,General classification ,,,,2021
07.08,57,,Stage 5 - Comunero de Revenga › Lagunas de Neila ,146,,,2021
06.08,127,73,Stage 4 - Roa › Aranda de Duero ,149,,,2021
05.08,76,66,Stage 3 - Busto de Bureba › Espinosa de los Monteros ,173,,,2021
04.08,105,85,Stage 2 - Tardajos › Briviesca ,175,,,2021
03.08,87,87,Stage 1 - Burgos (Catedral) › Burgos (El Castillo) ,161,,,2021
01.08,DNF,,Circuito de Getxo - Memorial Hermanos Otxoa (1.1) ,193.5,,,2021
31.07,DNF,,Donostia San Sebastian Klasikoa (1.UWT) ,223.5,,,2021
25.07,60,,Prueba Villafranca - Ordiziako Klasika (1.1) ,165.7,,,2021
20.06,DNF,,National Championships France - Road Race (NC) ,242.9,,,2021
15.06,32,,Paris-Camembert (1.1) ,210,,,2021
10.06 » 13.06,,,La Route d'Occitanie - La Dépêche du Midi (2.1) ,,,,2021
,36,,Youth classification ,,,,2021
,26,,Mountains classification ,,,,2021
,94,,General classification ,,,,2021
13.06,60,,Stage 4 - Lavelanet-Pays d'Olmes › Duilhac-Sous-Peyrepertuse ,151.2,,,2021
12.06,103,104,Stage 3 - Pierrefitte-Nestalas › Le Mourtis ,191.8,,,2021
11.06,114,110,Stage 2 - Villefranche-De-Rouergue › Auch ,198.7,,,2021
10.06,102,102,Stage 1 - Cazouls-Lès-Béziers › Lacaune Les Bains  ,156.5,,,2021
08.06,81,,Mont Ventoux Dénivelé Challenge (1.1) ,153,,,2021
24.05,DNF,,Mercan'Tour Classic Alpes-Maritimes (1.1) ,149.9,,,2021
16.05,79,,Tro-Bro Léon (1.Pro) ,207,,,2021
02.05 » 09.05,,,Tour du Rwanda (2.1) ,,,,2021
,20,,General classification ,,1,3,2021
09.05,41,,Stage 8 - Kigali  › Kigali  ,75.3,,,2021
08.05,27,20,Stage 7 (ITT) - Kigali  › Kwa Mutwe ,4.5,,,2021
07.05,18,20,Stage 6 - Kigali  › Mont Kigali ,152.6,,,2021
06.05,54,22,Stage 5 - Nyagatare › Kigali (Kimironko) ,149.3,,,2021
05.05,22,18,Stage 4 - Kigali  › Musanze ,123.9,,,2021
04.05,26,19,Stage 3 - Nyanza › Gicumbi ,171.6,,,2021
03.05,24,20,Stage 2 - Kigali  › Huye ,120.5,,,2021
02.05,34,34,Stage 1 - Kigali  › Rwamagana ,115.6,,,2021
25.04,DNF,,Liège-Bastogne-Liège (1.UWT) ,259.1,,,2021
14.04,107,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro) ,201.7,,,2021
04.04,76,,La Roue Tourangelle Centre Val de Loire - Trophée Harmonie Mutuelle (1.1) ,204,,,2021
28.03,103,,Cholet - Pays de la Loire (1.1) ,201.8,,,2021
19.03,DNF,,Bredene Koksijde Classic (1.Pro) ,199.9,,,2021
17.03,DNF,,Danilith Nokere Koerse ME (1.Pro) ,195,,,2021
14.03,60,,Paris - Troyes (1.2) ,179.9,,,2021
27.02,113,,Faun-Ardèche Classic (1.Pro) ,171.3,,,2021
02.10,DNF,,Classic Loire Atlantique (1.1),182.8,,,2021
01.10,DNF,,La Route Adélie de Vitré (1.1),197.8,,,2021
14.09 » 18.09,,,Skoda-Tour de Luxembourg (2.Pro),,,,2021
,30,,Youth classification,,,,2021
,85,,General classification,,,,2021
18.09,61,,Stage 5 - Mersch › Luxembourg-City,183.7,,,2021
17.09,102,94,Stage 4 (ITT) - Dudelange › Dudelange,25.4,,,2021
16.09,104,92,Stage 3 - Mondorf-les-Bains  › Mamer,189.3,,,2021
15.09,63,81,Stage 2 - Steinfort › Eschdorf,186.1,,,2021
14.09,92,92,Stage 1 - Luxembourg-City › Luxembourg-City,140.0,,,2021
12.09,133,,GP de Fourmies / La Voix du Nord (1.Pro),197.6,,,2021
04.09,30,,Tour du Jura Cycliste (1.1),181.75,,,2021
03.09,72,,Classic Grand Besançon Doubs (1.1),172.55,,,2021
29.08,DNF,,Bretagne Classic - Ouest-France (1.UWT),251.0,,,2021
17.08 » 20.08,,,Tour du Limousin - Nouvelle Aquitaine (2.1),,,,2021
,13,,Youth classification,,,,2021
,35,,General classification,,,,2021
20.08,37,,Stage 4 - Sauviat-sur-Vige › Limoges,169.7,,,2021
19.08,45,34,Stage 3 - Bugeat - Espace 1000 Sources › Lubersac,184.2,,,2021
18.08,42,42,Stage 2 - Agonac › Payzac,172.0,,,2021
17.08,60,60,Stage 1 - Isle › Sainte-Feyre,183.3,,,2021
15.08,50,,La Polynormande (1.1),168.9,,,2021
03.08 » 07.08,,,Vuelta a Burgos (2.Pro),,,,2021
,64,,General classification,,,,2021
07.08,57,,Stage 5 - Comunero de Revenga › Lagunas de Neila,146.0,,,2021
06.08,127,73,Stage 4 - Roa › Aranda de Duero,149.0,,,2021
05.08,76,66,Stage 3 - Busto de Bureba › Espinosa de los Monteros,173.0,,,2021
04.08,105,85,Stage 2 - Tardajos › Briviesca,175.0,,,2021
03.08,87,87,Stage 1 - Burgos (Catedral) › Burgos (El Castillo),161.0,,,2021
01.08,DNF,,Circuito de Getxo - Memorial Hermanos Otxoa (1.1),193.5,,,2021
31.07,DNF,,Donostia San Sebastian Klasikoa (1.UWT),223.5,,,2021
25.07,60,,Prueba Villafranca - Ordiziako Klasika (1.1),165.7,,,2021
20.06,DNF,,National Championships France - Road Race (NC),242.9,,,2021
15.06,32,,Paris-Camembert (1.1),210.0,,,2021
10.06 » 13.06,,,La Route d'Occitanie - La Dépêche du Midi (2.1),,,,2021
,36,,Youth classification,,,,2021
,26,,Mountains classification,,,,2021
,94,,General classification,,,,2021
13.06,60,,Stage 4 - Lavelanet-Pays d'Olmes › Duilhac-Sous-Peyrepertuse,151.2,,,2021
12.06,103,104,Stage 3 - Pierrefitte-Nestalas › Le Mourtis,191.8,,,2021
11.06,114,110,Stage 2 - Villefranche-De-Rouergue › Auch,198.7,,,2021
10.06,102,102,Stage 1 - Cazouls-Lès-Béziers › Lacaune Les Bains ,156.5,,,2021
08.06,81,,Mont Ventoux Dénivelé Challenge (1.1),153.0,,,2021
24.05,DNF,,Mercan'Tour Classic Alpes-Maritimes (1.1),149.9,,,2021
16.05,79,,Tro-Bro Léon (1.Pro),207.0,,,2021
02.05 » 09.05,,,Tour du Rwanda (2.1),,,,2021
,20,,General classification,,1,3,2021
09.05,41,,Stage 8 - Kigali  › Kigali ,75.3,,,2021
08.05,27,20,Stage 7 (ITT) - Kigali  › Kwa Mutwe,4.5,,,2021
07.05,18,20,Stage 6 - Kigali  › Mont Kigali,152.6,,,2021
