date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,1,,National Championships Bulgaria - Road Race (NC) ,,15,50,2022
25.06,3,,National Championships Bulgaria - ITT (NC) ,36,2,10,2022
11.09,DNF,,European Continental Championships U23 - Road Race (CC),133.6,,,2021
28.08,16,,Adriatic Race (1.2),,,,2021
19.07 » 20.07,,,L'Etoile d'Or (2.Ncup),,,,2021
,78,,General classification,,,,2021
20.07,63,,Stage 3 - Montmorillon › Montmorillon,182.0,,,2021
19.07,90,101,Stage 2 - Mérigny-Saint-Savin › Le Blanc,142.0,,,2021
19.07,128,128,Stage 1 (ITT) - Pouligny-Saint-Pierre › Pouligny-Saint-Pierre,9.6,,,2021
30.06 » 05.07,,,Tour of Bulgaria (2.2),,,,2021
,21,,Youth classification,,,,2021
,54,,General classification,,,,2021
05.07,74,,Stage 5 - Karnobat › Gabrovo,187.7,,,2021
04.07,71,30,Stage 4 - Sliven › Burgas,108.0,,,2021
03.07,48,30,Stage 3 - Troyan › Sliven,180.0,,,2021
02.07,31,31,Stage 2 - Plovdiv › Troyan,113.0,,,2021
01.07,69,16,Stage 1 - Sofia › Plovdiv,178.0,,,2021
30.06,14,14,Prologue - Sofia › Sofia,1.0,,,2021
28.06 » 29.06,,,In the footsteps of the Romans (2.2),,,,2021
,94,,General classification,,,,2021
29.06,93,,Stage 2 - Banya › Razlog,137.31,,,2021
28.06,71,71,Stage 1 - Banya › Razlog,126.45,,,2021
20.06,2,,National Championships Bulgaria - Road Race (NC),,10,30,2021
19.06,4,,National Championships Bulgaria - ITT (NC),36.0,,5,2021
29.05 » 06.06,,,Tour du Cameroun (2.2),,,,2021
,3,,Youth classification,,,,2021
,10,,Mountains classification,,,,2021
,11,,Points classification,,,,2021
,12,,General classification,,,,2021
06.06,48,,Stage 8 - Ebolowa › Yaoundé,149.0,,,2021
05.06,4,12,Stage 7 - Boumnyebel › Mbalmayo,112.2,,,2021
03.06,14,12,Stage 6 - Douala › Kribi,156.6,,,2021
02.06,46,15,Stage 5 - Douala › Douala,95.9,,,2021
01.06,31,16,Stage 4 - Loum › Limbé,129.9,,,2021
31.05,3,15,Stage 3 - Bangangté › Nkongsamba,98.5,1,1,2021
30.05,29,52,Stage 2 - Ntui › Ombessa,111.4,,,2021
29.05,55,55,Stage 1 - Yaoundé › Ayos,118.8,,,2021
22.04 » 25.04,,,Belgrade Banjaluka (2.1),,,,2021
,12,,Youth classification,,,,2021
,67,,General classification,,,,2021
25.04,62,,Stage 4 - Prijedor › Banjaluka,163.5,,,2021
24.04,61,59,Stage 3 - Bijeljina › Vlasenica,124.1,,,2021
23.04,39,51,Stage 2 - Obrenovac › Bijeljina,122.0,,,2021
22.04,81,81,Stage 1 - Belgrade › Šabac,89.7,,,2021
08.04 » 11.04,,,International Tour of Rhodes (2.2),,,,2021
,34,,Youth classification,,,,2021
,91,,General classification,,,,2021
11.04,108,,Stage 3 - Rhodes › Afando,153.5,,,2021
10.04,104,87,Stage 2 - Rhodes › Maritsa,150.0,,,2021
09.04,90,90,Stage 1 - Rhodes › Paradisi,138.5,,,2021
08.04,111,111,Prologue - Rhodes › Rhodes,2.2,,,2021
04.04,52,,International Rhodes GP Powered by Mitsis Hotels (1.2),186.3,,,2021
28.03,DNF,,GP Adria Mobil (1.2),181.5,,,2021
27.08,DNF,,European Continental Championships U23 - Road Race (CC),136.5,,,2020
24.08,35,,European Continental Championships U23 - ITT (CC),25.6,,,2020
16.08,3,,National Championships Bulgaria - Road Race (NC),140.0,7,20,2020
15.08,32,,National Championships Bulgaria - ITT (NC),36.0,,,2020
28.07 » 31.07,,,Tour of Bulgaria (2.2),,,,2020
,18,,Youth classification,,,,2020
,42,,General classification,,,,2020
31.07,73,,Stage 4 - Sliven › Burgas,111.0,,,2020
30.07,103,36,Stage 3 - Plovdiv › Sliven,151.0,,,2020
29.07,16,23,Stage 2 - Pazardzhik › Plovdiv,131.0,,,2020
28.07,40,40,Stage 1 - Sofia › Pazardzhik,128.0,,,2020
25.07 » 26.07,,,In the footsteps of the Romans (2.2),,,,2020
,31,,Youth classification,,,,2020
,4,,Mountains classification,,,,2020
,59,,General classification,,,,2020
26.07,46,,Stage 2 - Bansko › Bansko,151.6,,,2020
25.07,67,67,Stage 1 - Razlog › Razlog,125.2,,,2020
13.10,8,,Fatih Sultan Mehmet Kirklareli Race (1.2),130.0,,3,2019
12.10,12,,Fatih Sultan Mehmet Edirne Race (1.2),124.4,,,2019
30.07 » 02.08,,,Tour de Serbia (2.2),,,,2019
,31,,Youth classification,,,,2019
,60,,General classification,,,,2019
02.08,74,,Stage 4 - Mionica › Požarevac,155.5,,,2019
01.08,75,57,Stage 3a - Zlatibor › Zlatibor,58.5,,,2019
01.08,22,54,Stage 3b - Mionica › Mionica,95.5,,,2019
31.07,46,31,Stage 2 - Jahorina › Priboj,141.3,,,2019
30.07,25,25,Stage 1 - Istočno Sarajevo › Istočno Sarajevo,73.2,,,2019
26.07 » 28.07,,,Tour of Kosovo (2.2),,,,2019
,4,,Youth classification,,,,2019
,24,,Points classification,,,,2019
,18,,General classification,,,,2019
28.07,15,,Stage 3 - Hani i Elezit › Motinë ,156.2,,,2019
27.07,14,18,Stage 2 - Motinë › Hani i Elezit,144.0,,,2019
26.07,17,17,Stage 1 - Lebanë › Terande,142.0,,,2019
06.07 » 07.07,,,In the steps of Romans (2.2),,,,2019
,22,,General classification,,,,2019
07.07,19,,Stage 2 - Banya › Bansko,151.6,,,2019
06.07,25,25,Stage 1 - Banya › Razlog,126.0,,,2019
12.06,36,,Bursa Yildirim Bayezit Race (1.2),122.0,,,2019
11.06,20,,Bursa Orhangazi Race (1.2),172.0,,,2019
