date,result ranking,general classification,race name,distance,PCS point,UCI point,year
09.05 » 13.05,,,Giro del Friuli Venezia Giulia (2.2) ,,,,2007
,16,,Mountains classification ,,,,2007
,19,,Points classification ,,,,2007
,13,,General classification ,,,,2007
13.05,13,,Stage 5 - San Martino al Tagliamento › Sacile ,121.9,,,2007
12.05,25,18,Stage 4 - Coseano › Ravascletto ,146.6,,,2007
11.05,6,7,Stage 3 - Clauiano di Trivigiano Udinese › Osoppo ,149.1,,,2007
10.05,62,66,Stage 2a - Trieste › Monfalcone ,76.5,,,2007
09.05,82,82,Stage 1 - Cassacco › Gorizia ,156.5,,,2007
19.04 » 22.04,,,Giro d'Abruzzo (2.2) ,,,,2007
,53,,General classification ,,,,2007
22.04,86,,Stage 4 - Sant'Egidio alla Vibrata › Sant'Egidio alla Vibrata ,141,,,2007
21.04,71,,Stage 3 - Notaresco › Notaresco ,152,,,2007
20.04,37,,Stage 2 - Chieti › Ortona ,166,,,2007
19.04,37,,Stage 1 - Megalò › Cepagatti ,154,,,2007
04.03,2,,Trofeo ZSSDI (1.2) ,142,10,,2007
24.02,10,,Coppa San Geo (1.2) ,,,,2007
09.05 » 13.05,,,Giro del Friuli Venezia Giulia (2.2) ,,,,2007
,16,,Mountains classification ,,,,2007
,19,,Points classification ,,,,2007
,13,,General classification ,,,,2007
13.05,13,,Stage 5 - San Martino al Tagliamento › Sacile ,121.9,,,2007
12.05,25,18,Stage 4 - Coseano › Ravascletto ,146.6,,,2007
11.05,6,7,Stage 3 - Clauiano di Trivigiano Udinese › Osoppo ,149.1,,,2007
10.05,62,66,Stage 2a - Trieste › Monfalcone ,76.5,,,2007
09.05,82,82,Stage 1 - Cassacco › Gorizia ,156.5,,,2007
19.04 » 22.04,,,Giro d'Abruzzo (2.2) ,,,,2007
,53,,General classification ,,,,2007
22.04,86,,Stage 4 - Sant'Egidio alla Vibrata › Sant'Egidio alla Vibrata ,141.0,,,2007
21.04,71,,Stage 3 - Notaresco › Notaresco ,152.0,,,2007
20.04,37,,Stage 2 - Chieti › Ortona ,166.0,,,2007
19.04,37,,Stage 1 - Megalò › Cepagatti ,154.0,,,2007
04.03,2,,Trofeo ZSSDI (1.2) ,142.0,10,,2007
