date,result ranking,general classification,race name,distance,PCS point,UCI point,year
10.02 » 22.02,,,Vuelta a Cuba (2.2) ,,,,2009
,19,,General classification ,,,,2009
22.02,27,,Stage 15 - San Cristobal › Ciudad Habana ,113,,,2009
21.02,30,,Stage 14 - Artemisa › Pinar del Río ,126,,,2009
20.02,30,,Stage 13 - Matanzas › S.A. Baños ,120,,,2009
19.02,10,,Stage 12 - Santa Clara › Cardenas ,185,,,2009
19.02,7,,Stage 11 - CIEN FUEGOS › SANTA CLARA ,65,,,2009
18.02,36,,Stage 10 - Circuito de Cienfuegos ›  ,60,,,2009
17.02,39,,Stage 9 - Sancti Spíritus › Topes de Collantes ,92,,,2009
16.02,37,,Stage 8 - Ciego de Ávila › Sancti Spíritus ,125,,,2009
16.02,17,,Stage 7 (ITT) - MORON › CIEGO DE AVILA ,35,,,2009
15.02,25,,Stage 6 - CAMAGUEY › CIEGO DE AVILA ,107,,,2009
14.02,21,,Stage 5 - HOLGUIN › CAMAGUEY ,200,,,2009
13.02,24,,Stage 4 - BAYAMO › HOLGUIN ,80.3,,,2009
12.02,45,,Stage 3 - Santiago de Cuba › Manzanillo ,196,,,2009
11.02,46,,Stage 2 - Guatanamo › Santiago de Cuba ,111,,,2009
10.02,11,,Stage 1 - Baracoa › Guantanamo ,153,,,2009
10.02 » 22.02,,,Vuelta a Cuba (2.2) ,,,,2009
,19.0,,General classification ,,,,2009
22.02,27.0,,Stage 15 - San Cristobal › Ciudad Habana ,113.0,,,2009
21.02,30.0,,Stage 14 - Artemisa › Pinar del Río ,126.0,,,2009
20.02,30.0,,Stage 13 - Matanzas › S.A. Baños ,120.0,,,2009
19.02,10.0,,Stage 12 - Santa Clara › Cardenas ,185.0,,,2009
19.02,7.0,,Stage 11 - CIEN FUEGOS › SANTA CLARA ,65.0,,,2009
18.02,36.0,,Stage 10 - Circuito de Cienfuegos ›  ,60.0,,,2009
17.02,39.0,,Stage 9 - Sancti Spíritus › Topes de Collantes ,92.0,,,2009
16.02,37.0,,Stage 8 - Ciego de Ávila › Sancti Spíritus ,125.0,,,2009
16.02,17.0,,Stage 7 (ITT) - MORON › CIEGO DE AVILA ,35.0,,,2009
15.02,25.0,,Stage 6 - CAMAGUEY › CIEGO DE AVILA ,107.0,,,2009
14.02,21.0,,Stage 5 - HOLGUIN › CAMAGUEY ,200.0,,,2009
13.02,24.0,,Stage 4 - BAYAMO › HOLGUIN ,80.3,,,2009
12.02,45.0,,Stage 3 - Santiago de Cuba › Manzanillo ,196.0,,,2009
11.02,46.0,,Stage 2 - Guatanamo › Santiago de Cuba ,111.0,,,2009
10.02,11.0,,Stage 1 - Baracoa › Guantanamo ,153.0,,,2009
05.02 » 17.02,,,Vuelta Ciclista a Cuba (2.2) ,,,,2008
,10.0,,Youth classification ,,,,2008
,23.0,,Points classification ,,,,2008
,33.0,,General classification ,,,,2008
