date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,81,,National Championships France - Road Race (NC) ,240,,,2022
12.06 » 19.06,,,Tour de Suisse (2.UWT) ,,,,2022
,46,,General classification ,,5,10,2022
19.06,28,,Stage 8 (ITT) - Vaduz › Vaduz ,25.6,,,2022
18.06,37,48,Stage 7 - Ambri › Malbun  55k,194.6,,,2022
17.06,46,52,Stage 6 - Locarno › Moosalp ,177.5,,,2022
16.06,101,74,Stage 5 - Ambri › Novazzano ,190.1,,,2022
15.06,76,69,Stage 4 - Grenchen › Brunnen ,190.8,,,2022
14.06,130,79,Stage 3 - Aesch › Grenchen ,176.9,,,2022
13.06,79,57,Stage 2 - Küsnacht › Aesch ,198,,,2022
12.06,57,57,Stage 1 - Küsnacht › Küsnacht  ,177.6,,,2022
10.06,39,,Grosser Preis des Kantons Aargau (1.1) ,173.8,,,2022
31.05,50,,Mercan'Tour Classic Alpes-Maritimes (1.1) ,167.9,,,2022
22.05,4,,Boucles de l'Aulne - Châteaulin (1.1) ,175.2,32,60,2022
21.05,28,,Tour du Finistère (1.1) ,193.3,,,2022
29.04 » 01.05,,,Vuelta Asturias Julio Alvarez Mendo (2.1) ,,,,2022
,9,,Mountains classification ,,,,2022
,25,,General classification ,,,3,2022
01.05,27,,Stage 3 - Cangas del Narcea › Oviedo ,120.5,,,2022
30.04,29,26,Stage 2 - Candás › Cangas del Narcea ,202,,,2022
29.04,28,28,Stage 1 - Oviedo › Pola de Lena ,168.9,,,2022
24.04,36,,Liège-Bastogne-Liège (1.UWT)  191k,257.2,5,10,2022
20.04,72,,La Flèche Wallonne (1.UWT) ,202.1,5,,2022
16.04,23,,Tour du Jura Cycliste (1.1) ,169.8,,3,2022
15.04,59,,Classic Grand Besançon Doubs (1.1) ,177.5,,,2022
12.04,27,,Paris - Camembert (1.1) ,213.8,,,2022
05.04 » 08.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1) ,,,,2022
,17,,Mountains classification ,,,,2022
,28,,Points classification ,,,,2022
,16,,General classification ,,5,3,2022
08.04,13,,Stage 4 - La Chapelle-Saint-Aubin › La Chapelle-Saint-Aubin ,136.4,,,2022
07.04,63,51,Stage 3 - Sablé-sur-Sarthe › Sablé-sur-Sarthe ,176.5,,,2022
06.04,57,52,Stage 2 - Le Lude › Le Lude ,174.7,,,2022
05.04,49,49,Stage 1 - Mamers › Mamers ,192.3,,,2022
01.04,DNF,,La Route Adélie de Vitré (1.1) ,176.7,,,2022
27.03,69,,La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire (1.1) ,202,,,2022
20.03,46,,Cholet - Pays de la Loire (1.1) ,202,,,2022
19.03,31,,Classic Loire Atlantique (1.1) ,182.8,,,2022
16.03,82,,Milano - Torino (1.Pro) ,199,,,2022
20.02 » 27.02,,,Tour du Rwanda (2.1) ,,,,2022
,11,,General classification ,,12,15,2022
27.02,18,,Stage 8 - Kigali › Kigali ,75.3,,,2022
26.02,4,12,Stage 7 - Kigali › Mont Kigali ,152.6,5,,2022
25.02,20,13,Stage 6 - Musanze › Kigali ,152,,,2022
24.02,17,14,Stage 5 - Muhanga › Musanze  ,129.9,,,2022
23.02,23,19,Stage 4 - Kigali › Gicumbi  ,124.3,,,2022
22.02,16,18,Stage 3 - Kigali › Rubavu  ,155.9,,,2022
21.02,53,18,Stage 2 - Kigali › Rwamagana  ,148.3,,,2022
20.02,18,18,Prologue - Kigali › Kigali ,4,,,2022
10.02 » 13.02,,,Tour de la Provence (2.Pro) ,,,,2022
,2,,Mountains classification ,,,,2022
,20,,Points classification ,,,,2022
,44,,General classification ,,,,2022
13.02,41,,Stage 3 - Manosque › Montagne de Lure ,166.1,,,2022
12.02,49,56,Stage 2 - Arles › Manosque  149k,180.6,,,2022
11.02,34,47,Stage 1 - Istres › Les Saintes-Maries-de-la-Mer ,151.8,,,2022
10.02,34,34,Prologue - Berre-l'Étang › Berre-l'Étang ,7.1,,,2022
23.01,51,,Clàssica Comunitat Valenciana 1969 - Gran Premi València (1.2) ,175,,,2022
24.04,36,,Liège-Bastogne-Liège (1.UWT),257.2,5,10,2022
20.04,72,,La Flèche Wallonne (1.UWT),202.1,5,,2022
