date,result ranking,general classification,race name,distance,PCS point,UCI point,year
20.09 » 26.09,,,Le Tour de Bretagne Cycliste (2.2) ,,,,2021
,45,,General classification ,,,,2021
26.09,41,,Stage 7 - Guitté › Dinan ,155.3,,,2021
25.09,43,50,Stage 6 - Quédillac › Fougères ,166,,,2021
24.09,89,64,Stage 5 - Châteaubriant › Boisgervilly ,217,,,2021
23.09,39,67,Stage 4 - Ploeren › Louisfert ,167.6,,,2021
22.09,74,75,Stage 3 - Rosporden › Brandivy ,170.5,,,2021
21.09,93,74,Stage 2 - Corlay › Rosporden ,169.1,,,2021
20.09,50,53,Stage 1 - Le Cambout › Allineuc ,159,,,2021
12.09,DNF,,European Continental Championships - Road Race (CC) ,179.2,,,2021
30.07 » 02.08,,,Kreiz Breizh Elites (2.2) ,,,,2021
01.08,DNF,,Stage 3 - Ploërdut › Carhaix ,180.5,,,2021
31.07,49,69,Stage 2 - Calanhel › Plouray ,189.9,,,2021
30.07,17,74,Stage 1 (TTT) - Ploumagoar › Ploumagoar ,12.5,,,2021
25.07,27,,Grand Prix de la ville de Pérenchies (1.2) ,163,,,2021
20.06,8,,National Championships Poland - Road Race (NC) ,187,,10,2021
17.06,DNF,,National Championships Poland - ITT (NC) ,46,,,2021
14.05 » 16.05,,,Tour d'Eure-et-Loir (2.2) ,,,,2021
,19,,General classification ,,,,2021
16.05,27,,Stage 3 - Bonneval  › Chartres ,193.5,,,2021
15.05,30,19,Stage 2 - Courville-sur-Eure › Dreux ,186.2,,,2021
14.05,37,40,Stage 1 - Illiers-Combray › Brou ,120.4,,,2021
20.09 » 26.09,,,Le Tour de Bretagne Cycliste (2.2),,,,2021
,45,,General classification,,,,2021
26.09,41,,Stage 7 - Guitté › Dinan,155.3,,,2021
25.09,43,50,Stage 6 - Quédillac › Fougères,166.0,,,2021
24.09,89,64,Stage 5 - Châteaubriant › Boisgervilly,217.0,,,2021
23.09,39,67,Stage 4 - Ploeren › Louisfert,167.6,,,2021
22.09,74,75,Stage 3 - Rosporden › Brandivy,170.5,,,2021
21.09,93,74,Stage 2 - Corlay › Rosporden,169.1,,,2021
20.09,50,53,Stage 1 - Le Cambout › Allineuc,159.0,,,2021
12.09,DNF,,European Continental Championships - Road Race (CC),179.2,,,2021
30.07 » 02.08,,,Kreiz Breizh Elites (2.2),,,,2021
01.08,DNF,,Stage 3 - Ploërdut › Carhaix,180.5,,,2021
31.07,49,69,Stage 2 - Calanhel › Plouray,189.9,,,2021
30.07,17,74,Stage 1 (TTT) - Ploumagoar › Ploumagoar,12.5,,,2021
25.07,27,,Grand Prix de la ville de Pérenchies (1.2),163.0,,,2021
20.06,8,,National Championships Poland - Road Race (NC),187.0,,10,2021
17.06,DNF,,National Championships Poland - ITT (NC),46.0,,,2021
14.05 » 16.05,,,Tour d'Eure-et-Loir (2.2),,,,2021
,19,,General classification,,,,2021
16.05,27,,Stage 3 - Bonneval  › Chartres,193.5,,,2021
15.05,30,19,Stage 2 - Courville-sur-Eure › Dreux,186.2,,,2021
14.05,37,40,Stage 1 - Illiers-Combray › Brou,120.4,,,2021
26.08,DNF,,European Continental Championships - Road Race (CC),177.45,,,2020
24.08,22,,European Continental Championships - ITT (CC),25.6,,,2020
20.08,7,,National Championships Poland - ITT (NC),42.5,,3,2020
05.08 » 09.08,,,Tour de Pologne (2.UWT),,,,2020
,10,,Mountains classification,,,,2020
,127,,General classification,,5,,2020
09.08,138,,Stage 5 - Zakopane › Kraków,188.0,,,2020
08.08,75,114,Stage 4 - Bukovina Resort › Bukowina Tatrzańska,152.9,,,2020
07.08,122,121,Stage 3 - Wadowice › Bielsko-Biała,203.1,,,2020
06.08,49,68,Stage 2 - Opole › Zabrze,151.5,,,2020
05.08,103,103,Stage 1 - Stadion Śląski › Katowice,195.8,,,2020
17.11 » 23.11,,,Tour of Fuzhou (2.1),,,,2019
,31,,Points classification,,,,2019
,61,,General classification,,,,2019
23.11,91,,Stage 7 - Xiaotangshan Culture Center › Xiaotangshan Culture Center,117.0,,,2019
22.11,84,62,Stage 6 - Yong Tai › Yun Ding,128.2,,,2019
21.11,28,51,Stage 5 - Fuqing › Fuqing,123.0,,,2019
20.11,44,54,Stage 4 - Lianjiang › Lianjiang,106.8,,,2019
19.11,5,60,Stage 3 - Binjiang Binhai Road › Qinjiang Manchu,113.0,4,,2019
18.11,50,67,Stage 2 - Langqi Hongguang Lake Park › Langqi Hongguang Lake Park,118.0,,,2019
17.11,64,64,Stage 1 - Ma Wei › Ku Liang,107.4,,,2019
01.09,DNF,,Bretagne Classic - Ouest-France (1.UWT),248.1,,,2019
27.08 » 30.08,,,Tour Poitou-Charentes en Nouvelle Aquitaine (2.1),,,,2019
,24,,Youth classification,,,,2019
,65,,General classification,,,,2019
30.08,92,,Stage 5 - Aigre › Poitiers,167.4,,,2019
29.08,113,62,Stage 4 (ITT) - Leigné-les-Bois › Pleumartin,23.0,,,2019
29.08,59,26,Stage 3 - Châtellerault › Pleumartin,110.7,,,2019
28.08,22,22,Stage 2 - Rochefort-sur-Mer › Aigre,168.1,,,2019
27.08,35,36,Stage 1 - Niort › Rochefort-sur-Mer,188.9,,,2019
15.08 » 18.08,,,Arctic Race of Norway (2.HC),,,,2019
,46,,Youth classification,,,,2019
,103,,General classification,,,,2019
18.08,98,,Stage 4 - Lødingen › Narvik,165.5,,,2019
17.08,107,105,Stage 3 - Sortland › Storheia Summit (Melbu),176.5,,,2019
16.08,103,104,Stage 2 - Henningsvær › Svolvær,164.0,,,2019
15.08,77,77,Stage 1 - Å › Leknes,181.0,,,2019
06.07 » 12.07,,,Int. Österreich-Rundfahrt-Tour of Austria (2.1),,,,2019
08.07,DNS,,Stage 2 - Zwettl › Wiener Neustadt,176.9,,,2019
07.07,117,34,Stage 1 - Grieskirchen › Freistadt,138.8,,,2019
06.07,41,41,Prologue - Wels › Wels,2.6,,,2019
19.06 » 23.06,,,Tour of Slovenia (2.HC),,,,2019
,11,,Mountains classification,,,,2019
,102,,General classification,,,,2019
23.06,107,,Stage 5 - Trebnje › Novo mesto,167.5,,,2019
22.06,79,99,Stage 4 - Nova Gorica › Ajdovščina,153.9,,,2019
21.06,90,105,Stage 3 - Žalec › Idrija,169.8,,,2019
20.06,114,100,Stage 2 - Maribor › Celje,146.3,,,2019
19.06,87,87,Stage 1 - Ljubljana › Rogaška Slatina,171.0,,,2019
28.05 » 02.06,,,Tour of Norway (2.HC),,,,2019
31.05,DNS,,Stage 4 - Arendal › Sandefjord,224.4,,,2019
30.05,114,105,Stage 3 - Lyngdal › Kristiansand,179.7,,,2019
29.05,39,29,Stage 2 - Kvinesdal › Mandal,174.0,,,2019
28.05,23,24,Stage 1 - Stavanger › Egersund,168.2,,,2019
24.05 » 26.05,,,Hammer Stavanger (2.1),,,,2019
,15,,General classification,,,1,2019
26.05,14,,Stage 3 - Stavanger  › Stavanger ,48.9,,,2019
25.05,11,,Stage 2 - Stavanger  › Stavanger ,87.3,,,2019
24.05,16,,Stage 1 - Stavanger  › Stavanger ,85.6,,,2019
14.05 » 19.05,,,4 Jours de Dunkerque / Grand Prix des Hauts de France (2.HC),,,,2019
,40,,Points classification,,,,2019
19.05,84,,Stage 6 - Roubaix › Dunkerque,187.3,,,2019
18.05,55,46,Stage 5 - Gravelines › Cassel,181.5,,,2019
17.05,58,57,Stage 4 - Fort Mahon Plage › Le Portel,179.8,,,2019
16.05,50,69,Stage 3 - Laon › Compiègne,156.5,,,2019
15.05,78,71,Stage 2 - Wallers › Saint-Quentin,177.7,,,2019
14.05,30,34,Stage 1 - Dunkerque › Condé-sur-l'Escaut,172.9,,,2019
25.04 » 27.04,,,Vuelta a Castilla y Leon (2.1),,,,2019
,23,,Points classification,,,,2019
,16,,General classification,,5,3,2019
27.04,14,,Stage 3 - León › Villafranca del Bierzo,151.8,,,2019
26.04,16,16,Stage 2 - Fromista › Villada,170.3,,,2019
25.04,19,19,Stage 1 - Belorado › Castrojeriz,181.0,,,2019
14.04,OTL,,Paris-Roubaix (1.UWT),257.0,,,2019
07.04,55,,La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle (1.1),186.0,,,2019
05.04,28,,Route Adélie de Vitré (1.1),197.8,,,2019
31.03,85,,Cholet - Pays de la Loire (1.1),203.2,,,2019
30.03,24,,Classic Loire Atlantique (1.1),182.8,,3,2019
24.03,37,,Grand Prix de Denain - Porte du Hainaut (1.HC),198.0,,3,2019
22.03,21,,Bredene Koksijde Classic (1.HC),199.5,5,5,2019
20.03,96,,Danilith Nokere Koerse ME (1.HC),195.6,,,2019
24.02 » 03.03,,,Tour du Rwanda (2.1),,,,2019
,16,,Mountains classification,,,,2019
,37,,General classification,,,,2019
03.03,38,,Stage 8 - Kigali › Kigali,66.8,,,2019
02.03,14,38,Stage 7 - Nyamata › Kigali,84.1,,,2019
01.03,1,41,Stage 6 - Musanze › Nyamata,121.1,20,14,2019
28.02,55,52,Stage 5 - Karongi › Musanze,138.7,,,2019
27.02,50,48,Stage 4 - Rubavu › Karongi,102.6,,,2019
26.02,59,38,Stage 3 - Huye › Rubavu,213.1,,,2019
25.02,2,2,Stage 2 - Kigali › Huye,120.5,12,5,2019
24.02,3,3,Stage 1 - Kigali › Kigali,111.8,7,3,2019
07.02 » 10.02,,,Etoile de Bessèges (2.1),,,,2019
,107,,General classification,,,,2019
10.02,86,,Stage 4 (ITT) - Alès › Alès,10.7,,,2019
09.02,127,106,Stage 3 - Bessèges › Bessèges,158.0,,,2019
08.02,25,28,Stage 2 - Saint-Geniés-de-Malgoires › La Calmette,157.9,,,2019
07.02,33,34,Stage 1 - Bellegarde › Beaucaire,140.0,,,2019
09.10 » 14.10,,,Presidential Cycling Tour of Turkey (2.UWT),,,,2018
,31,,Points classification,,,,2018
,112,,General classification,,5,,2018
14.10,131,,Stage 6 - Bursa › Istanbul,166.7,,,2018
13.10,42,99,Stage 5 - Selçuk › Manisa,137.3,,,2018
12.10,118,99,Stage 4 - Marmaris › Selçuk,206.9,,,2018
11.10,9,29,Stage 3 - Fethiye › Marmaris,137.2,2,,2018
10.10,79,60,Stage 2 - Alanya › Antalya,154.1,,,2018
09.10,35,36,Stage 1 - Konya › Konya,150.0,,,2018
09.09,54,,Tour du Doubs (1.1),188.7,,,2018
02.09,132,,GP de Fourmies / La Voix du Nord (1.HC),205.0,,,2018
01.09,115,,Brussels Cycling Classic (1.HC),201.4,,,2018
16.08 » 19.08,,,Arctic Race of Norway (2.HC),,,,2018
,39,,Youth classification,,,,2018
,89,,General classification,,,,2018
19.08,71,,Stage 4 - Kvalsund › Alta,145.5,,,2018
18.08,100,95,Stage 3 - Honningsvåg › Hammerfest,194.0,,,2018
17.08,81,86,Stage 2 - Tana › Kjøllefjord,195.0,,,2018
16.08,99,99,Stage 1 - Vadsø › Kirkenes,184.0,,,2018
22.07 » 04.08,,,Tour of Qinghai Lake (2.HC),,,,2018
,43,,Points classification,,,,2018
,50,,General classification,,,,2018
04.08,63,,Stage 13 - Lanzhou › Lanzhou,108.0,,,2018
03.08,93,51,Stage 12 - Yinchuan › Yinchuan,107.0,,,2018
02.08,90,52,Stage 11 - Zhongwei › Zhongwei,110.0,,,2018
01.08,114,52,Stage 10 - Minqin › Tengger Dessert,124.0,,,2018
30.07,106,49,Stage 9 - Jinchang › Wuwei,175.0,,,2018
29.07,56,50,Stage 8 - Menyuan › Zhangye,237.0,,,2018
28.07,59,50,Stage 7 - Qilian › Menyuan,169.0,,,2018
27.07,47,50,Stage 6 - Dadongshu Yakou › Qilian ,57.0,,,2018
26.07,79,59,Stage 5 - Longyangxia › Bird Islet,235.0,,,2018
25.07,87,62,Stage 4 - Guide › Longyangxia,100.0,,,2018
24.07,7,50,Stage 3 - Duoba › Guide,133.0,2,,2018
23.07,23,86,Stage 2 - Xining › Xining,115.0,,,2018
22.07,95,95,Stage 1 - Ledu › Xining,162.0,,,2018
18.05 » 20.05,,,Tour de l'Ain (2.1),,,,2018
19.05,DNF,,Stage 2 - Saint-Trivier-de Courtes  › Arbent,150.9,,,2018
18.05,9,9,Stage 1 - Saint-Vulbas › Montrevel-en-Bresse,166.5,,,2018
08.05 » 13.05,,,4 Jours de Dunkerque / Grand Prix des Hauts de France (2.HC),,,,2018
13.05,DNF,,Stage 6 - Coulogne › Dunkerque,169.8,,,2018
12.05,115,111,Stage 5 - Wormhout › Cassel,178.7,,,2018
11.05,114,115,Stage 4 - Dainville › Mont Saint-Eloi,172.5,,,2018
10.05,122,112,Stage 3 - Fort Mahon Plage › Ecques,171.5,,,2018
09.05,106,100,Stage 2 - Le Quesnoy › Soissons,173.3,,,2018
08.05,26,28,Stage 1 - Dunkerque › La Bassée,165.3,,,2018
08.04,DNF,,Paris-Roubaix (1.UWT),257.0,,,2018
01.04,100,,La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle (1.1),200.0,,,2018
25.03,28,,Cholet - Pays de la Loire (1.1),202.7,,,2018
18.03,74,,Grand Prix de Denain - Porte du Hainaut (1.HC),197.9,,,2018
16.03,DNF,,Handzame Classic (1.HC),204.1,,,2018
14.03,113,,Danilith Nokere Koerse (1.HC),191.1,,,2018
04.03 » 11.03,,,Paris - Nice (2.UWT),,,,2018
11.03,DNF,,Stage 8 - Nice › Nice,110.0,,,2018
10.03,80,108,Stage 7 - Nice › Valdeblore La Colmiane,175.0,,,2018
09.03,107,122,Stage 6 - Sisteron › Vence,198.0,,,2018
08.03,93,135,Stage 5 - Salon-de-Provence › Sisteron,163.5,,,2018
07.03,129,148,Stage 4 (ITT) - La Fouillouse › Saint-Étienne,18.4,,,2018
06.03,143,148,Stage 3 - Bourges › Châtel-Guyon,210.0,,,2018
05.03,149,146,Stage 2 - Orsonville › Vierzon,187.0,,,2018
04.03,111,113,Stage 1 - Chatou › Meudon,135.0,,,2018
14.02 » 18.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.HC),,,,2018
,23,,Mountains classification,,,,2018
,91,,General classification,,,,2018
18.02,126,,Stage 5 (ITT) - Barbate › Barbate,14.2,,,2018
17.02,134,91,Stage 4 - Sevilla › Alcalá de los Gazules,191.2,,,2018
16.02,43,79,Stage 3 - Mancha Real › Herrera,165.1,,,2018
15.02,80,85,Stage 2 - Otura › La Guardia de Jaén,140.0,,,2018
14.02,112,112,Stage 1 - Mijas › Granada,197.6,,,2018
11.02,DNF,,Trofeo Laigueglia (1.HC),203.7,,,2018
31.01 » 04.02,,,Etoile de Bessèges (2.1),,,,2018
,11,,Mountains classification,,,,2018
,32,,Points classification,,,,2018
,97,,General classification,,,,2018
04.02,74,,Stage 5 (ITT) - Alès › Alès,10.7,,,2018
03.02,81,98,Stage 4 - Chusclan › Laudun L'ardoise,152.9,,,2018
02.02,104,97,Stage 3 - Bessèges › Bessèges,152.6,,,2018
01.02,22,25,Stage 2 - Nimes › Générac,148.3,,,2018
31.01,26,29,Stage 1 - Bellegarde › Beaucaire,157.0,,,2018
15.01 » 21.01,,,La Tropicale Amissa Bongo (2.1),,,,2018
,41,,Points classification,,,,2018
,15,,General classification,,6,5,2018
21.01,32,,Stage 7 - Bikélé › Libreville,140.0,,,2018
20.01,22,16,Stage 6 - Bitam › Oyem,115.0,,,2018
19.01,21,19,Stage 5 - Oyem › Ambam ,141.0,,,2018
18.01,26,23,Stage 4 - Ndjolé › Mitzic,182.0,,,2018
17.01,36,26,Stage 3 - Fougamou › Lambaréné,114.0,,,2018
16.01,38,22,Stage 2 - Ndendé › Fougamou ,173.0,,,2018
