date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.05,31,,Campeonato Panamericano de Ruta - Road Race (CC) ,176,,3,2022
12.05,11,,Campeonato Panamericano de Ruta ME - ITT (CC) ,46.6,,,2022
13.03,DNF,,Dorpenomloop Rucphen (1.2) ,186,,,2022
13.03,DNF,,Dorpenomloop Rucphen (1.2),186.0,,,2022
28.08,DNF,,Brussels Cycling Classic (1.Pro),205.3,,,2021
26.08,DNF,,Druivenkoers - Overijse (1.1),192.0,,,2021
14.08,55,,Pan American Championships U23 - Road Race (CC),140.0,,,2021
12.08,3,,Road Elite Caribbean Championships - Road Race (1.2),60.0,7,25,2021
8.03,51,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2),187.0,,,2020
27.06,DNS,,National Championships Great Britain U23 - ITT (NC),27.4,,,2019
