date,result ranking,general classification,race name,distance,PCS point,UCI point,year
11.06 » 18.06,,,Giro d'Italia Giovani Under 23 (2.2U) ,,,,2022
,7,,Mountains classification ,,,,2022
,39,,Points classification ,,,,2022
,5,,General classification ,,8,10,2022
18.06,24,,Stage 7 - Cuneo › Pinerolo ,121,,,2022
17.06,10,5,Stage 6 - Boves › Colle Fauniera ,110.7,,,2022
16.06,33,4,Stage 5 - Busca › Peveragno ,146.6,,,2022
14.06,30,4,Stage 4 - Chiuro › Chiavenna ,101.1,,,2022
13.06,4,4,Stage 3 - Pinzolo › Santa Caterina Valfurva ,177.1,,,2022
12.06,65,42,Stage 2 - Rossano Veneto › Pinzolo ,166.5,,,2022
11.06,68,68,Stage 1 - Gradara › Argenta ,164.9,,,2022
25.05 » 29.05,,,Alpes Isère Tour (2.2) ,,,,2022
,14,,Youth classification ,,,,2022
,4,,Mountains classification ,,,,2022
,21,,Points classification ,,,,2022
,25,,General classification ,,,,2022
29.05,18,,Stage 5 - Entre-deux-Guiers › Allevard-les-Bains ,133.1,,,2022
28.05,53,12,Stage 4 - Saint-Maurice-l'Exil › Beaurepaire ,171.4,,,2022
27.05,8,12,Stage 3 - Saint-Exupéry › Toussieu ,145.5,,,2022
26.05,20,14,Stage 2 - Les Abrets-en-Dauphiné › Saint-Quentin-Fallavier ,161.2,,,2022
25.05,35,39,Stage 1 - Charvieu-Chavagneux › Charvieu-Chavagneux ,118.1,,,2022
08.05,13,,Flèche Ardennaise (1.2) ,168.6,,,2022
18.04 » 22.04,,,Tour of the Alps (2.Pro) ,,,,2022
,10,,Youth classification ,,,,2022
,31,,General classification ,,,3,2022
22.04,20,,Stage 5 - Lienz › Lienz ,114.5,,,2022
21.04,38,37,Stage 4 - Villabassa › Kals am Grossglockner ,142.4,,,2022
20.04,69,36,Stage 3 - Lana › Villabassa  73k,154.6,,,2022
19.04,32,30,Stage 2 - Primiero/S. Martino di Castrozza › Lana ,154.1,,,2022
18.04,37,36,Stage 1 - Cles › Primiero/S. Martino di Castrozza ,160.9,,,2022
16.04,38,,Liège - Bastogne - Liège U23 (1.2U) ,174.8,,,2022
06.04 » 09.04,,,Circuit des Ardennes (2.2) ,,,,2022
,1,,Youth classification ,,,,2022
,5,,Mountains classification ,,,,2022
,23,,Points classification ,,,,2022
,2,,General classification ,,18,30,2022
09.04,16,,Stage 4 - Charleville-Mézières › Charleville-Mézières ,172.7,,,2022
07.04,12,2,Stage 2 - Bazeilles › Sedan ,92.5,,,2022
06.04,16,4,Stage 1 - Signy-le-Petit › Signy-le-Petit ,165.2,,,2022
21.03 » 27.03,,,Tour de Normandie (2.2) ,,,,2022
,43,,Youth classification ,,,,2022
,9,,Mountains classification ,,,,2022
,55,,General classification ,,,,2022
27.03,73,,Stage 7 - Ducey-les-Chéris › Caen ,142.5,,,2022
26.03,82,59,Stage 6 - Carentan-les-Marais › Carentan-les-Marais ,175.9,,,2022
25.03,91,57,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne ,156.7,,,2022
24.03,59,43,Stage 4 - Gacé › Argentan ,160.6,,,2022
23.03,33,34,Stage 3 - Nonancourt › Elbeuf-sur-Seine ,181.4,,,2022
22.03,73,62,Stage 2 - Le Neubourg › Forges-les-Eaux ,187.5,,,2022
21.03,55,56,Stage 1 - Ouistreham › Vimoutiers ,148.2,,,2022
18.03,76,,Youngster Coast Challenge (1.2U) ,167.2,,,2022
06.03,45,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2) ,180,,,2022
27.02,64,,Drôme Classic (1.Pro) ,191.5,,,2022
26.02,50,,Faun-Ardèche Classic (1.Pro) ,168.5,,,2022
13.02,32,,National Championships New Zealand  - Road Race (NC) ,90,,,2022
11.02,4,,National championships New Zealand MU23 - ITT (NC) ,42.5,,5,2022
18.04 » 22.04,,,Tour of the Alps (2.Pro),,,,2022
,10,,Youth classification,,,,2022
,31,,General classification,,,3,2022
22.04,20,,Stage 5 - Lienz › Lienz,114.5,,,2022
21.04,38,37,Stage 4 - Villabassa › Kals am Grossglockner,142.4,,,2022
20.04,69,36,Stage 3 - Lana › Villabassa,154.6,,,2022
19.04,32,30,Stage 2 - Primiero/S. Martino di Castrozza › Lana,154.1,,,2022
18.04,37,36,Stage 1 - Cles › Primiero/S. Martino di Castrozza,160.9,,,2022
16.04,38,,Liège - Bastogne - Liège U23 (1.2U),174.8,,,2022
06.04 » 09.04,,,Circuit des Ardennes (2.2),,,,2022
,1,,Youth classification,,,,2022
,5,,Mountains classification,,,,2022
