date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,10,,National Championships Canada - Road Race (NC) ,,,3,2022
23.06,DNS,,National Championships Canada U23 - ITT (NC) ,48,,,2022
11.06 » 18.06,,,Giro d'Italia Giovani Under 23 (2.2U) ,,,,2022
,6,,Points classification ,,,,2022
,122,,General classification ,,,,2022
18.06,136,,Stage 7 - Cuneo › Pinerolo ,121,,,2022
17.06,118,121,Stage 6 - Boves › Colle Fauniera ,110.7,,,2022
16.06,127,120,Stage 5 - Busca › Peveragno ,146.6,,,2022
14.06,1,121,Stage 4 - Chiuro › Chiavenna ,101.1,5,5,2022
13.06,121,128,Stage 3 - Pinzolo › Santa Caterina Valfurva ,177.1,,,2022
12.06,146,144,Stage 2 - Rossano Veneto › Pinzolo ,166.5,,,2022
11.06,15,15,Stage 1 - Gradara › Argenta ,164.9,,,2022
02.06,DNF,,Trofeo Alcide Degasperi (1.2) ,165.1,,,2022
29.05,DNF,,Coppa della Pace - Trofeo F.lli Anelli (1.2U) ,172,,,2022
28.05,DNF,,Strade Bianche di Romagna (1.2U) ,155.8,,,2022
25.04 » 01.05,,,Le Tour de Bretagne Cycliste (2.2) ,,,,2022
,44,,Youth classification ,,,,2022
,27,,Points classification ,,,,2022
,70,,General classification ,,,,2022
01.05,19,,Stage 7 - Plumilliau › Lannion ,158.8,,,2022
30.04,88,84,Stage 6 - Plumergat › Camors ,162.1,,,2022
29.04,3,82,Stage 5 - Ploërmel › Scaër ,193.2,1,1,2022
28.04,119,102,Stage 4 - Saint-Jacut-de-la-Mer › Guillac ,164.7,,,2022
27.04,88,83,Stage 3 - Lohéac › Le Hinglé ,171.7,,,2022
26.04,36,32,Stage 2 - Missillac › La Chapelle-Bouëxic ,152,,,2022
25.04,26,27,Stage 1 - Guenrouët › Sainte-Reine-de-Bretagne ,162.3,,,2022
19.04,DNF,,G.P. Palio del Recioto - Trofeo C (1.2U) ,147.2,,,2022
18.04,72,,Giro del Belvedere (1.2U) ,166.2,,,2022
06.04 » 09.04,,,Circuit des Ardennes (2.2) ,,,,2022
,40,,Youth classification ,,,,2022
,71,,General classification ,,,,2022
09.04,78,,Stage 4 - Charleville-Mézières › Charleville-Mézières ,172.7,,,2022
07.04,66,79,Stage 2 - Bazeilles › Sedan ,92.5,,,2022
06.04,82,82,Stage 1 - Signy-le-Petit › Signy-le-Petit ,165.2,,,2022
21.03 » 27.03,,,Tour de Normandie (2.2) ,,,,2022
,59,,Youth classification ,,,,2022
,14,,Points classification ,,,,2022
,80,,General classification ,,,,2022
27.03,3,,Stage 7 - Ducey-les-Chéris › Caen ,142.5,1,1,2022
26.03,94,88,Stage 6 - Carentan-les-Marais › Carentan-les-Marais ,175.9,,,2022
25.03,85,90,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne ,156.7,,,2022
24.03,5,99,Stage 4 - Gacé › Argentan ,160.6,,,2022
23.03,99,115,Stage 3 - Nonancourt › Elbeuf-sur-Seine ,181.4,,,2022
22.03,24,118,Stage 2 - Le Neubourg › Forges-les-Eaux ,187.5,,,2022
21.03,125,125,Stage 1 - Ouistreham › Vimoutiers ,148.2,,,2022
18.03,44,,Youngster Coast Challenge (1.2U) ,167.2,,,2022
06.03,69,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2) ,180,,,2022
23.01,77,,Clàssica Comunitat Valenciana 1969 - Gran Premi València (1.2) ,175,,,2022
25.04 » 01.05,,,Le Tour de Bretagne Cycliste (2.2),,,,2022
28.04,119,102,Stage 4 - Saint-Jacut-de-la-Mer › Guillac,164.7,,,2022
27.04,88,93,Stage 3 - Lohéac › Le Hinglé,171.7,,,2022
26.04,36,32,Stage 2 - Missillac › La Chapelle-Bouëxic,152.0,,,2022
25.04,26,27,Stage 1 - Guenrouët › Sainte-Reine-de-Bretagne,162.3,,,2022
19.04,DNF,,G.P. Palio del Recioto - Trofeo C (1.2U),147.2,,,2022
18.04,72,,Giro del Belvedere (1.2U),166.2,,,2022
06.04 » 09.04,,,Circuit des Ardennes (2.2),,,,2022
,40,,Youth classification,,,,2022
,71,,General classification,,,,2022
09.04,78,,Stage 4 - Charleville-Mézières › Charleville-Mézières,172.7,,,2022
07.04,66,79,Stage 2 - Bazeilles › Sedan,92.5,,,2022
06.04,82,82,Stage 1 - Signy-le-Petit › Signy-le-Petit,165.2,,,2022
21.03 » 27.03,,,Tour de Normandie (2.2),,,,2022
,59,,Youth classification,,,,2022
,14,,Points classification,,,,2022
,80,,General classification,,,,2022
27.03,3,,Stage 7 - Ducey-les-Chéris › Caen,142.5,1,1,2022
26.03,94,88,Stage 6 - Carentan-les-Marais › Carentan-les-Marais,175.9,,,2022
