date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,51,,National Championships Belgium - Road Race (NC) ,208.7,,,2022
23.06,4,,National Championships Belgium - ITT (NC) ,34.8,,15,2022
15.06 » 19.06,,,Baloise Belgium Tour (2.Pro) ,,,,2022
18.06,DNF,,Stage 4 - Durbuy › Durbuy ,172.2,,,2022
17.06,51,30,Stage 3 (ITT) - Scherpenheuvel-Zichem › Scherpenheuvel-Zichem ,11.8,,,2022
16.06,68,29,Stage 2 - Beveren › Knokke-Heist ,175.6,,,2022
15.06,21,21,Stage 1 - Merelbeke › Maarkedal ,165,,,2022
05.06,4,,Brussels Cycling Classic (1.Pro)  185k,203.9,50,100,2022
29.05,DNF,,Marcel Kint Classic (1.1) ,199,,,2022
11.05 » 15.05,,,Tour de Hongrie (2.1) ,,,,2022
,13,,General classification ,,8,5,2022
15.05,13,,Stage 5 - Miskolc › Gyöngyös-Kékestető ,184,,,2022
14.05,79,71,Stage 4 - Kazincbarcika › Kazincbarcika ,177,,,2022
13.05,90,75,Stage 3 - Sárospatak › Nyíregyháza ,154,,,2022
12.05,58,71,Stage 2 - Karcag › Hajdúszoboszló ,192,,,2022
11.05,89,90,Stage 1 - Csákvár › Székesfehérvár ,197.5,,,2022
01.05,19,,Eschborn-Frankfurt (1.UWT) ,185,16,20,2022
20.04,DNF,,La Flèche Wallonne (1.UWT) ,202.1,,,2022
16.04,26,,Tour du Jura Cycliste (1.1) ,169.8,,,2022
15.04,DNF,,Classic Grand Besançon Doubs (1.1) ,177.5,,,2022
01.03,91,,Le Samyn (1.1) ,209,,,2022
16.02 » 20.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro) ,,,,2022
19.02,DNF,,Stage 4 - Cúllar Vega › Baza ,167.4,,,2022
18.02,119,83,Stage 3 - Lucena › Otura ,153.2,,,2022
17.02,86,59,Stage 2 - Archidona › Alcalá la Real ,150.6,,,2022
16.02,1,1,Stage 1 - Ubrique › Iznájar  184k,200.7,30,20 +5,2022
20.04,DNF,,La Flèche Wallonne (1.UWT),202.1,,,2022
16.04,26,,Tour du Jura Cycliste (1.1),169.8,,,2022
15.04,DNF,,Classic Grand Besançon Doubs (1.1),177.5,,,2022
01.03,91,,Le Samyn (1.1),209.0,,,2022
16.02 » 20.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,,2022
19.02,DNF,,Stage 4 - Cúllar Vega › Baza,167.4,,,2022
18.02,119,83,Stage 3 - Lucena › Otura,153.2,,,2022
17.02,86,59,Stage 2 - Archidona › Alcalá la Real,150.6,,,2022
16.02,1,1,Stage 1 - Ubrique › Iznájar,200.7,30,20,2022
24.10,1,,Ronde van Drenthe (1.1),188.5,75,125,2021
17.10,6,,Chrono des Nations (1.1),44.5,24,40,2021
10.10,79,,Paris - Tours Elite (1.Pro),212.3,,,2021
07.10,60,,Paris - Bourges (1.1),198.0,,,2021
03.10,6,,Sparkassen Münsterland Giro (1.Pro),188.5,40,70,2021
09.09,13,,European Continental Championships - ITT (CC),22.4,,,2021
30.08 » 05.09,,,Benelux Tour (2.UWT),,,,2021
04.09,DNF,,Stage 6 - Ottignies-Louvain-la-Neuve › Houffalize,207.6,,,2021
03.09,135,134,Stage 5 - Riemst › Bilzen,192.0,,,2021
02.09,126,117,Stage 4 - Aalter › Ardooie,166.1,,,2021
01.09,114,118,Stage 3 - Essen › Hoogerheide,168.3,,,2021
31.08,17,113,Stage 2 (ITT) - Lelystad › Lelystad,11.1,,,2021
30.08,115,115,Stage 1 - Surhuisterveen › Dokkum,169.6,,,2021
26.08,DNF,,Druivenkoers - Overijse (1.1),192.0,,,2021
17.08,32,,Egmont Cycling Race (1.1),192.3,,,2021
15.08,59,,Grote Prijs Jef Scherens - Rondom Leuven (1.1),190.0,,,2021
05.08 » 08.08,,,Sazka Tour (2.1),,,,2021
,20,,Mountains classification,,,,2021
,30,,Points classification,,,,2021
,34,,General classification,,,,2021
08.08,37,,Stage 4 - Šumperk › Šternberk,174.1,,,2021
07.08,41,34,Stage 3 - Moravská Třebová › Dlouhé stráně,143.2,,,2021
06.08,22,21,Stage 2 - Olomouc › Pustevny,203.4,,,2021
05.08,66,66,Stage 1 - Prostějov › Uničov,150.8,,,2021
14.07 » 18.07,,,Settimana Ciclistica Italiana (2.1),,,,2021
,10,,Youth classification,,,,2021
,4,,Mountains classification,,,,2021
,52,,General classification,,,,2021
18.07,78,,Stage 5 - Cagliari › Cagliari,170.2,,,2021
17.07,67,51,Stage 4 - Cagliari › Cagliari,168.0,,,2021
16.07,80,39,Stage 3 - Oristano › Cagliari,180.9,,,2021
15.07,20,25,Stage 2 - Sassari › Oristano,185.5,,,2021
14.07,24,24,Stage 1 - Alghero › Sassari,155.8,,,2021
16.06,16,,National Championships Belgium - ITT (NC),37.6,,,2021
09.06 » 13.06,,,Baloise Belgium Tour (2.Pro),,,,2021
,24,,Points classification,,,,2021
,59,,General classification,,,,2021
13.06,127,,Stage 5 - Turnhout › Beringen,178.7,,,2021
12.06,46,50,Stage 4 - Hamoir › Hamoir,152.7,,,2021
11.06,112,72,Stage 3 - Gingelom › Scherpenheuvel-Zichem,174.4,,,2021
10.06,4,45,Stage 2 (ITT) - Knokke-Heist › Knokke-Heist,11.2,7,,2021
09.06,53,53,Stage 1 - Beveren › Maarkedal,175.3,,,2021
04.06,35,,Grosser Preis des Kantons Aargau (1.1),172.0,,,2021
23.05,41,,"Vuelta Ciclista a la Región de Murcia ""Costa Calida"" (1.1)",192.4,,,2021
18.05 » 22.05,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,,2021
,32,,Points classification,,,,2021
,13,,General classification,,28,20,2021
22.05,34,,Stage 5 - Vera  › Pulpí,107.0,,,2021
21.05,28,14,Stage 4 - Baza › Cúllar Vega,182.9,,,2021
20.05,11,13,Stage 3 - Beas de Segura › Villarrodrigo (Puerto de Onsares),176.9,,,2021
19.05,19,15,Stage 2 - Iznájar  › Alcalá la Real,184.8,,,2021
18.05,16,16,Stage 1 - Mijas › Zahara de la Sierra,152.1,,,2021
15.05,5,,Trofeo Andratx - Mirador des Colomer (Puerto Pollença) (1.1),161.3,28,50,2021
13.05,3,,Trofeo Calvia (1.1),168.7,40,70,2021
25.04,126,,Liège-Bastogne-Liège (1.UWT),259.1,5,,2021
21.04,109,,La Flèche Wallonne (1.UWT),193.6,5,,2021
18.04,118,,Amstel Gold Race (1.UWT),218.6,5,,2021
14.04,91,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),201.7,,,2021
03.02 » 07.02,,,Etoile de Bessèges - Tour du Gard (2.1),,,,2021
03.02,DNS,,Stage 1 - Bellegarde › Bellegarde,143.6,,,2021
31.01,52,,Grand Prix Cycliste la Marseillaise (1.1),171.6,,,2021
17.10,70,,National Championships Belgium U23 - Road Race (NC),160.0,,,2020
11.10,1,,Paris-Tours Espoirs (1.2U),178.0,15,30,2020
28.08,DNF,,European Continental Championships - Mixed Relay TTT (CC),54.6,,8.33,2020
20.08,DNF,,Grand Prix des Marbriers (1.2),160.0,,,2019
17.08,DNF,,National Championships Belgium U23 - Road Race (NC),175.0,,,2019
11.08,108,,Antwerpse Havenpijl (1.2),181.0,,,2019
21.08,DNF,,Grand Prix des Marbriers (1.2),160.0,,,2018
12.08,DNF,,National Championships Belgium U23 - Road Race (NC),176.0,,,2018
11.03,2,,Rabobank Dorpenomloop Rucphen (1.2),187.5,10,30,2018
13.08,26,,National Championships Belgium U23 - Road Race (NC),176.8,,,2017
01.05,6,,National Championships Belgium U23 - ITT (NC),28.8,,,2017
08.07 » 11.07,,,Sint-Martinusprijs Kontich (2.1),,,,2016
