date,result ranking,general classification,race name,distance,PCS point,UCI point,year
30.06,1,,National Championships Burkina Faso - Road Race (NC) ,180.3,15,50,2019
30.06,1,,National Championships Burkina Faso - Road Race (NC),180.3,15,50,2019
26.10 » 04.11,,,Tour du Faso (2.2),,,,2018
28.10,DNF,,Stage 3 - Bolgatanga › Po,75.6,,,2018
27.10,31,27,Stage 2 - Manga › Bolgatanga,155.0,,,2018
26.10,21,24,Stage 1 - Ouagadougou › Manga,100.3,,,2018
09.09 » 15.09,,,Tour de Côte d'Ivoire-Tour de la Réconciliation (2.2),,,,2018
,12,,General classification,,,,2018
15.09,21,,Stage 7 - Abengourou › Abengourou,96.0,,,2018
14.09,4,12,Stage 6 - Yakassé-Féyassé › Agnibilekro,65.0,,,2018
13.09,20,12,Stage 5 - Bondoukou › Bondoukou,101.0,,,2018
12.09,5,12,Stage 4 (ITT) - Kotoganda › Tanda,28.6,,,2018
11.09,7,13,Stage 3 - Bonahouin › Adzopé ,95.0,,,2018
10.09,15,13,Stage 2 - Daoukro › Daoukro,120.0,,,2018
09.09,6,6,Stage 1 - Bouaké › Bouaké,99.3,,,2018
22.04 » 29.04,,,Tour du Sénégal (2.2),,,,2018
,7,,Points classification,,,,2018
,24,,General classification,,,,2018
29.04,27,,Stage 8 - Dakar › Dakar,102.4,,,2018
28.04,6,18,Stage 7 - Ngaparou › Ngaparou,140.0,,,2018
27.04,11,18,Stage 6 - Ndangane › Ngueniene,114.9,,,2018
26.04,8,16,Stage 5 - Thies › Ndangane,158.2,,,2018
25.04,5,14,Stage 4 - Thies › Thies,108.0,,,2018
24.04,8,14,Stage 3 - St Louis › Pire-Goureye,148.5,,,2018
23.04,16,14,Stage 2 - Thies › St Louis,181.8,,,2018
27.10 » 05.11,,,Tour du Faso (2.2),,,,2017
,19,,Points classification,,,,2017
,25,,General classification,,,,2017
05.11,4,,Stage 10 - Korsimoro › Ouagadougou,110.7,,,2017
04.11,14,25,Stage 9 - Dedougou › Koudougou,131.0,,,2017
03.11,48,26,Stage 8 - Bobo Dioulasso › Dedougou,171.6,,,2017
02.11,43,26,Stage 7 - Banfora › Bobo Dioulasso,120.0,,,2017
01.11,47,25,Stage 6 - Dano › Gaoua,113.0,,,2017
31.10,13,27,Stage 5 - Kokologho › Boromo,136.0,,,2017
30.10,24,27,Stage 4 - Yako › Ziniare,143.0,,,2017
29.10,56,29,Stage 3 - Bousse › Ouahigouya,130.0,,,2017
28.10,12,7,Stage 2 - Garango › Zorgho,95.0,,,2017
