date,result ranking,general classification,race name,distance,PCS point,UCI point,year
20.06,38,,National Championships Spain - Road Race (NC) ,183.4,,,2021
23.08,DNF,,National Championships Spain - Road Race (NC) ,185.1,,,2020
05.02 » 09.02,,,Jayco Herald Sun Tour (2.1) ,,,,2020
,32,,General classification ,,,,2020
09.02,49,,Stage 5 - Melbourne › Melbourne ,89.1,,,2020
08.02,36,33,Stage 4 - Mansfield › Mount Buller ,106.6,,,2020
07.02,12,28,Stage 3 - Bright › Wangaratta ,178.1,,,2020
06.02,32,32,Stage 2 - Beechworth › Falls Creek ,117.6,,,2020
05.02,27,29,Stage 1 - Nagambie › Shepparton ,120.7,,,2020
15.10 » 19.10,,,Tour of Peninsular (2.1) ,,,,2019
,48,,Points classification ,,,,2019
,12,,General classification ,,10,10,2019
19.10,30,,Stage 5 - Kuala Lipis › Setiawangsa ,151.4,,,2019
18.10,14,12,Stage 4 - Sungai Koyan › Cameron Highlands ,89.5,,,2019
17.10,25,19,Stage 3 - Kuantan › Karak ,172.7,,,2019
16.10,45,20,Stage 2 - Kuala Terengganu › Chukai ,157.4,,,2019
15.10,16,18,Stage 1 - Dungun › Kuala Terengganu ,180.6,,,2019
25.09 » 28.09,,,International Tour de Banyuwangi Ijen (2.2) ,,,,2019
,21,,Mountains classification ,,,,2019
,24,,Points classification ,,,,2019
,35,,General classification ,,,,2019
28.09,47,,Stage 4 - Purwohardo › Ijen ,129.9,,,2019
27.09,23,11,Stage 3 - Banyuwangi › Banyuwangi ,109.3,,,2019
26.09,7,11,Stage 2 - Tegaldlimo › Banyuwangi ,148.2,,,2019
25.09,24,24,Stage 1 - Genteng › Banyuwangi ,133.2,,,2019
19.09 » 22.09,,,Tour de Siak (2.2) ,,,,2019
,12,,Points classification ,,,,2019
,6,,General classification ,,6,10,2019
22.09,27,,Stage 4 - Siak › Siak ,102.8,,,2019
20.09,19,6,Stage 2 - Siak › Siak ,84.8,,,2019
19.09,5,5,Stage 1 - Siak › Siak ,59.1,,,2019
06.09 » 08.09,,,Tour de Hokkaido (2.2) ,,,,2019
,26,,Points classification ,,,,2019
,14,,General classification ,,,,2019
08.09,15,,Stage 3 - Kitami › Tohma ,179.9,,,2019
07.09,23,20,Stage 2 - Obihiro › Kitami ,171.8,,,2019
06.09,14,14,Stage 1 - Asahikawa › Shintoku ,181.6,,,2019
19.08 » 23.08,,,Tour of Indonesia (2.1) ,,,,2019
,6,,Mountains classification ,,,,2019
,24,,Points classification ,,,,2019
,21,,General classification ,,,3,2019
23.08,37,,Stage 5 - Gilimanuk › Gianyar ,136.8,,,2019
22.08,9,13,Stage 4 - Jember › Banyuwangi ,147.3,,,2019
21.08,49,19,Stage 3 - Kota Batu › Jember ,193,,,2019
20.08,5,19,Stage 2 - Madiun › Kota Batu ,157.8,4,,2019
19.08,73,73,Stage 1 - Yogyakarta › Madiun ,182.7,,,2019
30.06,17,,National Championships Spain - Road Race (NC) ,194.9,,,2019
12.06 » 16.06,,,Tour de Korea (2.1) ,,,,2019
,19,,Points classification ,,,,2019
,13,,General classification ,,8,5,2019
16.06,20,,Stage 5 - Seoul › Seoul ,65,,,2019
15.06,12,12,Stage 4 - Samcheok › Goseong ,127,,,2019
14.06,27,11,Stage 3 - Danyang › Samcheok ,178.3,,,2019
13.06,11,8,Stage 2 - Cheonan › Danyang ,161.6,,,2019
12.06,15,15,Stage 1 - Gunsan › Gunsan ,63,,,2019
30.05 » 02.06,,,Tour de Kumano (2.2) ,,,,2019
,21,,Points classification ,,,,2019
,21,,General classification ,,,,2019
