date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,21,,National Championships Belgium - Road Race (NC) ,208.7,,,2022
15.06 » 19.06,,,Baloise Belgium Tour (2.Pro) ,,,,2022
,51,,General classification ,,,,2022
19.06,67,,Stage 5 - Gingelom › Beringen ,179.9,,,2022
18.06,56,53,Stage 4 - Durbuy › Durbuy ,172.2,,,2022
17.06,137,52,Stage 3 (ITT) - Scherpenheuvel-Zichem › Scherpenheuvel-Zichem ,11.8,,,2022
16.06,95,44,Stage 2 - Beveren › Knokke-Heist ,175.6,,,2022
15.06,42,42,Stage 1 - Merelbeke › Maarkedal ,165,,,2022
11.06,4,,Dwars door het Hageland (1.Pro) ,177,50,100,2022
06.06,23,,Ronde van Limburg (1.1) ,202.6,,3,2022
05.06,21,,Brussels Cycling Classic (1.Pro) ,203.9,5,5,2022
04.06,63,,Heylen Vastgoed Heistse Pijl (1.1) ,192.8,,,2022
11.05 » 15.05,,,Tour de Hongrie (2.1) ,,,,2022
,39,,General classification ,,,,2022
15.05,46,,Stage 5 - Miskolc › Gyöngyös-Kékestető ,184,,,2022
14.05,78,59,Stage 4 - Kazincbarcika › Kazincbarcika ,177,,,2022
13.05,103,51,Stage 3 - Sárospatak › Nyíregyháza ,154,,,2022
12.05,20,31,Stage 2 - Karcag › Hajdúszoboszló ,192,,,2022
11.05,55,56,Stage 1 - Csákvár › Székesfehérvár ,197.5,,,2022
20.04,DNF,,La Flèche Wallonne (1.UWT) ,202.1,,,2022
10.04,55,,Amstel Gold Race (1.UWT) ,254.1,5,5,2022
05.04 » 08.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1) ,,,,2022
08.04,DNS,,Stage 4 - La Chapelle-Saint-Aubin › La Chapelle-Saint-Aubin ,136.4,,,2022
07.04,87,66,Stage 3 - Sablé-sur-Sarthe › Sablé-sur-Sarthe ,176.5,,,2022
06.04,38,56,Stage 2 - Le Lude › Le Lude ,174.7,,,2022
05.04,77,77,Stage 1 - Mamers › Mamers ,192.3,,,2022
06.03,31,,Grote Prijs Jean-Pierre Monseré (1.1) ,203.2,,,2022
01.03,73,,Le Samyn (1.1) ,209,,,2022
20.02 » 26.02,,,UAE Tour (2.UWT) ,,,,2022
,22,,Youth classification ,,,,2022
,78,,General classification ,,5,,2022
26.02,59,,Stage 7 - Al Ain › Jebel Hafeet ,148,,,2022
25.02,59,89,Stage 6 - Expo 2020 Dubai › Expo 2020 Dubai  ,180,,,2022
24.02,36,89,Stage 5 - Ras al Khaimah Corniche › Al Marjan Island  ,182,,,2022
23.02,88,89,Stage 4 - Fujairah Fort › Jebel Jais ,181,,,2022
