date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,DNF,,National Championships France - Road Race (NC) ,240,,,2022
23.06,5,,National Championships France - ITT (NC) ,44.3,,10,2022
05.06 » 12.06,,,Critérium du Dauphiné (2.UWT) ,,,,2022
,26,,Youth classification ,,,,2022
,96,,General classification ,,5,,2022
12.06,97,,Stage 8 - Saint-Alban-Leysse › Plateau de Salaison ,138.8,,,2022
11.06,81,100,Stage 7 - Saint-Chaffrey › Vaujany ,134.8,,,2022
10.06,105,95,Stage 6 - Rives › Gap ,196.5,,,2022
09.06,130,95,Stage 5 - Thizy-les-Bourgs › Chaintré ,162.3,,,2022
08.06,20,75,Stage 4 (ITT) - Montbrison › La Bâtie d’Urfé ,31.9,,,2022
07.06,91,82,Stage 3 - Saint-Paulien › Chastreix-Sancy ,169,,,2022
06.06,101,93,Stage 2 - Saint-Péray › Brives-Charensac ,169.8,,,2022
05.06,87,88,Stage 1 - La Voulte-sur-Rhône › Beauchastel ,191.8,,,2022
26.05,52,,Circuit de Wallonie (1.1) ,192.2,,,2022
22.05,44,,Boucles de l'Aulne - Châteaulin (1.1) ,175.2,,,2022
29.04 » 01.05,,,Vuelta Asturias Julio Alvarez Mendo (2.1) ,,,,2022
,20,,General classification ,,1,3,2022
01.05,25,,Stage 3 - Cangas del Narcea › Oviedo ,120.5,,,2022
30.04,23,21,Stage 2 - Candás › Cangas del Narcea ,202,,,2022
29.04,26,26,Stage 1 - Oviedo › Pola de Lena ,168.9,,,2022
15.04,44,,Classic Grand Besançon Doubs (1.1) ,177.5,,,2022
05.04 » 08.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1) ,,,,2022
,13,,Points classification ,,,,2022
,9,,General classification ,,16,25,2022
08.04,12,,Stage 4 - La Chapelle-Saint-Aubin › La Chapelle-Saint-Aubin ,136.4,,,2022
07.04,35,15,Stage 3 - Sablé-sur-Sarthe › Sablé-sur-Sarthe ,176.5,,,2022
06.04,37,15,Stage 2 - Le Lude › Le Lude ,174.7,,,2022
05.04,73,73,Stage 1 - Mamers › Mamers ,192.3,,,2022
02.04,104,,Gran Premio Miguel Indurain (1.Pro) ,190,,,2022
07.03 » 13.03,,,Tirreno-Adriatico (2.UWT) ,,,,2022
12.03,DNS,,Stage 6 - Apecchio › Carpegna ,215,,,2022
11.03,128,78,Stage 5 - Sefro › Fermo ,155,,,2022
10.03,35,18,Stage 4 - Cascata delle Marmore › Bellante ,202,,,2022
09.03,129,16,Stage 3 - Murlo › Terni ,170,,,2022
08.03,102,16,Stage 2 - Camaiore › Sovicille ,219,,,2022
07.03,17,17,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore ,13.9,,,2022
16.02 » 20.02,,,Volta ao Algarve em Bicicleta (2.Pro) ,,,,2022
,8,,General classification ,,50,50,2022
20.02,13,,Stage 5 - Lagoa › Malhão (Loulé) ,173,,,2022
19.02,6,8,Stage 4 (ITT) - Vila Real de Santo António › Tavira ,32.2,3,,2022
18.02,31,18,Stage 3 - Almodôvar › Faro ,211.4,,,2022
17.02,15,18,Stage 2 - Albufeira › Fóia (Monchique) ,182.4,,,2022
16.02,49,50,Stage 1 - Portimão  › Lagos ,199.1,,,2022
12.02,19,,Vuelta Ciclista a la Region de Murcia Costa Calida (1.1) ,183.2,2,3,2022
02.02 » 06.02,,,Etoile de Bessèges - Tour du Gard (2.1) ,,,,2022
,15,,Mountains classification ,,,,2022
,17,,Points classification ,,,,2022
,8,,General classification ,,18,30,2022
06.02,5,,Stage 5 (ITT) - Alès › Alès l'Ermitage ,10.64,4,,2022
05.02,13,9,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet ,146.71,,,2022
04.02,24,14,Stage 3 - Bessèges › Bessèges ,155.65,,,2022
03.02,15,16,Stage 2 - Saint-Christol-lèz-Alès › Rousson ,156.21,,,2022
02.02,39,39,Stage 1 - Bellegarde › Bellegarde ,160.86,,,2022
30.01,15,,Grand Prix Cycliste de Marseille La Marseillaise (1.1) ,174.3,6,5,2022
15.04,44,,Classic Grand Besançon Doubs (1.1),177.5,,,2022
05.04 » 08.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1),,,,2022
,13,,Points classification,,,,2022
,9,,General classification,,16,25,2022
08.04,12,,Stage 4 - La Chapelle-Saint-Aubin › La Chapelle-Saint-Aubin,136.4,,,2022
07.04,35,15,Stage 3 - Sablé-sur-Sarthe › Sablé-sur-Sarthe,176.5,,,2022
06.04,37,15,Stage 2 - Le Lude › Le Lude,174.7,,,2022
05.04,73,73,Stage 1 - Mamers › Mamers,192.3,,,2022
02.04,104,,Gran Premio Miguel Indurain (1.Pro),190.0,,,2022
07.03 » 13.03,,,Tirreno-Adriatico (2.UWT),,,,2022
12.03,DNS,,Stage 6 - Apecchio › Carpegna,215.0,,,2022
11.03,128,78,Stage 5 - Sefro › Fermo,155.0,,,2022
10.03,35,18,Stage 4 - Cascata delle Marmore › Bellante,202.0,,,2022
09.03,129,16,Stage 3 - Murlo › Terni,170.0,,,2022
08.03,102,16,Stage 2 - Camaiore › Sovicille,219.0,,,2022
07.03,17,17,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore,13.9,,,2022
16.02 » 20.02,,,Volta ao Algarve em Bicicleta (2.Pro),,,,2022
,8,,General classification,,50,50,2022
20.02,13,,Stage 5 - Lagoa › Malhão (Loulé),173.0,,,2022
19.02,6,8,Stage 4 (ITT) - Vila Real de Santo António › Tavira,32.2,3,,2022
18.02,31,18,Stage 3 - Almodôvar › Faro,211.4,,,2022
17.02,15,18,Stage 2 - Albufeira › Fóia (Monchique),182.4,,,2022
16.02,49,50,Stage 1 - Portimão  › Lagos,199.1,,,2022
12.02,19,,Vuelta Ciclista a la Region de Murcia Costa Calida (1.1),183.2,2,3,2022
02.02 » 06.02,,,Etoile de Bessèges - Tour du Gard (2.1),,,,2022
,15,,Mountains classification,,,,2022
,17,,Points classification,,,,2022
,8,,General classification,,18,30,2022
06.02,5,,Stage 5 (ITT) - Alès › Alès l'Ermitage,10.64,4,,2022
05.02,13,9,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet,146.71,,,2022
04.02,24,14,Stage 3 - Bessèges › Bessèges,155.65,,,2022
03.02,15,16,Stage 2 - Saint-Christol-lèz-Alès › Rousson,156.21,,,2022
02.02,39,39,Stage 1 - Bellegarde › Bellegarde,160.86,,,2022
30.01,15,,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3,6,5,2022
17.10,DNF,,Boucles de l'Aulne - Châteaulin (1.1),177.6,,,2021
16.10,DNF,,Grand Prix du Morbihan (1.Pro),176.9,,,2021
09.10,42,,Tour de Vendée (1.1),199.8,,,2021
07.10,68,,Paris - Bourges (1.1),198.0,,,2021
02.10,DNF,,Classic Loire Atlantique (1.1),182.8,,,2021
24.08 » 27.08,,,Tour Poitou - Charentes en Nouvelle Aquitaine (2.1),,,,2021
27.08,DNF,,Stage 5 - Villefagnan › Poitiers,164.6,,,2021
26.08,10,9,Stage 4 (ITT) - Monts-sur-Guesnes › Loudun,23.5,,,2021
26.08,34,32,Stage 3 - Moncontour › Loudun,109.6,,,2021
25.08,27,34,Stage 2 - Parthenay › Ruffec,191.6,,,2021
24.08,50,51,Stage 1 - Pons › Parthenay,197.3,,,2021
15.08,36,,La Polynormande (1.1),168.9,,,2021
29.07 » 31.07,,,Tour de l'Ain (2.1),,,,2021
