date,result ranking,general classification,race name,distance,PCS point,UCI point,year
02.08 » 11.08,,,Tour Cycliste International de la Guadeloupe (2.2) ,,,,2019
04.08,DNF,,Stage 2 - Petit-Bourg › Basse-Terre ,158,,,2019
03.08,130,129,Stage 1 - Moule › Petit-Bourg ,168.3,,,2019
02.08,12,12,Prologue - Moule › Moule ,1.7,,,2019
02.08 » 11.08,,,Tour Cycliste International de la Guadeloupe (2.2) ,,,,2019
04.08,DNF,,Stage 2 - Petit-Bourg › Basse-Terre ,158.0,,,2019
03.08,130,129,Stage 1 - Moule › Petit-Bourg ,168.3,,,2019
02.08,12,12,Prologue - Moule › Moule ,1.7,,,2019
14.10,24,,Elite Road Caribbean Championships - Road Race (JR) ,108.0,,,2018
13.10,7,,Elite Road Caribbean Championships - ITT (JR) ,30.0,,,2018
03.08 » 12.08,,,Tour Cycliste International de la Guadeloupe (2.2) ,,,,2018
,8,,Mountains classification ,,,,2018
,14,,Points classification ,,,,2018
,41,,General classification ,,,,2018
12.08,32,,Stage 9 - Baie Mahault › Capesterre ,140.4,,,2018
11.08,3,43,Stage 8a - Petit-Canal › Baie-Mahault ,102.0,1,1,2018
11.08,44,43,Stage 8b (ITT) - Baie Mahault › Baie ,19.5,,,2018
10.08,2,43,Stage 7 - Vieux Habitant › Petit-Canal ,155.0,2,3,2018
09.08,32,50,Stage 6 - Abymes › Vieux Habitants ,160.0,,,2018
08.08,84,61,Stage 5 - Abymes › Abymes ,150.0,,,2018
07.08,28,53,Stage 4 - Goyave › Pointe Noire ,155.0,,,2018
06.08,17,62,Stage 3 - Gourbeyre › Goyave ,155.7,,,2018
05.08,62,75,Stage 2a - Le Moule › Basse-Terre ,106.0,,,2018
05.08,40,72,Stage 2b (ITT) - Basse Terre › Gou ,6.0,,,2018
04.08,99,99,Stage 1 - Point-a-pitre › Le Moule ,163.0,,,2018
03.08 » 11.08,,,Tour Cycliste International de la Guadeloupe (2.2) ,,,,2013
07.08,OTL,,Stage 5 - Sainte-Rose › Petit-Bourg ,145.4,,,2013
04.08,OTL,,Stage 2a - Saint-François › Baillif ,100.0,,,2013
04.08,OTL,,Stage 2b (ITT) - Trois-Rivières › Gourbeyre ,7.5,,,2013
03.08,OTL,,Stage 1 - Pointe-à-Pitre › Saint-François ,163.0,,,2013
