date,result ranking,general classification,race name,distance,PCS point,UCI point,year
09.03 » 13.03,,,Volta Ciclística de Porto Alegre (2.2) ,,,,2005
09.03,63,,Stage 1 - Porto Alegre › Tramandaí ,148.5,,,2005
09.03 » 13.03,,,Volta Ciclística de Porto Alegre (2.2) ,,,,2005
09.03,63.0,,Stage 1 - Porto Alegre › Tramandaí ,148.5,,,2005
28.08 » 07.09,,,Tour Internacional de Santa Catarina (2.5) ,,,,2004
,54.0,,General classification ,,,,2004
07.09,36.0,,Stage 10 - Joinville › São Francisco do Sul ,,,,2004
06.09,23.0,54,Stage 9 - Pomerode › Joinville ,90.0,,,2004
05.09,96.0,54,Stage 8a - Rio do Sul › Pomerode ,110.0,,,2004
05.09,61.0,55,Stage 8b (ITT) - Pomerode › Pomerode ,25.0,,,2004
04.09,24.0,38,Stage 7 - Bom Retiro › Rio do Sul ,110.0,,,2004
03.09,36.0,38,Stage 6 - Tubarão › Bom Jardim da Serra ,100.0,,,2004
02.09,65.0,43,Stage 5 - Tubarão › Tubarão ,,,,2004
01.09,3.0,43,Stage 4 - Curitibanos › Lages ,121.0,1,,2004
31.08,43.0,44,Stage 3 - Joaçaba › Curitibanos ,170.0,,,2004
29.08,76.0,76,Stage 1 - Chapecó › Concórdia ,82.0,,,2004
28.08,69.0,69,Prologue - Chapecó › Chapecó ,2.0,,,2004
